Correct Response,Height,RT,Character
1,5.66,837.5546602756003,2
1,1,1150.5573803615334,0
1,11.31,658.7812964316981,1
1,22.63,674.7300991537486,1
1,2.83,861.6111550481946,2
1,22.63,725.0518570754139,0
1,2.83,806.5865056578332,2
1,1.41,772.0957904375609,0
1,2.83,816.3264539871307,2
1,2.83,798.0395175318336,0
1,16,657.3118561818774,0
1,1.41,686.410186480316,0
1,11.31,694.3274144987299,2
1,2,1004.3697500796043,0
1,1,731.3197621451764,1
1,5.66,671.3764985815942,2
1,28,583.6442596082634,2
0,16,612.1660778098885,1
1,1,903.2797701602249,2
0,2,624.9851946649869,1
1,8,836.8634601583835,1
1,5.66,853.0471002532067,0
1,2.83,856.0317194296658,2
1,8,686.9051198982561,1
0,22.63,693.2662089839141,2
1,16,890.4285679664099,2
1,1.41,943.1000649556154,1
1,28,917.5106419224903,1
1,16,847.0737658999496,2
1,2.83,1059.2537701122637,0
1,5.66,605.9121674097696,2
1,16,637.7927061830633,0
1,1.41,919.2729462229181,1
1,2,776.4467671804596,1
1,2,910.9215421303816,1
1,2,737.3866218476905,0
1,1.41,762.0728767269611,0
1,5.66,767.541378993883,0
1,8,943.4468596809893,0
1,2.83,714.9825220230923,2
1,11.31,838.2892097342847,0
1,22.63,770.4833314955977,2
1,22.63,773.1269586138296,2
1,5.66,777.3332099977779,0
1,28,621.3322447074461,1
1,5.66,926.5788461361808,1
1,8,738.7768727512594,1
1,1,1102.4805721563098,0
0,1,858.245266474114,1
1,5.66,796.7690746490916,0
1,5.66,726.5533826648607,2
1,1.41,804.924553373894,2
1,22.63,612.2541418244509,2
1,2.83,798.722184315011,0
1,4,1068.7011957243158,1
1,16,666.2380657053291,0
1,2,930.3775454509378,1
1,8,637.4517141248361,1
1,11.31,688.5155308400499,0
1,22.63,1242.4013213703802,1
0,1,765.0260932314268,1
1,2,726.6595373503151,2
1,2,670.2108450499509,1
1,5.66,636.6468499873008,1
0,28,730.7818207200398,1
1,8,646.061166261461,0
1,28,807.8740152104729,2
1,16,754.6857394663675,2
1,28,934.6718608503579,2
1,2.83,714.7650926535789,2
1,5.66,651.8051245748211,1
1,11.31,551.9005955247849,0
1,2,733.5008825175464,2
1,4,705.6521737649746,2
1,5.66,633.6035214690128,1
1,1.41,824.5481513895356,2
1,2.83,731.9983329280149,1
1,1.41,770.26487812509,0
1,11.31,713.054329694387,2
1,11.31,816.1779739602935,2
1,5.66,738.3027606701944,0
1,1.41,1327.2387118486222,0
1,2,666.8613404781354,2
1,22.63,656.890309442133,0
1,2.83,787.0851049965495,0
1,2,634.2619535807899,1
1,11.31,592.3837597665624,0
1,1,1111.5999763796935,0
1,16,696.6969509030605,1
1,8,657.924890952927,1
1,28,619.6194337480847,1
1,1,652.8577967537785,0
1,11.31,735.1727334689713,2
1,1,805.8703882024929,2
1,5.66,695.1230626336837,1
0,28,573.9910099609915,2
1,8,705.0196829895867,1
1,5.66,764.4768878035393,2
1,16,680.3675614492022,1
1,5.66,715.4061167620966,0
1,16,811.8170985499091,1
1,16,687.5912000159587,2
1,4,884.5364709604837,1
1,1.41,728.0265775825683,0
1,1.41,710.8906173252763,1
1,2,798.011869527727,0
1,16,688.7087255390725,1
1,8,1081.657528602591,0
1,4,716.7134236524362,1
1,4,636.5185086324345,1
1,2.83,699.2600233397752,2
1,11.31,699.2491006722048,1
1,1.41,642.8495603795454,1
1,2,686.8918078962452,0
1,11.31,651.5283031940271,0
1,2,679.0879025638787,1
1,5.66,761.859202024425,1
0,16,542.3548658955042,1
1,1,780.3618611815182,1
1,16,642.8642377159122,0
1,1,756.5258677805105,0
1,8,881.0948063737669,1
1,8,640.9111280490833,1
1,8,540.1218628476272,0
1,2,775.2596096443085,0
1,4,751.3324802266652,1
1,8,974.8659157103248,0
1,8,653.7237595684928,2
0,8,593.8269173466324,0
1,2.83,745.964671310503,1
1,2.83,671.1249358722853,0
1,2.83,685.4663996537056,1
1,22.63,721.9392378774501,0
1,11.31,720.7049763337636,0
1,1.41,1286.3575528717774,0
1,16,749.4077012315756,1
0,11.31,623.7751677908818,1
1,2,708.5210809209457,2
1,2,932.035060400267,1
1,1.41,667.4788125837949,1
0,28,683.5580046608811,1
1,16,698.7999059283538,0
1,16,692.9832436026118,0
1,28,591.9843996989584,2
1,5.66,664.3767747209495,1
1,16,699.1306579848242,1
1,11.31,693.5945717068535,0
1,5.66,709.0334223412356,1
1,22.63,928.6135344837021,1
1,5.66,714.4988526079032,0
1,2,810.0762982530796,1
1,1.41,765.6606320060746,1
1,5.66,594.1365067328661,0
1,22.63,767.2679709467047,1
1,5.66,670.7259171371334,2
1,22.63,553.1307610672229,0
1,1,976.3094146237563,0
0,1.41,734.1374692923637,2
1,11.31,698.8415486030135,1
1,1.41,694.2304758149476,2
1,1.41,897.6757585360247,1
1,4,732.813437067307,0
