CorrectResponse,Height_Rotation,RT,Face
1,0,517.025900011882,1
1,30,559.430599966086,1
1,150,482.437200084329,1
1,180,808.786499951035,0
1,180,642.723399967887,1
0,-180,665.71680007875,2
1,-180,583.673700046726,1
1,30,481.530799934641,1
1,-60,604.201500009745,2
1,0,548.926699961536,1
0,0,513.389999916777,2
1,0,911.752599928528,0
1,60,512.663000085391,0
1,-30,596.238399910741,2
1,-120,460.978200015612,1
1,120,737.206199959852,0
1,-150,607.732099885121,1
1,-90,714.913399945013,2
1,90,689.433899995871,2
1,30,899.037699968554,2
1,180,641.864800065756,1
1,-180,845.722399939783,2
1,0,568.7714000782,0
0,90,684.7531999778,2
1,90,577.741900048219,0
1,150,593.738900086842,0
1,60,892.474099932238,5
1,60,685.44829991553,4
1,150,690.153900006786,5
1,-90,549.459799946286,4
0,-120,618.117600035854,5
1,-120,932.515199933201,5
1,-30,678.647199933417,5
1,0,596.409300047904,4
1,90,736.870399964042,4
1,180,760.603600003757,5
1,-180,919.04839995224,4
1,-120,674.762900042348,3
0,0,867.386900059879,5
1,0,1007.42179999035,4
0,0,960.624900002964,5
1,0,585.983300054446,5
1,90,845.734500031918,3
0,150,834.958800053224,5
1,150,770.503999953158,3
1,150,674.845699974336,3
1,-90,768.123499987647,4
1,60,655.307699981146,5
1,-60,399.934100042097,4
1,180,633.9509999929,3
1,-150,666.40330006741,4
1,-90,853.11249998305,3
0,90,588.343499981798,4
1,90,585.702200009488,4
1,-30,606.845400001854,3
1,120,583.181700025685,3
1,0,572.693099904805,8
1,-150,646.505500012077,8
1,-30,524.763699908741,8
1,-120,854.415800011717,8
1,-60,607.302799992263,7
1,-90,729.534299982712,6
1,120,663.275499999523,8
1,-60,545.636699939147,7
1,120,549.200999954715,7
1,-150,741.879900041036,6
1,30,575.230200015008,6
1,-60,672.788400025107,8
1,-150,688.597800032236,6
1,0,532.065099975094,7
1,30,548.467299955897,7
1,-120,555.741699933074,8
1,120,601.628299973905,8
1,-180,740.064899957739,6
1,0,658.909500049427,6
1,-180,564.642299952917,7
1,60,637.538900071755,8
1,-30,434.792799930088,7
