CorrectResponse,Height_Rotation,RT,Face
1,-60,506.558399935253,0
1,60,725.569500060752,1
1,90,778.918199994601,1
1,30,525.163500042632,0
1,150,595.377699992619,2
1,30,573.563200010918,1
1,0,550.184399992228,0
1,0,469.282200032845,0
1,120,837.725399931893,1
1,180,820.18240011204,1
1,60,451.041800024919,1
1,-30,384.016700027511,2
1,180,737.037699957378,0
1,120,642.791500020772,2
1,0,449.665000018664,0
1,150,596.052000004798,2
1,-150,893.313199918717,2
1,-150,760.161600014195,0
0,30,709.011500057764,2
1,30,464.081300011836,1
1,-30,610.620599993505,0
1,0,400.881700039841,2
1,-180,626.58320000302,1
1,-30,506.217000013217,0
1,150,565.933600006625,0
1,0,522.523399963044,0
1,-60,455.357999945059,2
0,-120,626.038600047119,0
1,-120,649.237999980338,2
1,150,613.871399950236,4
1,-90,779.54449999053,3
0,180,678.629299913533,4
1,180,408.40119990427,4
1,90,646.163299967535,4
1,-180,592.805699965917,4
1,-180,844.596499981359,3
1,60,571.009700008668,5
1,-120,569.897500038147,5
1,0,813.979400027543,3
1,-30,1013.60560004506,5
1,-180,722.694100052118,3
0,-120,588.12179992348,4
1,-120,644.416000050493,3
1,0,506.393500076607,3
1,-60,497.09839996323,3
1,-30,580.82169998344,5
0,180,1100.78859998286,4
1,180,579.549999962561,3
1,-90,853.937700096518,3
1,120,600.101199987344,5
1,-90,844.747699968517,4
1,90,626.945300082676,5
1,-90,765.328800011426,5
1,-120,725.674800047651,3
1,60,913.926300065592,4
1,0,577.146199936047,3
1,-120,470.16630001273,8
1,-60,525.723299997859,6
1,30,823.341699954122,8
0,120,778.695700046606,7
1,120,595.587199958041,7
1,0,536.21759992931,6
1,90,602.538599920459,7
1,-150,516.532600097358,8
1,180,645.184099962004,7
1,150,583.283199983649,6
1,-180,475.065099945292,8
1,-60,530.647400006652,6
1,-150,549.430899959058,8
1,-150,546.882099992596,7
1,0,494.295500040986,8
1,30,581.078799962066,7
1,-90,614.587300046347,8
1,120,566.457200035453,6
1,90,493.061100071296,8
1,60,545.079200001433,7
