CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,90,694.2944,2
1,60,658.1002001,1
1,-60,558.9398001,2
1,0,623.7552,2
1,30,635.6034,0
1,-90,756.3016,2
1,60,577.2715,0
1,0,681.1152,0
1,30,595.4784999,1
1,0,808.4455,2
1,-120,646.3125001,0
1,-90,863.4412999,1
1,0,548.7498,0
0,-120,665.4359,0
1,-120,663.3674,0
1,120,533.7078,1
1,120,633.8712,1
0,-120,886.0739001,0
1,-120,651.9337,2
1,120,590.2632999,1
1,150,456.4855999,1
1,150,716.8963,0
1,180,615.5454,2
1,-180,564.9719,1
0,-180,513.8128,4
1,-180,753.5040001,4
1,-60,603.2453999,5
0,180,737.4172001,3
1,180,681.7142,5
1,-150,594.9955,3
0,-30,524.017,4
1,-30,653.3837,5
1,-30,516.7582001,3
0,60,-109,5
1,60,523.0879,5
1,90,751.67,3
1,-150,652.6725001,4
1,-30,549.5438,3
1,-120,465.8829,4
1,-120,566.5352999,5
1,-180,520.4291,4
1,180,549.7436,3
0,-30,527.8959,4
1,-30,982.3993,5
0,60,919.0616999,5
1,60,338.1947,3
1,-30,535.2633,3
1,60,572.281,4
0,180,486.3946,1
1,180,790.6325,0
1,180,508.9375,1
1,-30,676.4387001,0
0,180,533.7223,2
1,180,642.6476,0
1,-90,668.7855,1
1,90,653.1867,0
1,-60,718.8671,2
1,150,566.4025,1
0,-180,689.7129,2
1,-180,726.1513,2
1,120,658.287,2
0,0,604.4888,2
1,0,633.7416,0
1,60,675.6249,1
1,-30,538.6424,1
1,150,558.4622,1
1,60,519.5018,1
0,-60,628.931,0
1,-60,701.8587,1
1,-30,761.9386,2
1,0,669.6775,1
1,150,594.7243,1
1,0,711.518,0
1,30,839.3558999,0
0,0,629.3561,4
0,0,446.5792,5
0,0,698.7217,5
0,0,675.5906,3
0,0,689.2561,4
0,0,557.4597,4
1,0,568.1672,3
1,120,685.8075,3
1,60,607.8726,3
1,120,700.74,4
0,90,592.9008001,5
1,90,557.2233,3
1,-120,750.5929,4
1,-150,744.6207,4
1,0,639.5521,5
1,-90,563.8187,3
1,-60,676.7703,4
0,60,596.738,3
0,60,570.55,4
1,60,698.7265,5
0,-150,719.4629,5
0,-150,762.4259,5
1,-150,773.1171,5
1,0,687.5358,4
1,90,607.3217,3
0,-120,673.6126,3
1,-120,792.6596,4
1,-90,708.2863,4
1,-30,742.33,4
0,150,785.4144,5
1,150,650.3171,3
1,90,903.9592,4
0,-150,-96.02,3
1,-150,526.7158,3
0,150,611.9926,4
1,150,729.1126,4
1,90,738.4238,5
0,180,840.6454,3
0,180,645.8576,4
0,180,581.7521,5
0,180,773.9583,5
0,180,554.6749,4
1,180,625.7749,3
0,30,626.4403,5
1,30,615.1497,3
0,30,698.1179,5
0,30,607.7078,5
1,30,564.6959,3
1,-120,560.0582,4
0,-180,781.2455,4
1,-180,599.1333,4
1,-60,577.0247,3
1,-180,850.0154,8
0,-120,665.1302,6
1,-120,442.8223,6
0,-120,577.0841,6
1,-120,558.0785,7
0,180,723.2237,6
1,180,527.4376,7
1,-150,653.999,6
0,-180,593.535,8
0,-180,658.373,6
0,-180,631.3976001,8
1,-180,437.0343,7
1,0,753.7395,8
1,-180,564.4023,6
1,120,732.3683,8
1,0,641.2651,6
1,30,748.9687,8
1,120,550.8115,7
1,-90,554.0172,7
1,-60,492.2909,7
1,180,781.9759,8
1,0,1122.9482,7
1,120,598.6856,7
1,-90,746.869,6
1,-30,539.0346,7
1,-180,489.6871,7
1,-30,463.1556999,7
1,-60,507.6742,8
0,-120,509.7892,8
1,-120,691.0404,6
1,30,673.2006,6
1,0,641.8879,6
1,60,664.5622,6
1,-150,665.609,7
