CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,-30,649.481543999928,2
1,-150,851.835179000618,0
0,120,530.169935000077,0
1,120,795.080761999844,0
1,-150,621.857713000127,1
1,-60,633.025191000188,1
1,120,720.720377999742,0
1,-120,807.945657001101,0
0,0,523.276454001307,0
1,0,632.493221999385,1
1,180,714.295743999019,2
1,0,618.261061001095,1
1,0,630.685948000819,2
1,90,641.31284900016,1
1,-90,600.261009001615,2
1,120,690.612229998651,2
1,-120,662.732439999518,2
1,-30,486.479386999991,2
1,30,1125.40831200006,0
1,-120,733.283905001217,0
1,-180,758.337088000035,0
1,90,835.23317999955,0
1,-180,718.640408000129,0
1,-60,520.867668001147,1
1,-90,625.482176001088,0
0,-150,868.868453999158,0
1,-150,556.080750000392,1
1,180,670.639054000122,2
0,60,664.898054999713,2
1,60,760.316489999086,0
1,30,578.795263001512,1
1,-150,944.899218000346,3
1,0,899.341053000017,5
1,-60,511.379166000398,3
1,180,876.866193999222,5
1,-60,602.385950998569,3
1,0,652.930865000444,5
1,180,515.418442999208,3
1,60,783.662014000429,4
1,-30,614.886917999529,5
1,150,652.555889999194,4
1,30,608.747324000279,5
1,30,639.338201000856,5
0,-60,703.323154999298,5
1,-60,803.597900999949,4
1,-120,704.080669000023,4
1,90,707.887610000244,3
1,120,665.793202999185,3
1,-90,868.349184000026,5
1,-180,633.942845999473,3
1,-30,638.88031399968,5
1,-90,752.573699999475,5
1,0,740.199906000117,4
1,0,756.715953000667,4
1,180,618.229941000964,3
1,60,735.561690000241,4
1,-180,713.681914999898,5
1,120,951.151607999991,6
1,30,892.257811001246,6
1,180,688.800687999747,6
0,150,-29.6,6
1,150,699.271294999408,6
0,60,-29.6,6
1,60,787.956440000772,8
1,60,703.208972001294,6
1,-150,668.203114000635,7
1,-30,756.932296999212,8
1,150,1162.1235309993,6
1,-180,658.59253500078,6
1,60,1177.16192700012,8
1,-60,653.134013000299,6
1,90,642.508542999922,7
0,0,-29.6,6
1,0,586.771140999036,6
1,0,591.703952999369,7
1,90,811.682567000235,6
1,-90,842.588080998967,7
0,150,861.411973999412,6
1,150,831.140811000142,7
0,0,-29.6,8
1,0,608.809023000349,6
1,150,680.800579999259,8
1,-120,821.200022999465,7
1,-90,690.086308999371,8
