Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
A,0,0,0.4890763,1,8,6465218
B,0,0,0.5208434,1,4,6477703
M,0,0,0.5232338,0,2,6499734
M,2,0,0.5661063,1,2,6507312
A,2,0,0.5766742,1,2,6519218
B,0,0,0.5387271,1,8,6536765
M,2,0,0.5227214,1,6,6538875
A,2,0,0.4601406,1,4,6551281
M,0,0,0.5059176,1,8,6561093
M,2,0,0.5763283,1,6,6570718
A,2,0,0.4902195,0,4,6576015
B,0,0,0.4594725,1,4,6585656
M,0,0,0.5461444,1,6,6610984
B,2,0,0.4058883,1,6,6620875
B,0,0,0.4598184,1,8,6633125
B,2,0,0.591784,0,6,6637828
A,0,0,0.4875766,1,6,6645156
M,0,0,0.5455566,1,6,6672062
M,2,0,0.4826903,1,2,6676984
A,0,0,0.4400431,1,2,6704125
A,2,0,0.567224,1,8,6721062
A,0,0,0.4299542,1,4,6728718
A,0,0,0.3813828,1,2,6761187
M,2,0,0.4675937,1,4,6771203
M,2,0,0.7363,1,6,6787968
B,0,0,0.5179679,1,4,6792937
B,0,0,0.5599329,1,4,6802687
M,2,0,0.4942818,1,6,6812859
A,2,0,0.4744044,1,8,6817312
A,2,0,0.4973575,1,8,6820062
M,2,0,0.5149775,1,2,6825046
A,2,0,0.5982697,1,4,6837265
M,2,0,0.6226762,1,8,6851843
A,0,0,0.4992575,1,2,6864000
M,2,0,0.5437153,1,8,6866671
A,2,0,0.3603567,1,8,6916515
M,2,0,0.5190616,1,2,6921171
B,2,0,0.6335251,1,4,6923468
B,2,0,0.5165773,1,2,6931281
M,2,0,0.5471794,1,8,6952890
B,0,0,0.47483,1,2,6957906
B,0,0,0.4529622,1,8,6960687
B,0,0,0.5278527,1,2,6965250
M,2,0,0.5110627,1,8,6977656
B,0,0,0.5869692,1,8,6980218
B,2,0,0.538955,1,8,6982625
A,2,0,0.4832421,1,4,6987421
B,0,0,0.6075078,1,2,7004750
A,2,0,0.5011615,1,4,7014546
B,0,0,0.4955362,1,4,7017031
A,2,0,0.4951245,1,8,7029093
M,2,0,0.4860488,1,8,7036390
B,2,0,0.448368,1,6,7043796
M,0,0,0.58768,1,6,7055875
M,0,0,0.623789,1,8,7080359
A,0,0,0.539276,1,2,7085468
A,2,0,0.4589327,1,8,7093093
M,2,0,0.4509317,1,6,7102500
A,0,0,0.5303221,1,4,7104875
B,2,0,0.5813377,1,2,7117375
M,2,0,0.5289627,1,8,7122218
A,0,0,0.5526603,1,4,7129796
M,0,0,0.4535751,1,6,7137156
B,2,0,0.6577752,1,4,7141796
B,0,0,0.4630533,1,2,7149328
M,0,0,0.4266422,1,2,7154109
M,2,0,0.4478827,1,6,7156796
A,2,0,0.3995589,1,4,7189437
M,2,0,0.4100919,1,6,7199125
A,0,0,0.5453055,1,8,7213984
B,0,0,0.4495823,1,2,7226031
A,0,0,0.419171,1,6,7262968
B,0,0,0.5561305,1,4,7277562
B,2,0,0.6369348,1,6,7329859
B,2,0,0.5200931,1,8,7339562
B,0,0,0.4370974,1,6,7342078
B,2,0,0.5306116,1,8,7369015
A,2,0,0.4726824,1,8,7371406
A,2,0,0.416692,1,6,7379000
M,2,0,0.5135124,1,4,7415375
A,0,0,0.5891905,1,4,7435218
M,0,0,0.4892142,1,4,7445078
M,2,0,0.4363715,0,4,7449906
M,2,0,0.9478039,1,6,7506781
A,0,0,0.5586468,1,6,7514375
A,0,0,0.4821097,1,6,7529203
A,0,0,0.4737808,1,2,7580484
B,0,0,0.4750108,1,4,7594968
A,0,0,0.4817871,0,8,7602515
M,2,0,0.5573815,1,8,7625187
A,0,0,0.5083857,1,4,7666859
A,0,0,0.5241313,1,4,7691703
M,2,0,0.5978815,1,8,7723156
M,0,0,0.3855609,1,6,7750562
A,0,0,0.4806779,1,8,7794953
B,0,0,0.6108387,1,8,7812187
B,0,0,0.4883374,1,8,7819687
M,0,0,0.5087829,1,6,7824406
B,0,0,0.4736082,1,4,7844375
M,2,0,0.5931062,1,2,7849187
M,2,0,0.5116736,1,4,7856671
M,2,0,0.4349166,1,4,7859062
A,0,0,0.3889075,1,4,7861500
M,0,0,0.7921833,1,8,7866453
M,0,0,0.4762017,1,4,7871109
B,0,0,0.503359,1,8,7883484
A,0,0,0.4315728,1,2,7895906
B,2,0,0.4253388,1,8,7970093
A,0,0,0.4973754,1,2,7984593
B,2,0,0.5663984,1,6,7989484
A,2,0,0.9823682,1,8,8019234
A,2,0,0.4165285,1,6,8041062
A,2,0,0.4494102,1,4,8076046
A,2,0,0.4492637,1,8,8093234
A,0,0,0.4522724,1,2,8110500
B,2,0,0.4972053,1,4,8115515
B,2,0,0.4923501,1,6,8117906
M,0,0,0.5839677,1,4,8120046
M,0,0,0.5867615,1,2,8129953
B,0,0,0.6198302,1,2,8132312
M,0,0,0.5078658,1,4,8141125
A,2,0,0.8273901,0,4,8146203
B,2,0,0.5686085,1,4,8148437
M,2,0,0.5732337,1,4,8185234
A,0,0,0.448261,1,4,8192437
A,2,0,0.4498057,1,4,8212265
