Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
M,2,0,0.6231337,1,2,268679156
B,0,0,0.6011787,1,2,268706015
M,2,0,0.5695394,1,2,268708203
A,2,0,0.4460402,1,8,268718343
M,2,0,0.454382,1,8,268732750
B,2,0,0.4850985,0,6,268735359
M,0,0,0.8034498,1,2,268737765
M,2,0,0.4513926,1,2,268740296
A,0,0,0.4815611,1,4,268747687
B,2,0,0.5424487,1,2,268767281
A,2,0,0.3927921,1,6,268772109
A,0,0,0.3965113,1,8,268774515
M,2,0,0.4213606,1,2,268791984
M,0,0,0.6586686,1,8,268841859
B,0,0,0.6229364,1,8,268846734
M,0,0,0.5017327,1,6,268861218
A,2,0,0.5284195,1,6,268866218
M,0,0,0.5976933,1,2,268871015
A,0,0,1.1609089,1,2,268875984
B,2,0,0.6895609,1,4,268878609
M,2,0,0.7043219,1,2,268898031
M,0,0,0.5050884,1,6,268912656
M,2,0,0.6390172,1,6,268920234
M,0,0,0.5397225,1,6,268937296
B,2,0,0.6264118,1,4,268939593
A,0,0,0.6673695,1,6,268942171
B,2,0,0.5305158,1,4,268944718
B,0,0,0.5169014,1,4,268984546
B,0,0,0.6418491,1,4,268989593
M,2,0,0.4072863,1,6,269004156
M,0,0,0.5607255,0,2,269023562
A,0,0,0.6718079,1,4,269038687
M,2,0,0.6314986,1,2,269048343
A,2,0,0.6182938,1,6,269050781
A,0,0,0.7385462,1,6,269072625
A,2,0,0.4499619,1,6,269099843
B,0,0,0.5218409,0,8,269132531
B,2,0,0.4714619,1,6,269134750
A,2,0,0.7282891,1,8,269152187
A,2,0,0.6076118,1,2,269159390
B,2,0,0.6384286,1,4,269171906
A,2,0,0.5531257,1,8,269181609
A,0,0,0.5161302,1,6,269186625
A,2,0,0.9960608,1,2,269213656
A,2,0,0.4086201,1,6,269215812
A,0,0,0.8575349,1,6,269262203
B,2,0,0.513119,1,4,269284296
M,2,0,0.6310098,1,4,269289171
B,0,0,0.4734065,1,2,269299421
A,0,0,0.6230704,1,4,269306562
M,2,0,0.788431,1,2,269314109
B,0,0,0.6809949,1,2,269316500
A,0,0,0.5111431,1,2,269335921
A,2,0,0.9262845,1,2,269355562
B,2,0,0.6005014,1,8,269363093
B,0,0,0.8185643,1,2,269365187
A,2,0,0.5383356,1,6,269367906
B,0,0,0.782739,1,6,269370531
A,0,0,0.6345171,1,2,269397906
B,2,0,0.5629702,1,2,269400562
A,2,0,0.4392346,1,8,269405593
B,0,0,0.4212718,1,8,269410296
M,2,0,0.4918137,1,4,269417781
A,2,0,0.5283497,1,4,269427421
A,2,0,0.6227842,1,4,269439921
B,0,0,0.6331947,1,8,269456640
B,0,0,0.4211975,1,2,269459531
M,2,0,0.533695,1,8,269464171
B,0,0,0.5437056,1,4,269469140
B,0,0,0.9487117,0,2,269488546
A,0,0,0.8159116,1,8,269493718
M,2,0,0.5204726,1,8,269510734
M,0,0,0.4502934,1,4,269515625
B,2,0,0.5710176,1,8,269553296
M,2,0,0.7573364,1,2,269575156
A,2,0,0.4614998,1,4,269580312
B,0,0,0.4454334,1,8,269587859
B,0,0,0.6375733,1,8,269592609
B,0,0,0.6814889,1,6,269602218
B,2,0,0.569048,1,8,269614812
B,2,0,0.5650226,1,8,269622156
M,0,0,0.5874524,1,2,269631921
B,2,0,0.5838395,1,2,269668671
B,0,0,0.5558828,1,6,269703578
M,2,0,0.5851232,1,8,269706140
M,2,0,0.6981269,1,8,269710953
A,0,0,0.485713,1,2,269720640
M,0,0,0.4610972,1,4,269779500
A,0,0,0.7208429,1,6,269796828
A,2,0,0.4900552,1,2,269813875
B,2,0,0.5959145,1,6,269816234
A,0,0,0.5006201,1,6,269819171
A,0,0,0.6204945,1,6,269856656
A,2,0,0.6747741,1,6,269861125
A,2,0,0.4252164,1,2,269866187
M,0,0,0.6217588,1,4,269871093
M,0,0,0.5411045,1,8,269888312
A,0,0,0.5591791,1,6,269895906
A,2,0,0.4757002,1,4,269912687
A,0,0,0.5972784,1,6,269925312
A,2,0,0.5137386,1,2,269929796
B,0,0,0.6382972,1,2,269957078
M,2,0,0.5198225,1,4,270028734
B,2,0,0.6282164,1,2,270038453
A,0,0,0.4882316,1,8,270085484
A,0,0,0.4826456,1,4,270102296
A,2,0,0.6306285,1,4,270142531
M,0,0,0.6328702,1,2,270147109
M,0,0,0.7990352,1,2,270152328
M,0,0,0.6589006,1,6,270159562
M,2,0,0.546822,1,8,270174234
M,0,0,0.4293803,1,2,270176812
M,0,0,0.7474164,1,2,270188781
A,2,0,0.570426,1,2,270203890
B,2,0,0.5693524,1,6,270208515
A,0,0,0.5046916,1,4,270218468
M,0,0,0.7088512,1,4,270245187
A,2,0,0.4912853,1,6,270262343
B,0,0,0.5623716,1,6,270336890
M,0,0,0.54444,1,6,270341578
B,2,0,0.8892539,1,6,270358265
M,0,0,0.4591171,0,6,270365359
B,0,0,0.6447419,1,6,270367984
B,0,0,0.5923625,1,6,270370625
M,0,0,0.4831359,1,6,270389796
