Correct Response,Rotation (deg),Reaction Time (ms)-Delay,Target
0,-60,685.357736,2
1,-60,952.551328,2
0,-60,1145.424453,1
1,-60,1182.619188,0
1,-60,1039.129766,0
0,-60,729.107306,0
1,-60,739.132036,1
1,-60,1168.371956,2
0,-60,1284.081856,2
1,-60,785.569193,1
1,-60,787.333352,0
1,-60,1206.026386,0
1,-60,726.480156,1
1,-60,523.541151,1
1,-60,873.846669,1
1,-60,822.940104,0
1,-52.5,644.303712,1
1,-52.5,761.756306,2
1,-52.5,753.304972,2
1,-52.5,870.431356,1
1,-52.5,872.2932,2
1,-52.5,906.423452,1
0,-52.5,566.80366,2
1,-52.5,590.816833,2
1,-52.5,1150.159112,1
1,-52.5,1191.957624,0
1,-52.5,1048.592323,0
1,-52.5,824.162004,2
1,-52.5,692.097589,1
1,-45,621.566248,1
1,-45,745.09554,2
0,-45,551.492285,2
1,-45,632.08757,0
1,-45,521.133864,1
1,-45,729.49615,2
1,-45,952.798659,2
1,-45,836.348519,2
1,-45,591.136536,0
1,-45,746.512563,0
1,-45,719.045963,1
1,-45,785.128946,1
1,-45,729.223949,2
1,-37.5,701.961562,2
1,-37.5,784.654701,2
1,-37.5,877.971551,2
1,-37.5,890.536237,1
1,-37.5,1063.368711,1
1,-37.5,819.592413,1
1,-37.5,683.382797,2
1,-37.5,671.652871,1
1,-37.5,684.395347,0
1,-37.5,924.473634,0
1,-37.5,700.249311,0
1,-37.5,675.511495,2
1,-30,490.981917,1
1,-30,697.640554,1
1,-30,715.427442,0
1,-30,627.875017,2
1,-30,650.102821,0
1,-30,673.724877,2
1,-30,546.992933,0
1,-30,464.196344,0
0,-30,715.974632,2
1,-30,627.49377,0
1,-30,588.648146,1
1,-30,633.887249,1
1,-30,697.862053,0
1,-22.5,588.693225,0
1,-22.5,687.3209,2
1,-22.5,612.097723,2
1,-22.5,480.513504,1
1,-22.5,402.956526,2
1,-22.5,788.879274,1
1,-22.5,634.016377,0
1,-22.5,607.813117,0
1,-22.5,823.933142,2
1,-22.5,715.612195,0
1,-22.5,412.227234,0
1,-22.5,745.401901,2
1,-15,607.836668,0
1,-15,541.333837,1
1,-15,504.49869,2
1,-15,646.831182,0
1,-15,585.190611,0
1,-15,599.871314,0
1,-15,690.359557,1
1,-15,1031.576064,2
1,-15,585.79173,1
1,-15,512.951688,2
1,-15,585.667556,0
1,-15,714.846788,0
1,-7.5,519.089281,1
