CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target,Var5,Var6,Var7
1,90,668.002806999502,0,NaN,NaN,NaN
1,180,658.828804000186,0,NaN,NaN,NaN
1,-120,1773.55175899989,0,NaN,NaN,NaN
1,-90,671.522392000006,0,NaN,NaN,NaN
1,30,1027.47313399956,0,NaN,NaN,NaN
1,150,591.610079999518,0,NaN,NaN,NaN
1,-30,1425.30908799923,1,NaN,NaN,NaN
1,90,1970.15642899984,1,NaN,NaN,NaN
1,60,901.588979999324,1,NaN,NaN,NaN
1,120,1234.20475200051,0,NaN,NaN,NaN
1,-60,709.217304000013,1,NaN,NaN,NaN
0,0,592.664499000384,1,NaN,NaN,NaN
1,0,458.00702100074,0,NaN,NaN,NaN
1,180,545.393655999724,0,NaN,NaN,NaN
1,150,635.785641999937,1,NaN,NaN,NaN
1,60,513.362420000667,1,NaN,NaN,NaN
1,-60,455.125028000075,0,NaN,NaN,NaN
1,150,588.816884999651,0,NaN,NaN,NaN
1,120,705.788100000027,1,NaN,NaN,NaN
1,-30,532.991766999621,0,NaN,NaN,NaN
0,30,470.200565000559,1,NaN,NaN,NaN
1,60,524.486314000533,0,NaN,NaN,NaN
1,-90,595.249670999656,0,NaN,NaN,NaN
1,-30,578.199589000142,0,NaN,NaN,NaN
1,-90,509.332475000483,0,NaN,NaN,NaN
1,180,754.759553999938,0,NaN,NaN,NaN
1,90,542.05551500032,0,NaN,NaN,NaN
1,-150,1063.86982100044,0,NaN,NaN,NaN
1,-60,513.223401000651,0,NaN,NaN,NaN
1,-120,1233.2977429996,1,NaN,NaN,NaN
1,30,560.170515999707,1,NaN,NaN,NaN
1,-60,731.13338900017,1,NaN,NaN,NaN
0,120,1289.39026799977,0,NaN,NaN,NaN
0,-30,750.460022000843,1,NaN,NaN,NaN
1,-60,754.465844000115,1,NaN,NaN,NaN
0,-120,614.571386999123,0,NaN,NaN,NaN
0,-120,696.031841999647,0,NaN,NaN,NaN
1,0,528.531901000097,1,NaN,NaN,NaN
1,30,626.867724999975,1,NaN,NaN,NaN
1,60,573.661968000088,0,NaN,NaN,NaN
1,150,551.723771000034,1,NaN,NaN,NaN
1,-150,576.659046000677,0,NaN,NaN,NaN
0,-120,538.368735000368,0,NaN,NaN,NaN
1,120,556.867798000858,1,NaN,NaN,NaN
1,90,573.695885999732,1,NaN,NaN,NaN
1,90,512.539711999998,1,NaN,NaN,NaN
1,-30,614.744137999842,1,NaN,NaN,NaN
1,-60,495.745182000028,1,NaN,NaN,NaN
1,180,658.461848000079,1,NaN,NaN,NaN
1,0,571.314181000125,1,NaN,NaN,NaN
1,0,553.472315000327,1,NaN,NaN,NaN
1,-60,498.578293999308,0,NaN,NaN,NaN
1,-120,669.639831999994,0,NaN,NaN,NaN
1,-30,652.473561000043,1,NaN,NaN,NaN
0,-150,987.4063020006,0,NaN,NaN,NaN
1,30,885.386926999636,0,NaN,NaN,NaN
1,120,616.651198999498,1,NaN,NaN,NaN
1,150,815.842362000658,0,NaN,NaN,NaN
1,180,833.879624999972,1,NaN,NaN,NaN
1,90,639.177098000764,0,NaN,NaN,NaN
0,180,763.95625500023,0,NaN,NaN,NaN
1,-150,2547.08443100022,0,NaN,NaN,NaN
1,120,1797.56836500015,0,NaN,NaN,NaN
1,60,764.063972999757,1,NaN,NaN,NaN
1,-120,859.636877000376,1,NaN,NaN,NaN
1,150,557.254450000037,1,NaN,NaN,NaN
1,0,772.67527599975,0,NaN,NaN,NaN
1,-120,1589.44469000013,1,NaN,NaN,NaN
1,0,585.93189800009,1,NaN,NaN,NaN
1,-30,583.583421999683,1,NaN,NaN,NaN
1,30,571.966448000203,0,NaN,NaN,NaN
1,30,527.976076999912,1,NaN,NaN,NaN
1,60,470.48644399998,1,NaN,NaN,NaN
1,180,1113.33743200063,0,NaN,NaN,NaN
1,-90,761.313975000085,1,NaN,NaN,NaN
1,30,555.029178000004,0,NaN,NaN,NaN
1,0,587.56642700024,0,NaN,NaN,NaN
1,0,672.878796999394,1,NaN,NaN,NaN
1,60,489.800921999595,0,NaN,NaN,NaN
1,-150,750.656030000719,0,NaN,NaN,NaN
1,0,436.733670000067,1,NaN,NaN,NaN
1,30,798.23711200057,0,NaN,NaN,NaN
1,120,814.414843999621,1,NaN,NaN,NaN
1,-30,691.317009000122,1,NaN,NaN,NaN
1,-120,566.673752000461,0,NaN,NaN,NaN
1,-120,684.653173999286,0,NaN,NaN,NaN
1,-120,836.459283999793,0,NaN,NaN,NaN
1,-150,512.625268000156,0,NaN,NaN,NaN
1,180,871.784455000088,1,-180,796.72,1
1,-180,1764.8,0,NaN,NaN,NaN
1,-180,545.39,1,NaN,NaN,NaN
1,-180,492.35,1,NaN,NaN,NaN
1,-180,1448.9,1,NaN,NaN,NaN
1,-180,658.83,0,NaN,NaN,NaN
1,-180,545.39,0,NaN,NaN,NaN
1,-180,754.76,0,NaN,NaN,NaN
1,-180,658.46,1,NaN,NaN,NaN
1,-180,833.88,1,NaN,NaN,NaN
0,-180,763.96,0,NaN,NaN,NaN
1,-180,1113.3,0,NaN,NaN,NaN
1,-180,871.78,0,NaN,NaN,NaN
