CorrectResponse,Height_Rotation,RT,Face
0,-180,938.818399965763,2
1,-180,561.500100008212,1
1,0,512.167200035416,1
1,-150,606.628599980846,1
0,60,806.596700040624,2
1,60,747.683399993926,2
1,-180,527.685800040141,1
1,30,549.356299973093,1
1,180,760.595500058495,0
1,-150,739.487099981867,1
1,-90,880.272300037555,1
1,-150,454.452099915594,0
1,180,595.401699942537,0
0,-150,968.761500026099,0
1,-150,673.461000024341,2
1,150,958.954299971461,2
1,30,1083.51689990051,2
1,120,531.321699902415,0
0,-30,790.74310004618,0
1,-30,495.424000019208,0
1,-60,606.660799993202,1
1,0,694.652900038287,0
1,90,579.260599970818,1
1,0,1063.22599999513,2
1,-90,500.696900006384,1
1,150,518.268500044011,1
1,-120,581.71370002348,2
0,-60,537.726600010879,5
0,-60,826.237500001676,4
1,-60,981.171000105329,4
1,0,1035.71090002917,5
0,90,-109,5
1,90,558.073599994183,3
1,-30,873.314000022598,5
1,0,439.804400023073,4
1,-180,464.303699959069,3
1,30,710.928999990225,4
0,-90,720.923900077119,5
1,-90,928.195999990217,4
1,90,792.513500022702,5
1,120,1022.77350000478,4
1,-120,656.268699964508,3
1,-60,776.644700028934,4
1,180,441.12359993998,3
1,-60,731.810799971223,4
1,0,453.538500060327,3
1,-120,504.762900000438,4
1,30,713.298399987631,4
1,-180,820.520500008948,4
1,0,618.799899992533,3
1,30,834.309199996293,4
1,60,627.651099985465,3
1,-30,562.658499981277,3
1,90,523.699400070123,3
0,-120,701.635800007731,5
1,-120,1123.15509997681,5
1,150,683.911000084132,4
0,0,406.332999988459,7
1,0,662.888999966905,6
1,-90,645.506299970672,8
1,-30,740.938899977133,6
1,0,524.808900020085,8
0,-60,690.847400048748,7
1,-60,766.326900044456,6
1,150,514.557200073265,7
1,90,784.697299994528,6
1,60,706.277599962428,6
1,-90,611.418800017796,8
1,150,557.82710009627,8
1,0,588.457999922335,8
1,-120,643.230999991298,6
1,120,786.626000012271,8
1,-150,747.563900015317,7
1,-180,858.065899982117,7
1,180,663.911800071597,6
1,60,495.444800061174,7
1,120,590.711700086482,7
1,60,466.872199959122,7
1,180,676.430400050245,6
1,-30,742.781999925151,7
1,120,503.031900091097,7
