Correct,Size,RT,Target
1,6,394.3719,0
1,8,548.7691,0
1,4,453.3892,0
1,8,501.4709,0
1,8,470.4068,0
1,2,456.9492,0
1,4,471.6833,0
1,6,557.9711,0
1,4,473.7033,0
1,4,498.2774,0
1,2,547.0657,0
1,4,460.6561,0
1,2,455.8855,0
1,4,475.1538,0
1,2,499.4891,0
1,6,480.9088,0
1,4,1078.0957,0
1,6,516.1816,0
1,2,541.7325,0
1,4,452.7948,0
1,8,586.4093,0
1,6,646.3875,0
1,8,484.7267,0
1,4,465.4896,0
1,8,497.551,0
1,6,462.6348,0
1,2,409.5557,0
1,6,502.6607,0
1,8,490.34,0
1,2,479.8355,0
1,6,492.3286,0
1,6,510.6802,0
1,2,587.6807,0
1,8,429.2395,0
1,4,414.9156,0
1,8,477.8722,0
1,8,543.2925,0
1,4,635.2107,0
1,4,472.0813,0
1,8,482.3478,0
1,8,494.844,0
1,8,435.3327,0
1,4,444.7205,0
1,8,487.5678,0
1,2,457.4121,0
1,6,391.5815,0
1,2,606.4117,0
1,6,597.7841,0
1,8,546.2981,0
1,6,817.5698,0
1,8,563.5791,0
1,2,601.3956,0
1,4,524.5907,0
1,4,565.7169,0
1,4,466.552,0
1,2,501.1504,0
1,4,593.1981,0
1,6,733.8308,0
1,6,521.173,0
1,6,783.6335,0
1,6,436.2867,0
1,8,528.0885,0
1,6,487.5052,0
1,6,572.8027,0
1,8,488.0733,0
1,4,499.9971,0
1,2,663.1108,0
1,8,487.4268,0
1,4,594.0261,0
1,8,598.1555,0
1,2,531.1973,0
1,2,649.4568,0
1,2,579.4162,0
1,6,473.3592,0
1,6,566.1906,0
1,4,941.9994,0
1,4,695.411,0
1,2,626.9175,0
1,8,524.8344,0
1,2,489.4728,0
1,8,489.9882,0
1,2,477.1053,0
1,8,443.7153,0
1,4,545.9742,0
1,6,499.7447,0
1,6,481.3309,0
1,6,573.7362,0
1,2,445.8523,0
1,8,490.1611,0
0,8,493.3943,0
1,6,489.261,0
1,8,490.4513,0
1,4,602.9126,0
1,2,634.8569,0
1,4,528.8343,0
1,2,470.7251,0
1,4,466.5075,0
0,8,399.2606,0
1,2,588.7183,0
1,4,495.2506,0
1,2,842.5725,0
1,2,439.041,0
1,6,511.7738,0
1,6,534.1716,0
1,6,552.7208,0
1,8,425.3316,0
1,4,578.8269,0
1,6,545.0819,0
1,8,442.7255,0
1,2,531.9018,0
1,8,562.0609,0
1,4,492.0951,0
1,6,595.8248,0
1,6,501.233,0
1,6,486.7111,0
1,6,452.1933,0
1,8,531.3723,0
1,4,472.8603,0
1,2,457.2817,0
1,2,484.5856,0
1,2,651.9391,0
1,2,509.3207,0
