Correct,Size,RT,Target
1,6,1250.0484,0
1,4,1120.1949,0
1,6,1733.3935,0
1,6,1440.4382,0
1,2,922.2513,0
1,8,1413.6334,0
1,8,1566.9701,0
1,2,727.9092,0
1,4,778.7587,0
1,2,1360.5725,0
1,4,836.4872,0
1,6,1225.8844,0
1,2,844.23,0
1,6,993.2395,0
0,8,2296.468,0
1,6,597.3853,0
1,6,1272.9316,0
0,8,1548.2493,0
1,2,703.4691,0
1,2,851.5591,0
1,6,1051.3724,0
1,6,1245.5889,0
1,2,673.6864,0
1,2,1306.5785,0
1,6,783.7295,0
0,2,538.7428,0
0,6,1402.0835,0
1,4,647.0278,0
0,8,714.8724,0
1,8,715.7509,0
1,8,649.9763,0
1,6,831.183,0
1,4,515.9485,0
1,4,659.738,0
1,8,555.7174,0
1,2,949.8614,0
1,2,676.0516,0
1,2,493.9589,0
1,8,1089.1162,0
1,4,445.5233,0
1,4,499.0936,0
1,8,983.4201,0
1,6,654.5299,0
1,4,605.5505,0
1,2,408.1863,0
1,2,750.5296,0
1,4,787.5772,0
1,8,612.5752,0
1,8,675.9903,0
1,4,967.4469,0
1,6,763.974,0
0,8,563.6306,0
1,8,703.7382,0
1,4,802.7911,0
1,2,741.8584,0
1,4,619.3814,0
1,4,947.8584,0
1,2,625.8914,0
1,2,1244.2342,0
1,8,613.1463,0
1,2,599.6368,0
1,8,515.2193,0
1,4,816.3817,0
1,4,660.5135,0
1,8,468.1754,0
1,8,491.3183,0
1,6,571.0515,0
1,2,720.3233,0
1,4,1020.5265,0
1,4,666.0564,0
1,2,538.9426,0
1,6,1049.6147,0
1,8,733.3683,0
1,6,1023.9632,0
1,2,649.4836,0
1,6,631.425,0
1,6,605.3247,0
1,4,763.6759,0
1,4,585.436,0
1,4,804.0862,0
1,8,691.1097,0
1,6,739.9177,0
1,2,634.6869,0
1,6,650.8453,0
1,6,870.4911,0
1,6,595.2205,0
1,4,982.1767,0
1,6,445.0249,0
1,4,918.9643,0
1,8,1203.309,0
1,4,630.9529,0
1,4,543.6034,0
1,2,700.3179,0
0,4,877.8441,0
1,4,573.9207,0
1,8,804.499,0
1,8,614.5399,0
1,8,644.6976,0
1,2,1448.1004,0
1,4,608.1937,0
1,4,922.1622,0
1,2,1126.761,0
1,2,957.0695,0
1,4,673.8084,0
1,6,1013.6457,0
1,6,855.0469,0
1,8,535.6206,0
1,6,809.8151,0
1,2,823.7851,0
1,4,714.3395,0
1,2,682.5069,0
1,2,696.1016,0
1,8,667.6734,0
1,8,815.41,0
1,4,1239.7813,0
1,8,752.5425,0
1,4,672.0539,0
1,4,1151.032,0
1,2,1209.3525,0
1,4,691.4363,0
1,8,662.5713,0
1,8,1006.8448,0
1,8,812.1701,0
1,8,691.3747,0
1,8,715.5112,0
1,8,420.0317,0
1,8,1318.2373,0
