Correct,Size,RT,Target
1,6,698.8367,0
1,2,1005.6409,0
1,4,920.1006,0
1,2,600.9516,0
1,4,626.4801,0
1,4,1137.2088,0
1,8,755.5568,0
1,6,624.1158,0
1,6,539.8301,0
1,2,763.7369,0
1,6,600.6319,0
1,8,551.1674,0
1,2,698.3412,0
1,8,597.3987,0
1,8,938.5182,0
1,2,1218.0633,0
1,4,577.653,0
1,2,1074.5044,0
1,2,1072.6386,0
1,4,620.8159,0
1,6,677.6141,0
1,8,727.9254,0
1,2,1158.8711,0
1,8,647.5829,0
1,6,887.6993,0
1,8,643.8615,0
1,4,721.846,0
1,2,503.5289,0
1,6,965.5796,0
1,4,756.1718,0
0,8,743.9015,0
1,2,761.7625,0
1,2,570.6809,0
1,6,900.2561,0
1,2,647.3037,0
1,4,652.8759,0
1,4,671.1696,0
0,4,7058.2239,0
1,8,654.8095,0
1,4,611.3849,0
1,8,718.457,0
1,6,728.3666,0
1,4,868.8552,0
1,4,1138.1108,0
1,6,702.1557,0
1,6,644.123,0
1,8,697.1353,0
1,2,676.8882,0
1,6,836.3262,0
1,6,639.9846,0
1,8,709.041,0
1,8,764.4949,0
1,8,667.7032,0
1,8,541.7456,0
1,4,915.4011,0
1,2,727.3922,0
1,2,639.0393,0
1,2,675.4237,0
1,8,806.0592,0
1,8,676.8491,0
1,2,708.6501,0
1,6,836.465,0
1,4,681.4078,0
1,4,717.1615,0
1,2,1003.2594,0
1,6,752.6504,0
1,6,573.8511,0
1,4,671.1469,0
1,2,697.5984,0
1,6,722.4434,0
1,6,484.1059,0
1,8,954.8002,0
1,6,653.6045,0
1,4,715.8603,0
0,2,1878.2957,0
1,4,761.5664,0
1,6,668.2856,0
1,2,546.4883,0
1,8,804.0155,0
1,6,518.4906,0
1,4,675.0401,0
1,4,507.4323,0
1,6,1045.2489,0
1,2,766.6487,0
1,6,728.9917,0
1,4,613.2988,0
1,2,699.8657,0
1,8,714.6485,0
1,4,599.2243,0
1,8,707.7242,0
1,8,585.2215,0
1,6,856.6797,0
0,4,622.8633,0
1,4,694.5961,0
1,4,893.328,0
1,8,768.7656,0
1,4,626.1472,0
1,4,700.6653,0
1,2,559.8817,0
1,2,685.7088,0
1,4,576.548,0
1,8,722.2079,0
0,6,635.2141,0
1,8,1031.7374,0
1,6,615.7766,0
1,6,600.7105,0
0,6,615.709,0
0,2,5492.0047,0
1,2,709.1505,0
1,6,766.2758,0
1,4,1134.4127,0
1,8,1579.4661,0
1,6,648.5925,0
1,2,568.4483,0
1,6,785.667,0
1,6,691.1593,0
1,4,653.9334,0
1,6,675.8439,0
1,2,561.0114,0
1,8,668.2048,0
1,6,926.0574,0
1,6,834.3394,0
1,6,567.4644,0
1,6,658.2717,0
1,6,1200.4697,0
1,6,987.8809,0
1,6,1197.8124,0
