Correct,Size,RT,Target
1,6,631.1319,0
1,4,546.1106,0
1,4,444.7319,0
1,8,642.0874,0
1,8,506.3215,0
1,4,570.4552,0
1,2,562.1843,0
1,6,537.3207,0
1,4,592.066,0
1,4,479.8838,0
1,4,470.0781,0
1,4,519.2988,0
1,8,848.7023,0
1,6,435.731,0
1,8,606.4876,0
0,2,500.6244,0
1,8,498.6331,0
1,8,458.7068,0
1,8,466.1471,0
1,4,430.3517,0
1,2,575.0508,0
1,8,428.1389,0
1,4,416.2796,0
1,4,509.7199,0
1,6,443.3543,0
1,2,574.1372,0
1,4,715.107,0
1,4,621.6951,0
1,4,537.5869,0
1,2,511.0513,0
1,6,539.4693,0
1,2,469.3452,0
1,2,479.924,0
1,6,571.3621,0
1,4,518.4024,0
1,4,650.4605,0
1,8,596.0741,0
1,8,668.4389,0
1,2,513.6524,0
1,2,589.1985,0
1,6,559.2803,0
1,4,499.3589,0
1,2,638.5156,0
1,6,471.0441,0
1,6,512.6935,0
1,4,621.8889,0
1,2,457.3004,0
1,6,564.3203,0
1,8,575.2597,0
1,6,474.4117,0
1,2,471.1585,0
1,6,539.6207,0
1,4,573.4355,0
1,6,476.9552,0
1,8,451.5233,0
1,2,430.8513,0
1,4,433.2767,0
1,2,539.1554,0
1,4,619.9581,0
1,8,593.0252,0
1,8,560.3395,0
1,2,560.5502,0
1,6,580.064,0
1,4,507.5708,0
1,8,552.2223,0
1,4,573.0504,0
1,6,1021.4085,0
1,2,520.0345,0
1,8,493.9757,0
1,6,510.1138,0
1,4,524.3028,0
1,2,483.7328,0
1,8,605.4732,0
1,8,659.1007,0
1,2,452.8812,0
1,8,617.9589,0
1,8,578.9932,0
1,6,599.4201,0
1,4,725.4302,0
1,2,447.3512,0
1,6,527.7162,0
1,8,637.2961,0
1,4,470.916,0
1,4,553.7126,0
1,8,754.1705,0
1,8,493.093,0
1,8,527.0113,0
1,4,510.361,0
1,6,527.8472,0
1,6,522.2362,0
1,8,491.1801,0
1,4,494.9583,0
1,2,517.9428,0
1,8,523.0828,0
1,6,514.8973,0
1,6,515.5843,0
1,4,678.4026,0
1,2,437.4423,0
1,2,499.4874,0
1,4,709.6791,0
0,6,472.1845,0
1,6,561.1329,0
1,6,451.5185,0
1,8,492.2381,0
1,4,469.0889,0
1,8,545.0222,0
1,6,509.2385,0
1,2,620.1884,0
1,8,495.9122,0
1,2,487.0063,0
1,4,506.1404,0
1,6,660.6656,0
1,8,443.7781,0
1,6,443.6084,0
1,6,486.7874,0
1,4,507.9538,0
1,2,587.1934,0
1,4,556.6864,0
1,4,623.7536,0
1,2,585.1436,0
1,2,755.9581,0
1,2,742.2542,0
