Correct,Size,RT,Target
1,2,623.1337,0
1,2,601.1787,0
1,2,569.5394,0
1,8,446.0402,0
1,8,454.382,0
0,6,485.0985,0
1,2,803.4498,0
1,2,451.3926,0
1,4,481.5611,0
1,2,542.4487,0
1,6,392.7921,0
1,8,396.5113,0
1,2,421.3606,0
1,8,658.6686,0
1,8,622.9364,0
1,6,501.7327,0
1,6,528.4195,0
1,2,597.6933,0
1,2,1160.9089,0
1,4,689.5609,0
1,2,704.3219,0
1,6,505.0884,0
1,6,639.0172,0
1,6,539.7225,0
1,4,626.4118,0
1,6,667.3695,0
1,4,530.5158,0
1,4,516.9014,0
1,4,641.8491,0
1,6,407.2863,0
0,2,560.7255,0
1,4,671.8079,0
1,2,631.4986,0
1,6,618.2938,0
1,6,738.5462,0
1,6,449.9619,0
0,8,521.8409,0
1,6,471.4619,0
1,8,728.2891,0
1,2,607.6118,0
1,4,638.4286,0
1,8,553.1257,0
1,6,516.1302,0
1,2,996.0608,0
1,6,408.6201,0
1,6,857.5349,0
1,4,513.119,0
1,4,631.0098,0
1,2,473.4065,0
1,4,623.0704,0
1,2,788.431,0
1,2,680.9949,0
1,2,511.1431,0
1,2,926.2845,0
1,8,600.5014,0
1,2,818.5643,0
1,6,538.3356,0
1,6,782.739,0
1,2,634.5171,0
1,2,562.9702,0
1,8,439.2346,0
1,8,421.2718,0
1,4,491.8137,0
1,4,528.3497,0
1,4,622.7842,0
1,8,633.1947,0
1,2,421.1975,0
1,8,533.695,0
1,4,543.7056,0
0,2,948.7117,0
1,8,815.9116,0
1,8,520.4726,0
1,4,450.2934,0
1,8,571.0176,0
1,2,757.3364,0
1,4,461.4998,0
1,8,445.4334,0
1,8,637.5733,0
1,6,681.4889,0
1,8,569.048,0
1,8,565.0226,0
1,2,587.4524,0
1,2,583.8395,0
1,6,555.8828,0
1,8,585.1232,0
1,8,698.1269,0
1,2,485.713,0
1,4,461.0972,0
1,6,720.8429,0
1,2,490.0552,0
1,6,595.9145,0
1,6,500.6201,0
1,6,620.4945,0
1,6,674.7741,0
1,2,425.2164,0
1,4,621.7588,0
1,8,541.1045,0
1,6,559.1791,0
1,4,475.7002,0
1,6,597.2784,0
1,2,513.7386,0
1,2,638.2972,0
1,4,519.8225,0
1,2,628.2164,0
1,8,488.2316,0
1,4,482.6456,0
1,4,630.6285,0
1,2,632.8702,0
1,2,799.0352,0
1,6,658.9006,0
1,8,546.822,0
1,2,429.3803,0
1,2,747.4164,0
1,2,570.426,0
1,6,569.3524,0
1,4,504.6916,0
1,4,708.8512,0
1,6,491.2853,0
1,6,562.3716,0
1,6,544.44,0
1,6,889.2539,0
0,6,459.1171,0
1,6,644.7419,0
1,6,592.3625,0
1,6,483.1359,0
