Correct,Size,RT,Target
0,8,508.6204,0
1,6,598.7455,0
1,8,551.3361,0
1,4,633.8978,0
0,4,555.8266,0
1,4,744.8188,0
1,8,1187.7216,0
1,8,477.149,0
1,4,509.301,0
1,6,570.5013,0
1,6,558.1809,0
1,2,485.4018,0
1,8,479.9642,0
1,6,537.7116,0
1,4,578.9086,0
1,8,672.4536,0
1,4,514.1422,0
1,6,415.3504,0
1,8,553.9664,0
1,2,574.2184,0
1,6,564.8313,0
1,2,640.55,0
1,2,384.2672,0
1,6,384.7879,0
1,6,490.0889,0
1,2,565.6251,0
1,4,500.9407,0
1,2,563.0287,0
1,4,566.3115,0
1,8,562.8084,0
1,2,701.541,0
1,6,483.0908,0
1,4,451.871,0
1,6,489.6424,0
1,2,499.8556,0
1,4,621.308,0
1,6,505.2191,0
1,4,483.8702,0
1,6,512.4851,0
0,2,503.614,0
1,2,537.2278,0
1,4,452.2696,0
1,4,539.1679,0
1,8,535.8669,0
1,4,511.3898,0
1,6,583.7979,0
1,8,448.7466,0
1,6,497.7684,0
1,8,460.9856,0
0,2,440.5734,0
1,6,477.7307,0
1,4,475.3946,0
1,6,506.5492,0
1,4,397.3436,0
0,6,485.9539,0
1,4,506.6716,0
1,4,407.3871,0
1,8,476.5941,0
1,2,821.1009,0
0,2,504.6231,0
1,8,431.2085,0
1,4,521.9264,0
1,8,373.9391,0
1,6,492.5496,0
1,8,427.2437,0
1,6,475.8199,0
1,4,504.733,0
1,4,811.879,0
0,4,477.4354,0
1,6,518.624,0
1,8,532.8099,0
1,8,572.1048,0
1,2,504.1279,0
1,8,389.2643,0
1,4,554.1329,0
1,4,731.699,0
1,8,509.2424,0
1,6,513.6032,0
1,2,398.3856,0
1,4,614.3695,0
1,8,453.8377,0
1,2,574.0191,0
1,8,456.9422,0
1,4,498.6854,0
1,6,409.9858,0
1,6,558.1887,0
1,2,535.5051,0
1,4,442.7798,0
1,2,443.6016,0
1,2,449.57,0
1,6,605.1052,0
1,2,430.5129,0
0,8,455.8384,0
1,8,376.5495,0
1,4,481.3486,0
1,6,522.3512,0
1,8,1100.4549,0
1,2,591.8644,0
1,4,388.7965,0
1,2,470.5064,0
1,4,464.0452,0
1,2,541.2891,0
1,4,493.8221,0
1,2,459.4753,0
1,8,518.1115,0
1,8,554.5299,0
0,8,537.9672,0
0,8,3901.9521,0
1,4,409.3614,0
1,8,422.204,0
1,2,530.3835,0
1,2,766.5801,0
1,4,407.2007,0
1,6,583.3566,0
1,2,481.8997,0
1,4,489.1701,0
1,2,430.1322,0
1,2,406.9359,0
1,6,472.8479,0
1,2,421.3459,0
1,2,459.9243,0
1,2,448.9179,0
1,2,515.1129,0
1,2,549.1558,0
1,2,531.3928,0
1,2,766.8378,0
1,2,538.211,0
1,2,435.292,0
1,2,437.145,0
1,2,562.5702,0
