Correct,Size,RT,Target
1,2,566.0661,0
1,8,409.5209,0
1,4,578.1707,0
1,4,576.197,0
1,6,423.3738,0
0,2,571.9429,0
1,8,568.1703,0
1,4,553.9317,0
1,8,573.9255,0
1,8,486.2255,0
1,8,440.4985,0
0,6,475.0425,0
1,4,389.8863,0
1,8,390.4582,0
1,6,581.6195,0
1,4,479.1035,0
1,6,607.2485,0
1,6,479.3698,0
1,4,437.7752,0
1,2,450.2571,0
1,8,364.1655,0
1,2,507.4299,0
1,4,518.5457,0
1,8,438.2339,0
1,4,409.7374,0
1,4,501.255,0
1,8,520.2336,0
0,8,407.114,0
1,2,513.5501,0
1,4,510.6542,0
1,2,495.4402,0
1,2,461.0589,0
1,2,575.642,0
1,4,507.9376,0
1,8,574.6976,0
1,2,432.4102,0
1,2,546.639,0
1,2,531.6835,0
1,4,518.7,0
1,4,384.9608,0
1,6,486.0958,0
1,2,567.5163,0
1,2,413.608,0
1,4,405.2807,0
1,6,445.1389,0
1,2,591.9443,0
1,2,446.0006,0
1,2,446.3865,0
1,4,452.4571,0
1,8,588.7171,0
1,4,427.818,0
1,4,362.4898,0
1,2,533.4616,0
1,2,434.1943,0
1,4,588.4741,0
1,4,446.1486,0
1,4,456.0004,0
1,8,536.1744,0
1,6,470.3963,0
1,8,682.4839,0
1,8,527.7029,0
1,2,526.4628,0
1,8,494.1827,0
1,4,630.1466,0
1,4,540.9293,0
1,2,513.4704,0
1,8,432.3564,0
1,4,450.5466,0
1,4,478.848,0
1,6,495.0558,0
1,2,568.0564,0
1,4,503.2174,0
1,4,522.4992,0
1,8,506.8834,0
1,6,518.0038,0
1,2,533.9379,0
1,8,460.8712,0
1,6,539.8423,0
1,4,483.1168,0
1,4,507.2379,0
1,8,512.1971,0
1,6,454.7756,0
1,4,503.1542,0
1,8,540.1245,0
1,2,600.6982,0
1,6,569.6823,0
1,6,576.2199,0
1,4,529.1847,0
1,2,533.0896,0
1,2,596.7123,0
1,2,523.0956,0
1,8,471.355,0
1,4,534.3956,0
1,6,633.1396,0
1,6,408.553,0
1,2,534.3888,0
1,4,549.0004,0
1,6,515.2909,0
1,2,509.328,0
1,2,468.1694,0
1,4,519.1861,0
0,4,482.2925,0
1,4,507.9359,0
1,2,442.6208,0
1,8,471.1359,0
1,4,496.9307,0
1,2,668.1013,0
1,6,532.3286,0
1,2,433.3434,0
1,4,466.6123,0
1,4,454.4683,0
1,8,468.6707,0
1,8,488.2297,0
1,2,383.6719,0
1,4,576.3786,0
1,2,660.7657,0
1,4,456.8254,0
1,8,541.8371,0
1,2,621.2312,0
1,8,444.3825,0
1,6,530.1761,0
1,6,443.2983,0
1,6,437.2428,0
1,6,585.6675,0
