Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
1,"(16, -120)",616.7681340010225,0
1,"(8, -90)",713.730015000538,0
1,"(8, 150)",570.4585000001592,2
1,"(8, 120)",549.7927640006586,2
1,"(16, 0)",517.0655929994886,1
1,"(4, -30)",649.4815439999278,2
1,"(16, 180)",592.2575519997102,0
1,"(4, -150)",851.8351790006185,0
1,"(8, 60)",725.3642609992588,1
0,"(4, 120)",530.1699350000766,0
1,"(4, 120)",795.0807619998435,0
1,"(16, -30)",775.2373970013927,2
1,"(4, -150)",621.8577130001271,1
1,"(8, 0)",528.5389399994805,2
1,"(4, -60)",633.0251910001883,1
1,"(8, 30)",593.5141739990562,1
1,"(4, 120)",720.720377999742,0
0,"(16, 120)",500.98157600025877,2
1,"(16, 120)",578.3475970000203,1
1,"(4, -120)",807.945657001101,0
1,"(16, -90)",602.1541710013756,2
1,"(16, 150)",421.6935630009451,1
1,"(16, -180)",627.0703989992675,1
1,"(16, -180)",790.1501909999118,2
1,"(16, 0)",582.2041560002893,0
1,"(16, 90)",859.6362090009555,0
0,"(4, 0)",523.2764540013071,0
1,"(4, 0)",632.4932219993847,1
1,"(8, 150)",594.1001019999297,2
1,"(4, 180)",714.295743999019,2
1,"(8, 120)",677.8240790007025,1
1,"(16, 90)",622.3548579999537,2
1,"(16, 60)",485.4405450003745,1
1,"(16, -180)",708.767941999968,0
1,"(4, 0)",618.2610610010946,1
1,"(8, 90)",503.54637500079696,2
1,"(4, 0)",630.6859480008192,2
1,"(4, 90)",641.3128490001603,1
1,"(4, -90)",600.2610090016154,2
0,"(8, 120)",791.6724269997125,2
1,"(8, 120)",739.6877640001825,0
1,"(8, -180)",460.4430430006963,1
1,"(16, 90)",642.552327000731,1
1,"(8, -30)",633.2845470004307,2
1,"(4, 120)",690.6122299986513,2
1,"(8, 90)",620.0053390001179,2
1,"(16, 120)",507.58753899920555,0
1,"(8, -30)",615.6637340007641,2
1,"(4, -120)",662.7324399995181,2
1,"(8, -150)",679.4452280008321,0
1,"(16, 180)",543.6602529988071,2
1,"(8, 60)",518.8638249999989,2
1,"(4, -30)",486.47938699999065,2
1,"(16, -180)",391.8467019992298,1
1,"(4, 30)",1125.4083120000637,0
1,"(4, -120)",733.2839050012175,0
1,"(4, -180)",758.3370880000351,0
1,"(16, 0)",453.9428509995836,1
1,"(4, 90)",835.2331799995503,0
1,"(8, -60)",701.2554749997711,1
1,"(8, 0)",359.21742000012307,1
1,"(8, -180)",702.9834399998712,0
1,"(16, 30)",481.73387899972147,2
1,"(16, -150)",606.1782500017492,2
1,"(8, -120)",615.5603549994615,0
0,"(16, 0)",473.50177400024256,0
1,"(16, 0)",659.8827539999824,0
1,"(4, -180)",718.6404080001288,0
1,"(16, 0)",613.3573489986069,0
1,"(4, -60)",520.8676680011471,1
1,"(16, 120)",601.3806240005855,1
1,"(8, 180)",620.1570169995015,2
1,"(4, -90)",625.4821760010876,0
0,"(4, -150)",868.8684539991576,0
1,"(4, -150)",556.0807500003924,1
1,"(16, -60)",713.9616029997618,2
1,"(4, 180)",670.6390540001215,2
0,"(4, 60)",664.8980549997126,2
1,"(4, 60)",760.3164899990865,0
