Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
1,"(16, 0)",443.136000000246,2
1,"(16, -30)",505.95279999871855,1
1,"(4, -180)",833.9087999997137,2
1,"(16, 180)",615.0027000007103,0
1,"(16, 0)",505.2474000007496,2
1,"(16, -180)",757.7087000012543,2
1,"(16, 60)",471.27340000080585,2
1,"(4, 0)",424.9641999999003,2
1,"(8, -150)",613.2992999995768,2
1,"(8, 90)",552.2472999986494,2
1,"(8, 180)",766.7426000011037,0
1,"(4, 180)",607.7820000013307,2
1,"(8, 0)",715.9282999986463,1
0,"(16, -30)",-109.0,1
1,"(16, -30)",532.0298000009789,2
1,"(4, 180)",788.9097999999794,0
1,"(8, -30)",679.4709999998449,0
1,"(8, -180)",574.6564999994152,2
1,"(8, 30)",418.1675999993022,2
0,"(4, -120)",765.9680999990233,0
1,"(4, -120)",654.9080999997532,0
1,"(4, 150)",712.3942999991559,1
1,"(16, -30)",548.654900000125,1
1,"(4, 90)",543.770499998951,2
1,"(8, 150)",575.2535000014323,1
1,"(4, -180)",405.4544999984646,1
1,"(4, 150)",816.3100000005361,0
1,"(8, 30)",606.6116000005568,0
1,"(4, 120)",699.9409000003798,0
1,"(8, -90)",629.6403000000428,0
1,"(16, 120)",609.0798999997933,0
1,"(8, -90)",831.8272999990004,2
0,"(8, -150)",636.7586000000447,0
1,"(8, -150)",1046.2236000006815,0
1,"(4, -180)",752.3409999998112,2
1,"(16, 30)",609.1295999998838,0
1,"(4, 180)",664.4049999999115,1
1,"(8, -30)",603.7141999990272,0
0,"(8, 120)",1100.4476000002032,0
1,"(8, 120)",495.33040000134497,0
1,"(8, 0)",460.71359999988636,0
1,"(8, 150)",666.4647000001569,1
1,"(4, 0)",618.4573999984568,2
1,"(16, 90)",680.0438999984326,0
1,"(4, 150)",540.3293000003177,1
1,"(4, -30)",634.0964999985008,0
1,"(4, 180)",527.1281999998027,1
1,"(16, 150)",536.6954999994196,1
1,"(4, -90)",643.5278000011895,2
1,"(16, -180)",549.5040999998455,1
1,"(4, -90)",445.7031000005518,1
1,"(16, -60)",556.7298000009177,0
1,"(4, -150)",678.8853000001982,2
1,"(16, -60)",432.005099999893,0
1,"(4, 0)",532.2166000009165,2
1,"(8, 120)",602.9320000001608,2
1,"(8, 0)",595.5607000000018,0
1,"(16, -120)",625.326300000248,0
1,"(4, 90)",673.2040999999444,1
1,"(16, 30)",516.9100999996008,0
1,"(4, -180)",538.393799999918,1
1,"(8, 150)",767.2614999996003,0
1,"(16, -150)",737.8947999990633,1
1,"(16, 180)",692.1778000000049,2
1,"(4, 90)",682.010599999936,0
1,"(16, 30)",828.7646000011737,0
1,"(16, 0)",664.6102999988361,2
1,"(8, 90)",655.5357999990665,2
1,"(8, -180)",517.9907999994757,2
1,"(16, -90)",666.3348000005644,0
1,"(4, 180)",535.1665999991528,1
1,"(8, 180)",633.739100000108,1
1,"(4, -60)",676.6265999998868,0
1,"(8, -150)",474.3593000006658,1
1,"(16, -120)",504.9356999992742,0
1,"(4, -120)",509.62830000063695,1
1,"(16, 90)",509.7405000000581,1
1,"(4, 0)",539.6223000010796,2
0,"(4, 30)",474.56800000001385,0
1,"(4, 30)",524.6080000000948,1
1,"(16, 0)",821.1300999995874,3
1,"(4, -180)",513.9690000000119,4
1,"(4, -90)",794.5000000003492,3
1,"(8, 90)",574.8864000001195,5
1,"(8, 180)",620.891699998916,3
1,"(8, -30)",544.3096999992267,4
1,"(16, 180)",953.8711999997904,5
1,"(4, 60)",511.37149999923713,3
1,"(16, -60)",541.0022999989596,4
1,"(4, 0)",546.6061999999656,3
1,"(4, -60)",556.8058000011806,3
1,"(4, -90)",616.7657999998628,5
1,"(16, -90)",582.200299999764,4
1,"(8, 0)",563.1717000000353,4
1,"(4, 0)",522.487399999969,3
1,"(4, 120)",474.376299999145,5
1,"(8, 120)",618.8273000010813,5
1,"(16, 60)",541.2238000011857,4
1,"(16, -150)",640.8264999994717,3
1,"(16, 60)",511.17070000001695,5
1,"(8, 180)",500.49670000081824,3
1,"(4, 0)",548.2757000012643,3
1,"(8, 90)",525.0177999991283,3
1,"(16, -120)",675.5496999998431,4
1,"(16, 120)",614.5344999990048,5
1,"(4, 0)",633.0730000012554,4
1,"(4, 30)",491.0017000005755,4
1,"(4, 120)",1072.568600000901,4
1,"(16, -120)",503.98490000081074,3
1,"(4, 0)",401.2998000002117,4
1,"(16, -60)",407.1033000003954,4
