Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
1,"(8, -60)",558.35050000716,2
1,"(8, -90)",608.2093000262976,2
1,"(4, 90)",694.2943999860436,2
1,"(8, 0)",481.7683999976143,1
1,"(8, -150)",730.1727999551222,1
1,"(8, -120)",527.802599998191,1
1,"(8, 30)",489.1594000477344,2
1,"(4, 60)",658.1002000570297,1
1,"(8, -180)",607.7563999537379,2
1,"(16, -90)",538.2919000079855,1
1,"(16, -60)",606.2328001102433,0
1,"(4, -60)",558.9398000705987,2
1,"(16, 0)",488.9146999306977,1
1,"(16, 0)",494.07419998571277,2
1,"(8, 150)",603.693199981004,2
1,"(8, -180)",345.7168998979032,2
1,"(4, 0)",623.7552000060678,2
1,"(4, 30)",635.6034000022337,0
0,"(8, 60)",593.0016999449581,0
1,"(8, 60)",588.2053999779746,1
1,"(8, -150)",604.376900064759,0
1,"(8, 0)",579.4139999747276,0
0,"(8, 90)",663.5418999325484,0
1,"(8, 90)",597.4010000322014,2
1,"(8, 30)",494.6059999605641,0
0,"(8, 180)",538.7962000062689,2
1,"(8, 180)",554.4228000184521,1
0,"(16, 150)",548.432800042443,0
1,"(16, 150)",762.5075999498367,0
1,"(16, -60)",486.4406000673771,1
0,"(16, 120)",722.2048999359831,0
1,"(16, 120)",547.4536000369117,0
1,"(8, 60)",583.7870999788865,2
1,"(16, 120)",600.3567000702024,2
0,"(16, 60)",725.9477000301704,2
1,"(16, 60)",567.4043000293896,2
1,"(8, 0)",539.3765000011772,0
1,"(4, -90)",756.3015999589115,2
1,"(4, 60)",577.2714999588206,0
1,"(4, 0)",681.11519998312,0
1,"(4, 30)",595.4784999452531,1
1,"(4, 0)",808.445500032045,2
1,"(16, 30)",786.223299972713,2
1,"(4, -120)",646.3125000558794,0
1,"(16, -30)",556.5397999566048,2
1,"(4, -90)",863.4412999348715,1
1,"(8, 90)",586.3729999950156,1
1,"(16, 90)",671.4748000344262,1
1,"(16, 180)",623.3622999247164,2
1,"(4, 0)",548.7498000115156,0
0,"(4, -120)",665.4359000353143,0
1,"(4, -120)",663.3674000008032,0
1,"(16, -180)",548.9531999304891,2
1,"(16, -90)",1024.4346999647096,1
1,"(16, 60)",553.4316000379622,0
1,"(4, 120)",533.707800026983,1
1,"(4, 120)",633.8711999673396,1
1,"(8, -30)",500.72860001493245,1
1,"(16, 0)",501.0798000115901,2
1,"(8, -60)",553.9934000084177,1
0,"(4, -120)",886.0739000923932,0
1,"(4, -120)",651.933700017631,2
1,"(8, -120)",528.2189000248909,0
1,"(4, 120)",590.263299931772,1
1,"(8, 0)",550.0435999678448,1
1,"(16, 120)",544.2271000323817,1
1,"(4, 150)",456.4855999164283,1
1,"(16, -180)",530.7402998991311,1
1,"(16, 0)",525.1559999855235,2
1,"(16, 60)",570.4328999239951,1
1,"(8, -90)",573.4891000287607,1
1,"(4, 150)",716.8963000262156,0
1,"(4, 180)",615.5454000076279,2
1,"(8, 30)",449.50209994241595,1
1,"(16, 150)",440.71139994449914,1
1,"(16, -120)",443.31900000944734,1
1,"(16, -180)",735.3102999590337,0
1,"(8, 150)",532.0446999361739,1
1,"(4, -180)",564.9719000179321,1
0,"(16, -120)",692.3975999783725,0
0,"(16, -120)",500.4298999523744,1
1,"(16, -120)",541.5805000197142,1
1,"(16, 90)",541.124599924311,0
1,"(8, 90)",606.2371000265703,2
1,"(16, -150)",483.8984999191016,1
0,"(4, -180)",513.8127999929711,4
1,"(4, -180)",753.5040000770241,4
1,"(8, -180)",686.5611000070348,4
1,"(4, -60)",603.2453999472782,5
1,"(16, -30)",546.1021999912336,5
1,"(8, 180)",555.4882999826223,4
1,"(8, 120)",663.4243000848219,4
0,"(4, 180)",737.4172000531107,3
1,"(4, 180)",681.7142000040039,5
0,"(16, -120)",947.7719999235123,4
1,"(16, -120)",524.0692000919953,3
1,"(4, -150)",594.9954999927431,3
1,"(16, -150)",566.7067000726238,3
1,"(8, -30)",729.2622000062838,4
1,"(8, 120)",567.380299963057,5
0,"(4, -30)",524.0170000437647,4
1,"(4, -30)",653.3836999991909,5
1,"(16, -90)",610.1767999902368,5
1,"(16, 30)",415.9620999675244,5
1,"(4, -30)",516.7582000689581,3
0,"(4, 60)",-109.0,5
1,"(4, 60)",523.0878999540582,5
1,"(16, 180)",472.8710000021383,5
1,"(4, 90)",751.6699999654666,3
1,"(4, -150)",652.6725000552833,4
1,"(4, -30)",549.5438000038266,3
1,"(8, 60)",577.3471999531612,5
1,"(8, 90)",458.5014000153169,3
0,"(8, 180)",600.110000054352,4
1,"(8, 180)",548.1992000099272,5
1,"(16, 150)",517.614399952814,5
1,"(16, 120)",859.2332000229508,4
1,"(16, 60)",528.1626999462023,3
1,"(4, -120)",465.8828999930993,4
1,"(4, -120)",566.5352999316528,5
1,"(16, -120)",498.5042999582365,5
1,"(16, -120)",535.2006999859586,3
1,"(4, -180)",520.4290999649093,4
1,"(4, 180)",549.7436000118032,3
1,"(16, -120)",611.9230000153184,5
0,"(4, -30)",527.8959000101313,4
1,"(4, -30)",982.39930002857,5
0,"(4, 60)",919.0616999370977,5
1,"(4, 60)",338.19470001291484,3
1,"(8, 180)",707.8399999849498,5
1,"(4, -30)",535.2632999969646,3
1,"(4, 60)",572.2810000265017,4
