Correct Response,Size/Rotation (deg/deg),Reaction Time (ms),Target
1,"(16, 150)",548.7237999886461,1
0,"(4, 180)",486.394600008633,1
1,"(4, 180)",790.6325000194088,0
1,"(16, 90)",696.9707999932766,2
1,"(4, 180)",508.93750000700356,1
1,"(16, 180)",730.9469000292197,1
0,"(16, -180)",483.06180000958966,2
1,"(16, -180)",623.6714000087418,1
1,"(4, -30)",676.4387000557222,0
1,"(16, 150)",565.136700050924,1
1,"(8, -120)",694.5374999749661,1
1,"(8, 90)",641.1826999946684,2
1,"(8, 30)",499.9275000272505,2
1,"(8, -120)",602.8272000230104,0
1,"(8, 150)",640.2354999999702,2
0,"(4, 180)",533.7223000214622,2
1,"(4, 180)",642.6475999732688,0
1,"(8, 120)",593.0805999641493,2
0,"(16, 120)",695.7650000085309,2
1,"(16, 120)",833.8273999951966,1
1,"(4, -90)",668.7854999881424,1
1,"(16, 150)",753.3950000042282,0
0,"(8, -150)",808.6127999676578,2
1,"(8, -150)",613.7141999760829,0
1,"(8, -90)",691.4835000033677,1
1,"(4, 90)",653.1867000130192,0
0,"(16, -150)",-96.02,0
1,"(16, -150)",578.8803999866545,0
0,"(8, -30)",952.8178000445664,2
0,"(8, -30)",1125.2809999832139,2
1,"(8, -30)",842.3147000111826,0
1,"(8, 30)",593.3622000129149,1
1,"(4, -60)",718.8670999575593,2
1,"(4, 150)",566.4024999686703,1
0,"(4, -180)",689.712900025323,2
1,"(4, -180)",726.1513000093587,2
1,"(8, 120)",668.9417000133731,0
1,"(16, 120)",573.9960999898799,0
1,"(16, -30)",508.7167000137456,1
1,"(8, 150)",531.3813999500312,1
1,"(4, 120)",658.2870000247099,2
1,"(16, 0)",501.6724999849871,0
1,"(16, -180)",651.3468000311591,1
0,"(16, 120)",638.1545000449009,0
0,"(16, 120)",502.56290001284333,0
1,"(16, 120)",609.3820999930799,0
1,"(8, 0)",487.15120000720026,1
0,"(16, -60)",678.3491999930889,2
1,"(16, -60)",578.4714000155404,2
1,"(8, -120)",512.4512999872863,1
1,"(8, 0)",590.0210000081174,0
1,"(16, -60)",512.2874000198394,1
1,"(8, -180)",603.7615000358969,0
0,"(4, 0)",604.4887999859825,2
1,"(4, 0)",633.7415999705158,0
0,"(8, 0)",498.91490000022577,0
1,"(8, 0)",578.9099999792129,2
1,"(16, -60)",679.9797000102885,1
1,"(4, 60)",675.6248999708519,1
1,"(16, -30)",567.100599987451,2
1,"(4, -30)",538.6423999997974,1
1,"(16, -90)",662.4356000074372,0
1,"(4, 150)",558.4621999850683,1
1,"(8, 60)",591.8761999900639,2
1,"(8, -90)",542.2555000377074,2
1,"(4, 60)",519.5018000058085,1
0,"(4, -60)",628.9310000110604,0
1,"(4, -60)",701.8587000174634,1
1,"(8, 150)",647.9725000071526,1
1,"(8, 30)",549.9614999834635,0
1,"(16, 120)",774.5458999970183,0
1,"(8, 30)",818.4144999804162,0
1,"(4, -30)",761.9385999832489,2
1,"(8, 180)",692.4717999617756,0
1,"(8, 0)",496.1655000196956,1
1,"(16, 30)",619.1266999785043,2
0,"(8, -180)",594.3312999997474,2
1,"(8, -180)",500.10430003471674,1
1,"(8, -30)",530.6533000520617,2
1,"(16, 120)",634.2713999883458,1
1,"(16, 0)",548.5519999610447,2
1,"(8, -30)",608.1626999629848,0
1,"(8, 60)",514.305500019826,1
1,"(16, -120)",575.7507000207156,0
1,"(4, 0)",669.6775000281818,1
1,"(4, 150)",594.724299965445,1
1,"(16, -60)",534.2186000170373,2
1,"(4, 0)",711.5179999936558,0
1,"(16, 0)",475.5874000229128,1
1,"(8, -150)",579.2786999927089,1
1,"(4, 30)",839.3558999495767,0
0,"(4, 0)",629.3560999883525,4
0,"(4, 0)",446.5791999800317,5
0,"(4, 0)",698.7216999959387,5
0,"(4, 0)",675.590600000713,3
0,"(4, 0)",689.2560999812745,4
0,"(4, 0)",557.4596999767423,4
1,"(4, 0)",568.1672000182048,3
1,"(4, 120)",685.8074999735877,3
1,"(8, -90)",610.4504999793321,3
1,"(16, -90)",476.1859000399895,3
1,"(8, -150)",590.3064999701642,4
1,"(16, 120)",749.9859000062756,5
1,"(4, 60)",607.872600024119,3
1,"(4, 120)",700.7399999974482,4
0,"(4, 90)",592.9008000502549,5
1,"(4, 90)",557.2233000393212,3
1,"(4, -120)",750.5929000298679,4
1,"(4, -150)",744.6207000147738,4
1,"(16, 60)",754.6756999772228,4
1,"(16, -150)",721.6002999893576,5
0,"(8, -90)",937.689200040903,5
1,"(8, -90)",621.5038999770954,4
0,"(16, -90)",593.7283000066132,4
0,"(16, -90)",612.8098999588005,5
1,"(16, -90)",502.371100007575,3
1,"(8, 0)",502.9804999912344,4
1,"(8, 0)",546.1699999841117,5
1,"(4, 0)",639.5520999767073,5
1,"(16, 90)",661.9171999599971,5
1,"(4, -90)",563.8187000267394,3
1,"(4, -60)",676.7703000195511,4
1,"(8, -120)",559.8531000404805,3
1,"(16, 90)",549.3176999706961,3
1,"(8, 90)",608.172899982445,3
1,"(16, -180)",656.7390999961831,5
1,"(16, 150)",547.2666000104696,5
1,"(16, -120)",585.2174999863096,3
0,"(4, 60)",596.7379999901354,3
0,"(4, 60)",570.5500000012294,4
1,"(4, 60)",698.7265000324883,5
1,"(16, -180)",551.4407000127435,3
0,"(4, -150)",719.4629000122845,5
0,"(4, -150)",762.4259000267089,5
1,"(4, -150)",773.1171000022628,5
1,"(4, 0)",687.5357999787852,4
1,"(4, 90)",607.3217000202462,3
1,"(8, -60)",661.8585999794491,5
1,"(8, -180)",723.8457999746502,4
0,"(16, -180)",630.5204000063427,5
1,"(16, -180)",745.4161000177451,4
0,"(16, 180)",691.9467999804951,5
1,"(16, 180)",705.7971000294388,4
1,"(16, 30)",552.8703999561444,3
1,"(8, -120)",565.5907000154443,3
0,"(8, -120)",861.9041999890655,5
1,"(8, -120)",540.2231999878027,3
0,"(4, -120)",673.6126000150293,3
1,"(4, -120)",792.6596000297181,4
1,"(4, -90)",708.2863000077382,4
1,"(8, -180)",541.0293000140414,4
1,"(8, -180)",570.165200039763,4
1,"(8, 180)",622.7590999887511,5
1,"(16, 60)",625.0761999953725,4
1,"(16, 90)",624.6252999962494,4
1,"(8, 120)",693.9125999896974,5
0,"(16, -150)",808.8807000285201,3
1,"(16, -150)",798.7644000067562,5
1,"(8, 0)",514.0140000120923,3
1,"(4, -30)",742.3299999763444,4
1,"(16, 180)",570.3213000060246,3
0,"(4, 150)",785.4143999838457,5
1,"(4, 150)",650.3171000485495,3
1,"(4, 90)",903.9592000162415,4
1,"(8, 120)",598.6392000313103,5
0,"(8, 60)",1024.11830000069,3
1,"(8, 60)",629.3927999767661,3
0,"(4, -150)",-96.02,3
1,"(4, -150)",526.7157999887318,3
1,"(8, 0)",676.0287000187859,5
1,"(8, 120)",743.8941000118107,4
0,"(4, 150)",611.9925999636948,4
1,"(4, 150)",729.1126000317931,4
1,"(4, 90)",738.4237999767251,5
1,"(16, -120)",758.2433999604732,4
1,"(16, 30)",546.6061000451632,3
1,"(16, -150)",487.82119998663666,3
0,"(4, 180)",840.6454000477866,3
0,"(4, 180)",645.8576000267826,4
0,"(4, 180)",581.7520999671146,5
0,"(4, 180)",773.9583000047319,5
0,"(4, 180)",554.6748999594897,4
1,"(4, 180)",625.7748999605142,3
0,"(4, 30)",626.4403000213392,5
1,"(4, 30)",615.1496999636479,3
1,"(16, 150)",602.8816000297852,3
1,"(8, 180)",712.1557999607362,4
1,"(8, -150)",734.0703999479488,3
1,"(8, -60)",628.7320999517292,4
