Correct Response,Height/Rotation,RT,Face
1,"(8, 0)",566.6831000093371,1
1,"(4, -60)",862.8548999517225,1
1,"(16, 150)",614.9069000352174,1
1,"(16, -30)",581.759600023739,2
1,"(16, 150)",596.1527000148781,1
1,"(16, -120)",1003.2684999718331,2
1,"(16, 60)",688.341099998448,2
1,"(4, 120)",533.4797000363469,1
1,"(4, -90)",578.5045000342652,1
1,"(4, 0)",413.5131000042893,1
0,"(16, -90)",848.6578999985941,0
0,"(16, -90)",880.3432999961078,0
1,"(16, -90)",737.4116000104696,0
1,"(4, 60)",602.2315000267699,1
1,"(8, 0)",587.3190999813378,2
0,"(4, 0)",711.1154999551363,2
1,"(4, 0)",486.46430001500994,2
1,"(16, 30)",489.5433000023477,2
1,"(8, 180)",546.8509999886155,1
1,"(16, 30)",845.4489000109024,0
1,"(8, -30)",539.3731999760494,0
1,"(4, 150)",785.461499992758,2
1,"(8, 30)",849.1152999890037,1
1,"(8, -30)",486.4836999881081,1
1,"(8, 120)",535.8679000022821,2
1,"(16, 120)",600.6624000114389,1
1,"(4, 150)",585.7798000182956,2
1,"(16, 90)",994.3264000434428,1
0,"(4, 120)",782.4384000236169,0
1,"(4, 120)",602.3014999777079,0
1,"(16, -60)",567.9902000087313,1
1,"(8, 30)",508.07330000353977,1
1,"(4, -150)",712.0602999897674,2
1,"(16, -30)",712.1785000166856,0
1,"(16, -150)",921.9872999787331,2
1,"(4, -30)",531.1505999965593,1
0,"(16, 60)",620.027200024575,2
1,"(16, 60)",543.7519000228494,2
1,"(16, -150)",606.821199992206,2
1,"(16, 0)",526.2745999465697,2
1,"(4, -150)",649.527799975127,1
1,"(16, -150)",529.2942000054754,1
1,"(16, 120)",561.3109999652952,2
1,"(8, 180)",778.2428999748081,0
1,"(16, -60)",584.1711999932304,0
1,"(8, 0)",696.5186999845318,2
1,"(8, -30)",503.27769998367876,1
1,"(8, -120)",621.3698000032455,1
1,"(16, 120)",555.484100008849,2
1,"(8, -60)",720.0056000114419,0
0,"(16, -90)",535.480399962049,0
1,"(16, -90)",821.8200000086799,1
1,"(4, -60)",533.7939000423066,1
1,"(4, -90)",692.1789000011049,1
0,"(4, 180)",498.24819998722523,0
1,"(4, 180)",527.308699962683,1
0,"(8, 150)",878.5961000216193,0
1,"(8, 150)",675.1225999873132,1
1,"(4, 30)",778.2166000073776,0
1,"(16, -60)",577.86879996676,0
1,"(4, 120)",606.0709999841638,2
1,"(4, 30)",603.6197000034153,2
1,"(16, -150)",589.1071000336669,2
1,"(16, 0)",638.5013000075705,0
1,"(8, -180)",677.1970000085421,0
1,"(8, 150)",612.8322000117041,1
