CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,4,633.025191000188,1
1,8,701.255474999771,1
1,4,520.867668001147,1
1,16,713.961602999762,2
1,8,672.202390998637,0
1,4,511.379166000398,3
1,4,602.385950998569,3
1,16,569.955736000184,3
1,16,747.909425999597,3
0,4,703.323154999298,5
1,4,803.597900999949,4
1,8,601.514449999586,4
1,8,765.846653999534,4
1,8,639.644974998946,4
1,8,660.78262200047,8
1,16,842.268100000938,8
1,16,593.355396000179,8
1,16,576.713071000841,6
1,4,653.134013000299,6
