CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,469.988099994604,1
1,16,607.351100010797,2
1,8,479.770000031218,0
0,4,765.561899981927,0
1,4,556.438500000164,0
1,16,617.430599985179,2
1,8,526.817500005942,0
0,4,557.267799970228,2
1,4,484.600999971386,2
1,4,413.628999955487,5
0,8,640.464599997737,4
1,8,487.908200008329,3
1,8,441.73319998337,4
0,16,468.976399974432,3
1,16,490.678500031587,4
1,4,430.137599989772,6
1,4,640.792799993884,6
1,16,550.839500032831,6
1,8,498.574799971189,7
1,8,574.130199962761,6
1,4,444.869600000326,7
