Var1,Var2,Var3,Var4
1,10.58,460.700299941041,1
1,2,448.796899990216,1
1,1.41,644.259100082368,2
1,4,495.48219994273,1
1,10.58,647.155300016552,0
1,1,607.71430004485,1
1,14,453.015699983612,0
0,0.71,617.478700006418,2
1,0.71,604.691899964623,2
1,0.71,861.262100051194,0
1,10.58,611.025899998881,0
1,1.41,513.82580003798,1
1,0.71,634.064999992065,1
1,1,505.615400034972,2
1,1.41,611.510200077705,2
1,8,469.111899962686,2
1,2,578.622199945189,2
0,0.5,719.156999956854,0
1,0.5,662.798000034913,0
1,0.5,638.203100069463,0
1,14,1033.81799999721,2
1,0.71,832.501699916124,2
1,2.83,498.4032999501,2
1,2,598.931699992195,2
1,0.5,672.372899950519,0
1,0.5,925.145599992052,2
1,2,569.237799966745,2
1,5.66,456.459300011434,1
0,2.83,517.579299980812,0
1,2.83,614.120200044513,1
1,2.83,582.399699954353,2
1,1.41,671.236199909858,1
1,5.66,579.145499971733,2
0,0.5,876.871000045016,2
0,0.5,750.156699913591,2
1,0.5,729.345900007561,0
1,4,485.891500023231,1
1,14,480.124700000547,1
1,4,811.705799890719,2
1,14,655.509199948087,0
1,1.41,573.626799975559,0
1,10.58,627.179399948604,2
1,8,457.08059996929,1
1,1,616.2678999836,2
1,2.83,686.015799991824,0
1,10.58,443.762499956451,1
1,4,598.593099975064,1
1,1,748.730200110972,2
1,0.5,688.053200022355,0
1,8,987.432099996172,0
1,2.83,550.816200092472,1
1,2,645.14889998924,1
1,2.83,514.804500039704,2
1,2.83,775.413100026585,0
1,4,618.742500083558,0
0,0.71,1062.35489994384,2
0,0.71,804.521300016008,2
1,0.71,959.383500042409,2
1,0.71,681.359200040847,0
1,0.5,629.19290002998,1
1,10.58,631.754899980538,1
1,14,685.439700028896,2
1,1,625.051400043108,1
0,0.5,765.130499960892,2
0,0.5,596.537900041826,2
0,0.5,619.58770000007,1
1,0.5,698.670899962112,1
0,0.71,694.899199997112,1
1,0.71,795.29379995171,1
0,0.5,835.133100045882,0
0,0.5,1030.16530000702,2
1,0.5,1027.39549998757,1
1,1.41,749.661200098731,0
1,5.66,588.52630003918,1
1,2,602.597099962682,0
1,1,649.957699934989,1
1,0.71,1099.96689995848,2
1,4,695.654700045511,1
1,0.5,665.475799935907,0
1,1.41,601.335500018708,1
1,4,613.161599963009,0
1,8,465.283199912906,0
1,4,637.836699957065,2
1,0.71,669.819099945985,0
1,8,542.069899966978,0
1,1,623.899800005406,0
1,8,427.851399989836,0
1,5.66,408.093100065403,0
1,4,511.233700091057,2
1,5.66,559.816900059618,1
1,2,350.060300087593,0
0,4,547.44690004833,2
0,4,716.268899967931,2
1,4,497.189600021616,2
1,10.58,558.996199980415,0
1,1,796.758500045203,1
1,14,566.408199957609,1
1,8,574.349400006272,2
1,2.83,561.041199952401,2
0,14,571.262999904379,2
1,14,683.585899999402,1
0,0.71,-99.04,2
1,0.71,676.57509993393,1
1,8,436.356700026467,0
1,10.58,520.766199916638,0
1,8,564.049700043201,1
1,8,587.612799951844,0
1,1.41,441.801800044291,0
1,4,829.317299999334,2
1,2.83,518.224100001194,0
1,2,519.186399994455,0
0,2,965.048299986906,2
1,2,654.232300004028,2
1,5.66,525.17020003967,1
1,10.58,512.594099972434,2
0,2,679.373099935278,2
1,2,679.466899951026,2
1,4,470.156800002828,0
1,14,520.22420009695,2
1,0.5,583.63529993318,1
0,5.66,607.633200009391,0
1,5.66,469.383699936829,1
1,0.71,542.785100057758,1
1,1.41,506.002499955744,1
1,1.41,511.025300017595,1
1,5.66,334.957899992391,1
1,0.5,664.25190004617,2
1,5.66,551.803600044027,2
1,14,441.228499986269,2
1,1,892.293800018765,0
1,0.71,760.107700015456,0
1,0.71,610.173500027545,1
1,8,521.958799917288,2
0,0.71,721.379600000605,2
1,0.71,890.614500037432,0
1,5.66,497.829800006971,2
1,0.5,919.811300003007,0
1,10.58,567.576300004534,2
1,2,448.687499972098,2
1,10.58,592.83320000492,2
1,2.83,450.361600030251,2
1,8,427.815999953113,2
0,1,710.801200010851,0
1,1,643.247600063719,1
1,14,485.912800069004,1
1,8,349.081199966408,1
1,5.66,555.877199979536,2
1,8,391.46980003085,1
1,14,515.658099903762,0
1,2.83,633.898200002536,2
1,4,466.194199981205,1
1,14,405.452599982768,1
1,1,558.753099991977,1
1,2,434.61669993218,1
1,14,461.110300036184,2
1,5.66,453.91899999328,0
1,2.83,449.489700026847,1
1,10.58,468.856699998528,0
1,1,535.873500049152,1
0,1.41,596.31670010373,2
1,1.41,632.996300003529,2
1,2.83,478.346299963109,2
1,1.41,574.978900026567,1
1,0.5,664.572700044178,1
1,1,632.438399946354,0
1,1.41,493.551800028458,1
1,2.83,594.91089999307,0
1,1.41,552.559599979818,2
1,2,518.124699942805,2
1,10.58,447.335200035982,1
1,14,503.390600090884,2
1,5.66,542.706799927205,1
1,4,436.212399975434,1
