Var1,Var2,Var3,Var4
1,2.83,600.906100008157,1
1,2,633.7337000009,0
1,4,544.787399995127,1
1,5.66,529.683399989605,1
0,14,509.455199994133,2
1,14,740.642199991723,2
1,2.83,453.393200005391,1
1,14,431.681700007627,2
1,10.58,616.514499998172,1
1,4,661.225300006205,2
1,0.71,626.101099988315,0
1,10.58,474.277400004663,1
1,0.71,535.82320000032,0
1,2.83,558.76859999307,0
0,1,616.153700001175,1
1,1,613.525200009914,1
1,10.58,969.66089999523,0
0,0.5,-91.86,0
1,0.5,590.358699992518,0
1,8,960.649299988742,2
1,1.41,561.71129999029,2
1,2.83,538.395099997157,1
1,1,706.979700000826,2
1,14,627.578800006174,1
1,5.66,558.381499999538,1
1,1,402.361700006165,1
1,10.58,628.068000005893,0
1,5.66,498.044300009948,2
1,5.66,569.252199988565,0
1,2,418.019199991701,1
1,0.5,740.052099994952,0
1,1.41,516.909000013126,1
1,4,481.483800002476,1
1,14,500.477499998393,1
1,2,564.589899994186,2
1,1,492.701200012104,1
1,14,507.373900007675,2
1,0.5,778.266200010418,0
1,0.5,748.469700004077,2
1,10.58,752.555200001094,2
1,1,650.104899993036,1
1,1,573.920600000289,0
1,1.41,549.648700005943,2
1,2.83,575.29930000646,2
1,10.58,375.655700001968,2
1,8,599.677100006826,0
1,5.66,529.297300003688,0
1,1,566.475000000079,2
1,0.71,614.454000010025,0
1,0.71,441.448599988231,0
1,2,555.219999995185,1
1,10.58,545.094499990679,2
1,8,523.102300009211,1
1,2,560.812199998051,0
1,8,780.27379998866,1
1,1.41,987.848300007042,1
1,10.58,506.049199990681,0
0,14,910.867800005232,2
1,14,530.848099996089,2
1,2,544.495599999661,0
1,2.83,661.620100000161,1
1,2.83,532.619599995539,0
0,0.71,986.009700005976,1
1,0.71,677.407299998319,0
1,5.66,969.784000001252,1
1,1.41,546.884799987762,0
1,10.58,931.254600000554,1
1,1.41,486.423399998327,2
1,8,718.810799997752,1
1,10.58,524.978899994036,0
1,4,538.109100002199,0
1,0.71,598.538400009144,0
1,0.71,912.191000010804,1
1,5.66,549.253799996674,0
0,4,-91.86,1
1,4,469.416199994609,1
1,10.58,438.385300004026,0
1,8,532.320600003456,2
1,5.66,815.226499995785,1
1,1,635.568199999849,2
1,2,461.590600011274,0
1,0.5,847.035200000843,1
1,2.83,584.812499990673,2
1,4,451.679199992665,2
1,8,480.055900000022,0
1,10.58,513.826599999899,0
0,0.71,598.040999990641,2
1,0.71,642.215999993365,0
1,4,448.089300000444,2
1,10.58,678.99509999597,1
1,2.83,573.267800006303,2
1,1.41,802.781400009277,2
1,1.41,469.93580000753,2
1,5.66,473.982399999383,2
1,1.41,490.582499988247,0
1,1.41,1163.32290000036,1
1,0.71,402.17830000665,1
1,14,903.966599988504,1
1,1.41,496.666999999885,0
0,0.71,910.452899989192,2
1,0.71,601.348099997719,0
1,1,538.277999993167,0
1,14,579.793199999128,0
1,14,421.585100004901,0
1,0.5,989.768300002194,1
1,4,824.33720000017,1
1,0.5,880.724900009679,0
1,8,541.302400001311,2
1,2,349.154299998642,1
1,0.71,722.120199993239,0
1,1,576.453999995007,2
1,1,768.801200000322,2
1,8,576.306900009965,1
1,2.83,566.556800011764,0
1,2,481.983500009389,0
1,14,534.040200000615,0
1,8,397.721200003158,0
1,0.5,781.581000003368,1
1,2.83,365.056900002398,1
1,2.83,376.672400002005,1
1,0.71,628.376500012106,2
1,1,604.395499991821,1
1,4,461.514100010842,1
1,0.71,483.854200007496,1
1,4,493.707200003425,0
1,8,510.790500004529,1
0,2,415.840200003455,0
1,2,635.743600011207,0
1,10.58,541.35710001037,0
1,1.41,662.217399993548,0
1,8,534.794500010773,0
1,4,380.240699989824,1
1,5.66,438.630799996187,0
1,5.66,512.788900000029,2
1,5.66,329.091299995068,1
1,14,429.880900003351,1
1,2,396.808599995435,1
1,2.83,464.214100008118,2
1,0.5,811.099099999862,2
1,0.5,432.839200002942,2
1,0.5,575.726800002027,1
1,4,431.063299999093,1
1,0.5,612.908900002819,1
1,4,350.66399999823,1
1,2.83,666.414899999378,0
1,1,581.889299996416,2
1,14,466.972499998971,0
1,2,445.216400010847,1
1,14,474.78780000574,0
1,0.71,352.92920000256,1
1,1,753.037899994976,0
1,2,357.344899996403,1
1,8,483.621400010176,0
1,5.66,491.546000005198,1
1,14,348.228599993032,1
1,1.41,548.844499994172,0
1,0.5,815.563500000732,2
1,2,470.467299994649,1
1,5.66,334.02350000733,1
