Correct Response,Rotation (deg),Actual Time,Target
1,-30,475.7743,1
1,90,432.8047,0
1,-150,573.2845,2
1,-150,535.2713,0
1,-30,526.0902,0
1,-120,466.4026,0
0,30,410.3411,1
1,60,490.2992,0
1,-120,517.0642,1
1,-120,412.9107,1
1,180,527.5634,2
1,-120,521.6152,0
0,120,475.8557,2
1,180,515.8618,1
1,90,429.7647,0
1,0,450.3091,2
1,30,393.579,0
1,-150,588.1794,2
1,30,424.1813,0
0,-90,567.7566,2
1,-150,460.1723,0
1,180,419.326,0
1,-120,388.0975,0
0,30,542.7549,1
1,180,410.8666,2
1,30,369.572,0
1,-90,441.5726,2
1,-30,523.5923,1
1,-150,466.6222,2
1,180,347.4286,2
1,30,425.635,0
1,-90,392.028,0
0,-30,408.6567,1
0,-30,502.6533,2
1,150,433.4427,2
1,0,420.2267,0
0,150,339.8841,0
1,150,550.8675,2
1,-30,507.6792,2
1,30,393.2313,1
0,180,485.3909,1
1,60,531.8869,0
1,60,526.8686,2
1,-90,520.8605,0
1,120,446.5218,0
0,-150,492.9065,2
1,150,448.2584,1
1,120,372.861,2
1,-150,524.789,1
1,150,486.9435,1
0,60,497.6347,2
1,-120,486.1237,2
1,-90,441.8905,0
0,-150,535.404,1
1,-90,511.6379,0
1,0,541.5547,1
1,30,508.1747,2
1,120,421.7456,0
1,60,458.8436,0
1,-120,373.8665,0
1,-30,478.2808,1
1,-150,398.357,1
1,-60,496.5931,0
1,-30,486.6544,0
1,-30,424.323,2
1,-120,435.8505,0
0,90,479.0604,2
1,-30,526.2213,1
1,0,441.8284,0
1,-60,480.4347,0
1,150,549.4036,2
1,0,405.3756,2
1,-60,506.6759,1
0,180,414.0002,0
1,60,532.893,1
1,-120,479.995,2
1,0,471.8977,2
0,-150,631.7011,1
1,30,571.1079,1
1,-90,384.7057,2
0,0,482.4361,2
1,-30,426.2834,2
1,-30,360.5651,2
1,-60,366.0147,2
1,90,605.6567,1
1,90,386.4729,1
1,-90,495.9617,1
0,150,454.8515,2
1,60,557.8412,1
1,150,452.4441,2
1,120,523.6612,2
1,0,582.9208,0
1,180,491.2916,2
1,-60,610.2426,0
1,180,499.3319,2
1,90,492.3962,2
0,0,415.9116,1
0,150,542.0181,1
1,0,683.3294,1
1,-30,477.5869,1
1,30,431.8749,2
1,-150,473.0273,0
1,60,436.1411,2
1,120,594.0289,0
1,-150,448.6323,2
1,-60,565.5144,0
0,-60,609.7926,1
1,0,503.3396,2
1,90,717.2196,2
1,180,462.6456,1
0,60,467.0018,0
1,60,444.5037,0
1,-60,428.6274,0
1,-90,380.1735,0
1,120,552.9743,1
1,150,507.85,2
1,60,509.6833,0
1,-60,477.7877,2
1,120,456.009,0
1,150,427.0852,2
1,-90,472.5673,0
1,180,447.0281,1
1,-30,502.3424,1
1,120,500.4835,0
0,150,430.2638,0
1,-120,561.7871,0
1,30,450.2732,2
1,150,523.6679,1
0,-150,611.5047,1
1,120,509.8676,1
1,150,637.743,2
1,-90,558.9837,2
1,120,545.7716,0
0,0,527.3877,0
1,-150,850.8977,2
1,-150,447.6907,2
1,-60,445.9221,2
1,120,615.3055,0
1,-120,548.8089,1
1,-30,391.4235,1
1,0,392.7271,1
1,180,456.2473,2
1,90,441.0999,2
1,90,511.1471,0
0,90,505.5599,2
1,120,369.1384,1
1,30,522.3053,0
1,-60,386.9509,2
0,-120,381.2939,1
1,-90,481.3962,0
1,90,437.6518,1
1,-120,367.422,1
0,-60,361.3683,2
0,120,420.9671,1
1,-90,481.0522,2
1,90,521.0062,0
0,180,483.1554,0
1,90,506.8331,1
1,180,407.1054,2
1,150,505.5402,1
1,60,504.9263,1
1,-60,360.9534,1
1,120,485.4391,0
1,90,420.8319,1
1,-90,386.8208,1
1,180,528.299,2
1,30,419.1672,2
0,-60,439.5514,2
1,60,510.175,0
1,30,446.6098,0
1,60,524.8401,2
0,-90,522.563,2
1,30,482.8594,1
1,0,447.1708,2
1,90,480.9604,0
1,-60,457.9263,1
1,0,405.3142,1
1,-120,480.6049,0
1,-120,454.5031,1
1,60,456.702,2
1,30,555.7353,1
0,120,311.2775,0
1,-90,430.4638,2
1,30,418.7475,0
1,-30,418.7028,0
1,-30,430.0752,1
1,150,454.7699,1
1,180,455.282,0
1,-150,476.065,1
1,60,525.8422,0
1,-150,479.6949,2
1,90,419.9066,1
1,180,515.9062,1
0,-150,401.8285,0
1,0,432.3824,2
1,150,394.6889,0
1,0,457.0163,1
1,150,455.1203,2
1,-60,402.2663,1
1,60,405.8935,2
0,150,412.1382,1
1,-150,403.6186,1
0,0,352.6118,0
0,90,506.5285,2
1,-120,624.2957,0
0,-60,413.9432,2
1,120,449.3901,2
1,180,442.358,2
1,-60,408.7725,2
1,-90,449.6221,0
1,120,436.8527,2
1,-150,441.9508,2
1,150,413.2609,2
0,0,370.8696,1
0,90,879.6619,0
1,-60,433.5768,1
1,0,449.2397,2
1,90,413.3263,2
1,-180,527.56,2
1,-180,515.86,1
1,-180,419.33,0
1,-180,410.87,2
1,-180,347.43,2
0,-180,485.39,1
0,-180,414,0
1,-180,491.29,2
1,-180,499.33,2
1,-180,462.65,1
1,-180,447.03,1
1,-180,456.25,2
0,-180,483.16,0
1,-180,407.11,2
1,-180,528.3,2
1,-180,455.28,0
1,-180,515.91,1
1,-180,442.36,2
