Correct Response,Rotation (deg),Adjusted RT (ms),Target
1,0,412.1329864,2
1,90,653.9787865,1
1,60,384.7174864,1
1,120,560.7194868,0
1,-30,372.7436862,0
1,-120,487.7822865,0
0,120,321.8509867,2
1,180,585.8886866,1
1,-30,560.3776863,0
1,-60,550.1710866,1
0,-60,404.3009868,2
1,-30,369.8423868,2
1,30,527.9250867,1
1,-30,443.3409865,2
1,60,362.3338864,2
1,90,560.7264866,0
1,180,728.5398864,2
1,-90,517.9631869,1
1,120,456.1760864,2
1,60,493.7513867,1
1,-120,660.1827867,1
0,-60,475.7013866,0
1,30,586.3419865,2
1,0,612.2389869,1
1,60,519.4582865,1
1,-30,386.0182865,1
0,-150,499.1150867,0
1,30,713.2547866,0
1,-150,448.0527868,0
1,-150,592.5556864,2
1,150,529.4773863,1
1,-150,473.3776865,1
1,60,524.4301865,2
1,-120,494.7105865,1
1,150,487.7566863,1
1,-30,508.0562867,2
1,90,470.2069867,1
1,150,519.0776866,2
1,0,476.198087,0
1,0,353.6048867,0
1,-60,361.6190865,0
1,150,426.5890867,0
1,-60,527.7795866,2
1,-150,390.2756865,2
1,90,506.4117867,1
1,60,460.5754866,2
1,120,443.3999863,1
1,-120,442.7187867,1
1,90,470.7983863,0
1,-30,510.9159868,1
1,-60,471.5431868,2
1,30,539.5527864,2
1,30,359.7336868,2
1,-60,431.8235866,0
1,0,343.6109866,0
1,-90,418.5651867,0
1,-90,529.8792864,2
1,-150,459.0580869,1
1,-150,441.9831867,1
1,30,404.2604869,1
1,-90,493.5012865,2
1,30,586.4153868,1
1,30,440.0800867,0
1,90,448.1951865,0
1,30,474.9980867,1
1,-30,589.3235863,1
0,-150,450.5599868,2
1,-150,516.3668865,0
1,-120,526.1011864,1
1,150,467.6472866,1
1,0,526.5661869,0
1,90,541.291087,1
1,60,354.7159867,1
1,0,521.8820866,2
1,60,403.4780865,2
1,150,464.7076866,1
1,90,337.1747867,1
0,120,339.7898865,2
1,0,594.3477867,1
1,-30,486.6896863,2
1,-90,836.3083867,1
1,-30,413.4988864,1
1,120,363.7975864,0
1,60,464.7354866,1
1,180,379.1600871,1
1,120,493.8534866,1
1,-90,412.3536865,2
0,-150,372.8313865,0
1,180,353.5238863,0
1,-150,352.1165867,0
1,-60,380.0534867,0
0,-60,324.8582864,1
1,-90,346.5001867,1
1,60,435.1488864,0
1,0,477.2867868,1
0,0,339.9191867,2
1,120,632.269287,2
1,150,545.5398867,1
1,-120,410.4001867,1
1,180,353.6384865,1
1,-30,365.7544866,0
1,-120,404.0263864,1
1,60,381.1671865,1
0,-120,364.1314865,0
1,150,510.5983867,1
1,-60,367.6171867,2
1,-30,418.5426869,1
1,120,428.5509866,1
0,0,327.9662868,0
1,-90,498.8234868,2
0,30,359.5392867,1
1,-150,433.0987865,0
1,0,338.5418868,0
1,-150,337.4530864,0
0,-30,324.5000863,2
1,-120,471.8624866,1
1,-120,508.1533864,2
1,-30,422.5569866,2
0,30,475.434687,0
1,150,487.8357863,2
1,60,481.8160865,0
0,-120,466.4208866,1
1,120,453.4241869,2
1,30,457.8846866,1
1,-150,450.8472868,0
1,180,453.8624869,2
1,180,368.6675867,2
1,90,578.1724868,2
0,-60,500.6272868,0
1,0,339.3201866,0
1,-120,389.2164869,1
1,150,447.2465869,2
0,180,398.8358868,1
1,90,416.5319866,0
1,90,504.0606871,1
1,180,478.5133866,2
1,120,445.7802866,2
1,-90,341.2175868,0
1,0,309.7683867,0
1,120,326.6098863,1
1,-60,504.2175865,2
1,-120,296.7356863,2
1,-30,314.3468867,2
0,-90,353.3836864,1
1,180,492.9871867,0
1,-60,355.8358867,0
1,150,358.7329868,0
1,60,462.2718869,2
1,-90,384.2825867,0
1,-90,299.4336868,1
1,150,355.4869867,2
1,-90,383.4366869,0
1,180,428.5954866,2
1,90,385.3823864,1
1,90,395.8351868,2
1,-150,418.2402869,2
1,120,349.1818868,2
1,180,432.076287,0
1,30,412.2595866,1
1,-60,398.3332864,2
1,30,422.8873868,1
1,180,339.2850869,0
0,150,408.6495866,1
1,-90,479.9787868,0
1,180,485.2604866,2
1,0,435.9598863,0
1,90,416.6276865,1
1,60,421.2863869,0
1,-60,421.4375867,2
1,90,443.4423866,1
1,150,378.6986866,2
1,150,508.0313864,0
1,-90,341.2144864,0
1,-120,304.1087864,0
1,120,442.407487,2
1,30,404.9937865,1
1,60,336.6680867,0
1,-120,330.085787,0
1,120,303.0486866,0
1,180,417.6886869,2
1,120,355.145487,0
1,-60,343.0811866,1
1,-60,332.6448868,0
1,-150,345.527587,1
1,-150,434.0013867,2
1,120,577.4704865,2
1,-150,334.6253867,0
1,-60,362.7544865,0
1,0,328.0676869,0
1,-120,388.1098866,0
1,0,355.2617869,2
1,30,416.0742867,0
1,-30,365.6902863,1
1,30,369.7092869,1
1,-120,464.8074867,2
1,-60,342.8589865,2
1,180,403.1514866,1
0,-90,339.7135865,1
1,150,281.3275866,0
1,-90,306.6701871,0
1,-180,585.89,1
1,-180,728.54,2
1,-180,379.16,1
1,-180,353.52,0
1,-180,353.64,1
1,-180,453.86,2
1,-180,368.67,2
0,-180,398.84,1
1,-180,478.51,2
1,-180,492.99,0
1,-180,428.6,2
1,-180,432.08,0
1,-180,339.29,0
1,-180,485.26,2
1,-180,417.69,2
1,-180,403.15,1
