CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target,Var5,Var6,Var7
0,-60,405.063057937659,1,NaN,NaN,NaN
1,-30,497.699717096984,0,NaN,NaN,NaN
1,60,440.614201980643,0,NaN,NaN,NaN
1,-90,640.777102941647,1,NaN,NaN,NaN
1,90,1061.54331696685,1,NaN,NaN,NaN
1,-120,734.299202021211,1,NaN,NaN,NaN
1,180,494.29527208209,0,NaN,NaN,NaN
1,-30,507.784660942853,1,NaN,NaN,NaN
1,180,507.854804084636,1,NaN,NaN,NaN
1,-90,562.22572600469,0,NaN,NaN,NaN
1,30,437.993687032722,1,NaN,NaN,NaN
1,90,511.713036024012,0,NaN,NaN,NaN
1,0,520.767262009904,1,NaN,NaN,NaN
1,90,402.245634971187,1,NaN,NaN,NaN
0,150,432.723986022174,0,NaN,NaN,NaN
1,120,445.594955971465,0,NaN,NaN,NaN
1,-150,585.218968954869,1,NaN,NaN,NaN
1,0,513.771252976731,0,NaN,NaN,NaN
1,-120,498.223385927267,0,NaN,NaN,NaN
1,180,559.56585301552,1,NaN,NaN,NaN
1,-120,574.646382047795,1,NaN,NaN,NaN
1,120,491.561707030051,0,NaN,NaN,NaN
1,30,547.014064076357,0,NaN,NaN,NaN
1,-120,591.507748039439,0,NaN,NaN,NaN
1,180,591.303342059255,0,NaN,NaN,NaN
1,0,519.141038917005,0,NaN,NaN,NaN
1,90,485.163726066239,0,NaN,NaN,NaN
1,-150,531.062637958676,1,NaN,NaN,NaN
1,-90,440.922857997939,1,NaN,NaN,NaN
1,0,470.486762970686,1,NaN,NaN,NaN
1,-60,458.777417000383,0,NaN,NaN,NaN
1,0,503.061468983069,0,NaN,NaN,NaN
1,60,769.621440945193,0,NaN,NaN,NaN
1,60,513.556303028017,0,NaN,NaN,NaN
1,60,608.727940977551,1,NaN,NaN,NaN
1,-60,547.041935999878,1,NaN,NaN,NaN
1,60,518.761577005498,0,NaN,NaN,NaN
1,-90,791.323658931069,1,NaN,NaN,NaN
1,60,697.778834998608,1,NaN,NaN,NaN
1,-60,493.836143091321,0,NaN,NaN,NaN
1,30,537.851131092757,0,NaN,NaN,NaN
1,0,507.534042969346,0,NaN,NaN,NaN
1,30,572.724137958139,0,NaN,NaN,NaN
1,90,472.86626898218,1,NaN,NaN,NaN
1,0,421.248595034704,1,NaN,NaN,NaN
1,-150,622.28442103602,1,NaN,NaN,NaN
1,180,470.411118040793,1,NaN,NaN,NaN
1,-120,480.160113926977,1,NaN,NaN,NaN
1,150,504.366009999067,0,NaN,NaN,NaN
1,-90,1258.81010192912,1,NaN,NaN,NaN
1,-90,706.843895991333,0,NaN,NaN,NaN
1,0,586.660025911406,0,NaN,NaN,NaN
0,180,1019.2720110435,1,NaN,NaN,NaN
1,120,707.937732958235,0,NaN,NaN,NaN
1,60,836.82179606054,1,NaN,NaN,NaN
1,90,1083.01610503346,0,NaN,NaN,NaN
1,-60,879.313527992927,1,NaN,NaN,NaN
0,120,564.243221925572,1,NaN,NaN,NaN
1,120,549.732130989432,0,NaN,NaN,NaN
1,-150,592.492667995393,0,NaN,NaN,NaN
1,-90,704.527387083508,0,NaN,NaN,NaN
1,-30,1005.07302504499,0,NaN,NaN,NaN
1,-150,643.354109991342,1,NaN,NaN,NaN
0,90,431.38980391901,1,NaN,NaN,NaN
1,-60,587.957687946037,0,NaN,NaN,NaN
1,-120,804.870553934015,1,NaN,NaN,NaN
1,-60,565.183698004112,1,NaN,NaN,NaN
0,90,614.976141056977,1,NaN,NaN,NaN
1,-120,488.492932091467,0,NaN,NaN,NaN
1,-30,637.996451966465,0,NaN,NaN,NaN
0,180,456.658332995139,1,NaN,NaN,NaN
1,30,437.159856935032,1,NaN,NaN,NaN
1,-90,561.796139031649,0,NaN,NaN,NaN
1,30,509.657303025015,0,NaN,NaN,NaN
1,-150,726.375575913116,0,NaN,NaN,NaN
1,0,630.237754005939,0,NaN,NaN,NaN
1,60,677.597291106358,1,NaN,NaN,NaN
1,150,1034.21047601383,0,NaN,NaN,NaN
1,180,552.068062047474,1,NaN,NaN,NaN
0,30,419.357207990252,0,NaN,NaN,NaN
0,30,501.370045044459,1,NaN,NaN,NaN
1,-150,615.299593927339,1,NaN,NaN,NaN
1,120,513.946665022522,1,NaN,NaN,NaN
1,-30,695.719862976112,0,NaN,NaN,NaN
1,-90,666.366202910431,1,NaN,NaN,NaN
1,180,472.389943003655,1,NaN,NaN,NaN
1,180,429.689362915233,0,NaN,NaN,NaN
1,120,379.435968971811,1,NaN,NaN,NaN
1,-30,475.040089027025,1,NaN,NaN,NaN
1,-150,447.174491048791,1,NaN,NaN,NaN
1,-120,521.052924022079,1,NaN,NaN,NaN
1,150,430.308404997923,0,NaN,NaN,NaN
1,30,450.052846958861,1,NaN,NaN,NaN
1,120,735.979808997363,0,NaN,NaN,NaN
1,150,511.983049954288,1,NaN,NaN,NaN
1,-120,400.035055973567,1,NaN,NaN,NaN
1,-150,607.444437025115,0,NaN,NaN,NaN
1,120,489.606750002131,1,NaN,NaN,NaN
1,-120,373.779921014793,0,NaN,NaN,NaN
0,0,340.328833009116,1,NaN,NaN,NaN
0,-90,376.245423955843,0,NaN,NaN,NaN
1,150,432.046099952422,0,NaN,NaN,NaN
1,150,450.617853007279,1,NaN,NaN,NaN
1,120,704.734014035203,1,NaN,NaN,NaN
1,-60,641.164230918512,0,NaN,NaN,NaN
1,90,478.051905091852,0,NaN,NaN,NaN
1,60,543.300175960176,0,NaN,NaN,NaN
1,180,389.972068057396,1,NaN,NaN,NaN
1,-120,517.576967054047,1,NaN,NaN,NaN
1,30,420.808426025324,1,NaN,NaN,NaN
1,-30,636.10933596734,0,NaN,NaN,NaN
1,-150,682.617750987411,0,NaN,NaN,NaN
1,120,572.655168981291,1,NaN,NaN,NaN
1,120,514.578896029852,0,NaN,NaN,NaN
1,0,572.132798996754,0,NaN,NaN,NaN
1,-30,563.74592395965,1,NaN,NaN,NaN
0,-60,583.657950898632,1,NaN,NaN,NaN
1,0,556.336626913399,0,NaN,NaN,NaN
1,60,438.935000952333,1,NaN,NaN,NaN
1,-30,481.259826025926,0,NaN,NaN,NaN
1,60,550.489614987746,1,NaN,NaN,NaN
1,-90,590.570059991442,1,NaN,NaN,NaN
1,150,654.780920050107,1,NaN,NaN,NaN
1,30,449.27596595604,1,NaN,NaN,NaN
1,0,539.955365974456,1,NaN,NaN,NaN
1,-90,536.440636999905,1,NaN,NaN,NaN
1,0,510.163127016276,1,NaN,NaN,NaN
1,-60,447.793702981435,1,NaN,NaN,NaN
1,0,484.852798087522,1,NaN,NaN,NaN
1,0,423.861325057223,1,NaN,NaN,NaN
1,150,618.254995942116,0,NaN,NaN,NaN
1,-60,789.785289941356,1,NaN,NaN,NaN
1,90,413.35243397858,1,NaN,NaN,NaN
1,0,568.700870070607,0,NaN,NaN,NaN
1,-60,575.951997926459,0,NaN,NaN,NaN
1,150,440.398009996861,0,NaN,NaN,NaN
1,-30,382.137579065748,0,NaN,NaN,NaN
1,30,471.595105053857,0,NaN,NaN,NaN
1,-30,448.958466914482,0,NaN,NaN,NaN
1,180,674.367592008784,0,NaN,NaN,NaN
1,150,563.452681913041,1,NaN,NaN,NaN
1,-150,524.035636954941,0,NaN,NaN,NaN
1,-120,603.067336059175,1,NaN,NaN,NaN
1,0,546.223684018478,1,NaN,NaN,NaN
1,90,630.686329947785,1,NaN,NaN,NaN
1,90,565.478686047718,1,NaN,NaN,NaN
1,-150,522.407572986558,0,NaN,NaN,NaN
1,-60,531.114233927801,0,NaN,NaN,NaN
1,150,589.002016969025,1,NaN,NaN,NaN
1,180,598.763448107056,0,NaN,NaN,NaN
1,120,455.676574064419,1,NaN,NaN,NaN
1,90,372.254913942888,1,NaN,NaN,NaN
1,90,478.344211042859,0,NaN,NaN,NaN
1,180,515.506238946691,0,NaN,NaN,NaN
1,30,393.407268021256,1,NaN,NaN,NaN
1,30,342.248221081682,0,NaN,NaN,NaN
0,0,337.547347918153,1,NaN,NaN,NaN
1,-90,538.281815047376,0,NaN,NaN,NaN
1,-60,679.858268974349,0,NaN,NaN,NaN
0,0,455.949244010262,1,NaN,NaN,NaN
1,0,442.182469917461,11,-180,534.3,0
1,-180,507.85,1,NaN,NaN,NaN
1,-180,559.57,1,NaN,NaN,NaN
1,-180,591.3,0,NaN,NaN,NaN
1,-180,470.41,1,NaN,NaN,NaN
0,-180,1019.3,1,NaN,NaN,NaN
0,-180,456.66,1,NaN,NaN,NaN
1,-180,552.07,1,NaN,NaN,NaN
1,-180,472.39,1,NaN,NaN,NaN
1,-180,429.69,0,NaN,NaN,NaN
1,-180,389.97,1,NaN,NaN,NaN
1,-180,674.37,0,NaN,NaN,NaN
1,-180,598.76,0,NaN,NaN,NaN
1,-180,515.51,0,NaN,NaN,NaN
