1,2.83,1205.98004657503,1,1
2,4,592.402136321731,1,1
3,11.31,626.109855752553,1,0
4,8,623.493874853999,1,2
5,8,622.737138208401,1,2
6,1,1637.42574807574,1,1
7,1,940.673025512375,1,2
8,2,643.950340309026,1,1
9,22.63,665.018816954295,1,2
10,1,1246.45845978383,1,0
11,22.63,656.313785526514,1,0
12,1.41,797.95734106218,1,2
13,2.83,640.191233102165,1,0
14,22.63,1297.06048696342,1,1
15,2.83,706.363534902345,1,1
16,2.83,553.317729636625,1,0
17,1,779.038583584303,1,1
18,4,578.12039613426,1,1
19,8,918.730734788447,1,0
20,11.31,610.363794316151,1,0
21,1.41,809.672935059176,1,0
22,2.83,619.054831066102,1,2
23,2.83,708.625894166368,1,2
24,22.63,604.428343917867,1,2
25,28,714.089280161794,1,1
26,5.66,642.674093887841,1,0
27,28,641.127169900834,1,0
28,2,571.340827682512,1,1
29,2.83,510.944573477979,1,2
30,28,599.897822718127,1,1
31,5.66,594.6419675657,1,0
32,1.41,714.685590003761,1,2
33,4,530.98665991373,1,1
34,28,587.556905519783,1,2
35,11.31,581.060985310693,1,1
36,16,548.932616560784,1,0
37,16,557.8946722081,1,1
38,4,665.69602286571,1,1
39,8,535.490557090349,1,0
40,28,648.471645500728,1,1
41,2,624.646899837068,1,1
42,11.31,885.649362559967,1,1
43,4,937.249107924878,1,2
44,5.66,700.526047254322,1,0
45,28,1813.94028803432,1,0
46,4,691.15678059287,1,1
47,8,635.573671827921,1,0
48,22.63,656.734308551755,1,2
49,8,483.605798148425,1,2
50,5.66,644.344921979688,1,2
51,16,1099.42797698394,1,0
52,1.41,838.994517414072,1,0
53,2.83,685.250002218787,1,2
54,2.83,429.33989584261,1,0
55,1.41,796.761649375263,1,1
56,2.83,552.21317402728,1,0
57,4,588.156970032366,1,0
58,4,567.367021624783,1,2
59,16,599.676638529751,1,2
60,1.41,863.427860930721,1,1
61,4,527.13232062532,1,1
62,2,660.741565305294,1,2
63,11.31,538.889898657623,1,2
64,1.41,611.505896623463,1,1
65,22.63,1235.42689836912,1,1
66,2,1036.91101696867,1,2
67,1,654.288994464956,1,1
68,1.41,879.051724929092,1,2
69,11.31,681.920975377658,1,2
70,1,715.069590331119,1,0
71,2,558.258533852574,1,2
72,2,469.623748884338,1,1
73,1,1019.4292740517,1,2
74,1,559.464806881885,1,0
75,2.83,567.608344497863,1,0
76,1,769.410586035598,1,0
77,11.31,681.734265885176,1,1
78,1,704.385165214341,1,0
79,5.66,549.867529359368,1,2
80,22.63,516.507287558021,1,2
81,28,523.573234921138,1,1
82,8,507.29810636684,1,1
83,8,794.399962026624,1,1
84,8,635.552167809771,1,2
85,28,582.518821221207,1,0
86,1,901.866805731594,1,1
87,5.66,533.451088683329,1,0
88,16,459.041382520887,1,0
89,16,684.771452476604,1,2
90,1.41,853.95858351702,1,2
91,16,505.535459528879,1,0
92,5.66,539.304619011169,1,1
93,1.41,607.595919953461,1,1
94,4,604.4385839269,0,1
95,5.66,501.536053449023,1,2
96,5.66,876.411509342767,1,1
97,11.31,584.338129439935,1,1
98,5.66,872.967111737204,1,1
99,4,886.309501789662,1,2
100,8,523.504968196072,1,2
101,28,553.520481809834,1,2
102,28,657.03161013888,1,2
103,5.66,658.704144899354,1,1
104,22.63,539.577344578071,1,1
105,2.83,725.551263276508,1,0
106,1,883.414992652512,1,0
107,28,572.650524800416,1,1
108,22.63,547.006470917119,1,2
109,22.63,528.68675395083,1,1
110,28,555.113827168576,1,0
111,1.41,736.90060629459,1,0
112,16,465.706604208286,1,0
113,8,684.845180540002,1,2
114,16,494.511407455399,1,0
115,5.66,597.509170013915,1,2
116,4,681.38644692143,1,0
117,1.41,619.137775136629,1,0
118,28,608.919953083465,1,0
119,16,620.409242888023,1,0
120,28,472.738076874599,1,2
121,22.63,474.344051578634,1,2
122,1,869.212783200134,1,0
123,16,726.999883178074,1,0
124,16,495.163013343778,1,2
125,5.66,634.641831033229,1,0
126,11.31,617.072706706573,1,2
127,1.41,1006.61185511407,1,1
128,22.63,521.31940899843,1,1
129,4,542.656856539076,1,1
130,22.63,524.019016635144,1,0
131,11.31,538.361855540721,1,2
132,1.41,697.028401602517,0,0
133,16,857.656592005775,1,0
134,8,501.781813659442,1,2
135,2,570.226714732677,1,1
136,1.41,572.313969846697,1,0
137,5.66,532.327418391184,1,0
138,11.31,520.638789749761,1,0
139,5.66,599.780745284157,1,1
140,2,1176.99331250613,1,1
141,5.66,594.464474081257,1,2
142,5.66,825.549044607293,1,1
143,1,862.590910883306,1,0
144,1,787.63302291835,1,0
145,2,723.873949844425,1,0
146,5.66,488.40972758179,1,2
147,4,601.467274723369,1,1
148,5.66,1299.6266331539,1,0
149,4,657.70745071594,1,1
150,1.41,811.122578962646,1,1
151,5.66,587.349374676784,1,0
152,1.41,786.002130860731,1,0
