Trial,Height,RT,Correct Response,Face
1,1,1014.5428604100744,1,2
2,2.83,811.4015670616936,1,1
3,4,611.7442660215602,1,0
4,8,603.9345526914985,1,1
5,22.63,661.6236899189971,1,1
6,16,627.4903274588723,1,1
7,8,588.9742412564374,1,0
8,16,591.1696991315694,1,0
9,22.63,691.3272245983535,1,1
10,11.31,588.9779959288717,1,1
11,11.31,558.2746950603905,1,1
12,2,974.3480954439292,1,1
13,22.63,647.2426216478198,1,0
14,1.41,1069.9320916755823,1,0
15,2.83,772.1048508628883,1,0
16,11.31,596.3081355166651,1,1
17,2,888.9283318858361,1,2
18,11.31,625.3935150034522,1,1
19,22.63,693.1526768239564,1,1
20,5.66,656.5627362670057,1,2
21,16,583.4617032214737,1,1
22,16,587.5570240496018,1,1
23,1.41,537.3591358784324,0,1
24,28,789.5152550518105,1,2
25,2.83,582.9756441398786,1,2
26,28,749.0279671710596,1,0
27,22.63,816.0986590701214,0,2
28,16,675.9166941155854,1,1
29,4,620.9967965842225,1,1
30,8,647.2316989711544,1,1
31,28,667.7294657965831,1,0
32,5.66,717.7481538110442,1,0
33,28,546.9857680946006,1,1
34,16,560.3540995016374,1,0
35,5.66,539.3576442529593,1,1
36,8,606.4204854792479,1,0
37,28,500.46540839684894,1,0
38,2,690.8445788540121,1,2
39,2,710.2487127467612,1,2
40,8,579.8930601740722,1,0
41,2.83,697.8637635111227,1,1
42,5.66,652.0383590723213,1,0
43,16,606.0614025045652,1,2
44,16,601.7520654950204,1,2
45,28,629.6315132858581,1,1
46,8,546.4355382919166,1,1
47,22.63,505.794991611765,0,2
48,1,957.6094358271803,1,0
49,11.31,604.463619809394,1,1
50,5.66,670.8523271263402,1,0
51,11.31,560.2452140756213,1,2
52,2,666.0217736716731,1,0
53,5.66,666.7310649427236,1,1
54,11.31,540.6318426721555,1,2
55,28,432.09901405680284,1,2
56,22.63,605.2531244822603,1,2
57,2.83,501.6157027112058,1,1
58,28,683.2123590065748,1,2
59,4,601.8746042664134,1,1
60,5.66,500.5002244270145,1,1
61,28,619.2553124310507,1,2
62,28,433.23019369017857,1,2
63,16,579.2919716623146,1,1
64,4,620.3028653253568,0,2
65,16,544.7510568537837,1,0
66,2,965.4577198562038,1,0
67,22.63,606.1211358901346,0,1
68,28,625.3556269693945,1,1
69,22.63,738.0315631198755,1,1
70,28,717.9386179741414,1,0
71,2,757.1028967286111,1,2
72,16,604.4277797773248,1,1
73,1.41,895.1856598923769,1,0
74,4,639.84387399978,1,0
75,2,576.2428383932274,1,1
76,8,860.8812892871356,1,1
77,4,611.0117640637327,1,1
78,2.83,629.9878655881912,1,0
79,16,576.9094629631581,1,1
80,11.31,753.2779121302156,1,2
81,2.83,876.4478092343779,1,1
82,1.41,717.0190651886514,1,2
83,2,462.9705924016889,0,0
84,22.63,755.7522395745764,1,0
85,1,1294.2804431186232,1,1
86,11.31,811.0626227735338,1,1
87,4,698.3771292816527,1,1
88,1,1182.6930198967602,0,0
89,28,684.874995093196,1,1
90,4,635.4133635522885,1,1
91,11.31,598.2933318773576,1,1
92,1.41,763.2445126364473,1,2
93,5.66,614.6343378222809,1,0
94,1.41,765.8782428825361,1,1
95,16,578.3628615354246,1,2
96,2.83,689.2126627953985,1,2
97,4,671.1028660083684,1,1
98,16,657.5751317977847,1,0
99,1,1145.4115374181129,0,2
100,2.83,644.9447636859986,1,2
101,5.66,638.3839900881867,1,0
102,22.63,591.1898378162732,1,2
103,2,767.6992577708006,1,1
104,4,636.8182927526504,0,2
105,1.41,765.8352348462358,1,2
106,4,656.6064269700291,0,2
107,1.41,791.5069367536489,1,2
108,1.41,801.3759158420726,1,2
109,1,1636.8374074336316,0,2
110,5.66,703.7288991814421,1,0
111,16,554.158894216016,1,0
112,2,1863.0528538051294,0,2
113,5.66,1015.4204291593487,1,0
114,1.41,620.9868979094608,1,2
115,8,653.3985735677561,1,2
116,8,586.6528312781156,1,1
117,4,450.61158452153904,1,1
118,4,560.5090649678459,1,1
119,2,708.9393569622189,1,0
120,1,687.9033070108562,1,2
121,16,720.9164125142706,0,0
122,2.83,646.1551327192865,1,0
123,5.66,626.8940176159958,1,2
124,1.41,726.7620921702473,1,0
125,16,879.9785642477218,1,1
126,1.41,1142.2057320141903,1,1
127,22.63,594.4458192607271,1,2
128,16,535.7299504903494,1,1
129,11.31,505.6673328363104,1,2
130,2,687.7606295547594,1,1
131,2.83,699.6182183411292,1,1
132,28,808.3548231297755,1,2
133,4,623.372819944052,1,1
134,2.83,650.749824639206,1,1
135,5.66,629.0048247519735,0,1
136,4,667.892964602288,1,1
137,11.31,586.5480418542575,1,0
138,1.41,835.9079559741076,1,1
139,5.66,689.1703374258213,1,2
140,11.31,697.7548780832876,1,1
141,5.66,648.9168630760105,1,0
142,4,521.3116768518375,1,1
143,1,1107.483227719058,1,0
144,28,697.7627287578798,1,2
145,5.66,536.5655352015892,1,0
146,22.63,678.3923868952115,1,0
147,28,658.2636017174082,1,0
148,8,516.6941155803215,1,0
149,2.83,641.7881103261607,1,0
150,16,544.4476112625125,1,0
151,5.66,651.5980386975571,1,1
152,2.83,660.9488733429316,1,0
153,5.66,601.1868170135131,1,0
154,11.31,504.5122598512535,1,2
155,2.83,567.9388739754359,1,0
156,22.63,593.5283144772256,1,2
157,11.31,1008.2295536885795,1,0
158,28,566.6643342192401,1,0
159,4,703.1766213767696,1,2
160,16,446.96341074268275,1,1
161,8,547.3274430532911,1,0
162,5.66,920.7918257416168,1,1
163,22.63,668.3042716213095,1,2
164,16,707.2449768493243,1,0
