Correct Response,Height,RT,Word
0,0.25,602.5587999578565,2
1,0.25,485.8285000631586,2
1,1.0,388.44549999013543,2
1,2.0,472.5398000413552,0
1,4.0,428.2078000800684,0
1,4.0,415.8619000194594,1
1,1.415,439.3303000219166,1
1,1.415,399.67530005052686,1
1,2.8275,339.11580004170537,1
1,0.7075,362.13960003480315,1
1,2.0,495.50400004629046,0
1,0.25,422.8405000725761,2
1,5.2925,395.1888999985531,2
1,1.415,405.0294999582693,2
0,2.8275,547.2188999960199,1
1,2.8275,536.9780000150204,0
1,7.0,434.43589989002794,2
1,0.3525,655.1383999725804,0
0,0.5,554.704700069502,1
1,0.5,416.56370000820607,2
1,0.3525,390.68600005377084,1
0,1.415,513.0950999995694,0
1,1.415,399.0290000187233,2
1,0.7075,526.442900005728,1
1,7.0,391.6961999461055,2
1,1.415,657.3533999584615,0
1,0.3525,642.0705000022426,0
0,0.5,443.3346000118181,0
0,0.5,419.8642999948934,0
0,0.5,451.38749997969717,1
0,0.5,499.80529996939003,1
1,0.5,514.455599998124,2
1,7.0,642.4339999761432,0
1,2.0,436.0918999267742,5
1,0.3525,720.8393000150099,4
1,2.0,397.2560000224039,4
1,0.25,656.6622999347746,3
1,0.7075,526.4699999792501,4
0,1.0,397.7688000854105,3
1,1.0,558.7638000110164,3
1,0.5,439.5934999305755,5
1,2.8275,605.2984999809414,4
1,2.8275,468.4773000739515,5
0,0.25,939.7531999824569,4
1,0.25,542.5372999710962,5
1,4.0,609.150999979116,4
1,0.3525,556.1905999751762,5
1,2.0,622.4959999639541,3
1,0.25,703.6327999634668,3
1,5.2925,485.895499991253,4
1,5.2925,699.704600087367,3
1,4.0,573.992700021714,3
1,2.8275,413.80769997742027,5
1,1.0,517.967899966985,5
1,0.7075,430.5940999733284,4
0,7.0,471.69960004650056,4
0,7.0,653.753100018017,4
1,7.0,577.4959000376984,5
1,0.5,743.8015000047162,3
1,0.5,446.1493000239134,5
1,5.2925,601.2563999360427,4
1,1.0,410.8291999986395,4
