Correct Response,Height,RT,Word
1,2,517.8574999412522,0
1,21.17,462.44610001705587,1
1,16,501.1318000582978,2
1,5.66,381.3533000033349,0
1,28,511.8864999935031,1
1,2.83,394.5568999592215,0
1,1.41,376.72670004796237,2
1,5.66,471.151499947533,1
1,4,470.7668999293819,2
1,16,602.1470999661833,1
0,21.17,440.97139994520694,2
0,21.17,564.5477999318391,2
1,21.17,351.58369998354465,2
1,21.17,497.78390006069094,1
1,21.17,503.01039992738515,2
1,8,455.3242000369355,2
1,11.31,426.6161999516189,0
1,2,483.7151000360027,1
1,5.66,314.44639997463673,2
0,16,608.286300030537,0
0,16,462.87969994265586,0
0,16,427.62330005317926,0
0,16,374.91409998293966,1
1,16,523.2025000117719,1
1,11.31,405.0827998984605,2
0,8,895.5757000334561,1
1,8,402.4603000693023,2
1,8,440.1724000312388,0
1,8,546.0161000341177,1
1,16,442.80879996623844,2
1,2,362.4665999636054,2
1,8,345.551599919796,2
0,28,458.3274000873789,2
0,28,423.10549999494106,0
1,28,472.0895999893546,1
0,21.17,568.6083000004292,1
0,21.17,385.8009999934584,2
1,21.17,571.7089999783784,0
1,11.31,594.0085000442341,0
1,11.31,426.3023998904973,0
0,28,573.4190000770614,0
1,28,491.39310005959123,0
0,16,511.2831999398768,1
1,16,433.82079997938126,2
1,4,392.42749992664903,2
1,4,456.23559999186546,3
0,1,656.4055000748485,5
1,1,497.6809999756515,5
1,11.31,653.8728999989107,5
1,2,465.9489999143407,4
1,1,528.2227999381721,3
1,5.66,720.6842999989167,5
1,4,436.8206000039354,4
1,2,643.1984999766573,5
1,16,580.606900094077,4
1,28,665.857500102371,4
1,2.83,656.0116999866441,5
1,2.83,437.70599999371916,5
1,4,454.9681000029668,5
1,1.41,606.522300102748,3
1,2.83,448.4624000582844,3
1,5.66,525.5215999754146,5
1,16,481.86989995557815,4
1,2,455.22529998235404,5
1,28,606.4877000721171,5
1,5.66,433.7367000374943,4
1,11.31,487.8598999315873,5
1,8,545.871099977754,3
1,4,907.752399969846,4
1,1.41,552.4806998986751,4
1,11.31,594.183599980548,5
1,16,481.35279997624457,4
1,16,670.605400050059,3
0,28,590.7979000443593,4
0,28,352.471899994649,3
1,28,505.16249989997596,3
0,21.17,685.7542000329122,4
1,21.17,561.0110000092536,5
1,8,470.7191000310704,3
1,1,431.88960005901754,3
1,1.41,594.1498999567702,5
1,1,578.6000000629574,6
1,2,408.92629994452,6
1,4,504.45750000327826,7
1,21.17,602.6310000419617,8
1,1,466.76929999049753,6
1,2,454.7651999713853,6
1,2.83,460.9151000007987,7
1,11.31,492.49350005667657,8
0,2,830.7806000197306,8
1,2,499.4745000116527,6
1,28,626.3851000079885,8
1,4,512.6184999793768,7
0,28,465.58080002106726,7
1,28,349.07349996175617,7
1,11.31,561.4845000058413,8
1,1,438.1274999435991,6
1,8,471.70669998414814,7
1,5.66,452.78069999441504,6
1,1.41,574.3821999607608,7
0,1,449.96040005609393,7
1,1,440.94430008810014,6
1,1.41,453.0017000474036,7
1,2.83,408.65769999474287,7
0,28,492.2757000280544,6
0,28,362.0882999934256,8
1,28,397.4307999564335,6
1,1,317.35309998877347,6
0,1.41,669.0166000593454,8
1,1.41,406.85339999292046,8
1,8,624.9699000585824,8
1,2.83,467.57429995015264,7
0,21.17,622.434499961324,8
1,21.17,467.43100002314895,8
1,1.41,325.351300005801,6
1,5.66,404.0025000544265,6
1,1.41,556.2912000427023,7
1,2.83,411.0082999654114,8
1,5.66,420.6891999896616,6
1,1,405.9588999338448,8
