CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,8,607.7564,2
1,8,345.7168999,2
1,16,548.9531999,2
1,16,530.7402999,1
1,16,735.3103,0
1,4,564.9719,1
0,4,513.8128,4
1,4,753.5040001,4
1,8,686.5611,4
1,4,520.4291,4
0,16,483.0618,2
1,16,623.6714,1
0,4,689.7129,2
1,4,726.1513,2
1,16,651.3468,1
1,8,603.7615,0
0,8,594.3313,2
1,8,500.1043,1
1,16,656.7391,5
1,16,551.4407,3
1,8,723.8458,4
0,16,630.5204,5
1,16,745.4161,4
1,8,541.0293,4
1,8,570.1652,4
0,4,781.2455,4
1,4,599.1333,4
1,8,649.1363,4
1,4,850.0154,8
1,16,642.0074,6
0,4,593.535,8
0,4,658.373,6
0,4,631.3976001,8
1,4,437.0343,7
1,4,564.4023,6
1,4,489.6871,7
