0,1,749.756500009485,2
0,11.31,659.761100077108,2
1,16,572.441500030495,0
1,4,538.237800007723,0
1,1,794.955699938387,1
1,1.41,607.836100040972,0
1,28,516.149500036649,1
1,11.31,579.896499985866,0
1,2.83,864.227399929464,2
1,16,509.854200064242,2
1,5.66,609.649599996433,0
1,8,530.328100082502,2
1,28,613.212299999818,2
1,1.41,1004.26229997635,2
1,5.66,538.768499974199,0
1,1,594.90370005466,0
1,21.17,668.908499997146,2
1,8,490.863000043705,2
1,21.17,595.004400006533,1
1,2,589.987299988084,0
1,28,741.649899981953,2
1,1.41,502.899199957997,1
1,4,509.759299923703,1
1,1,618.920700043477,1
1,16,377.176300041415,1
1,16,559.127599933222,2
1,21.17,492.702800083011,1
0,2.83,550.32649997253,2
1,28,563.432700001672,0
1,2,586.085799966045,1
1,4,832.096399973184,1
1,4,501.676899964027,1
1,1,1009.32559999734,0
1,5.66,534.526699922085,2
1,28,604.94250001017,0
1,2,557.204899961166,1
1,11.31,580.453500036188,2
1,16,524.561699946448,2
1,1,754.450400011651,0
1,1.41,531.269500033036,1
1,16,520.733400016129,2
1,5.66,495.283400058784,0
1,11.31,518.997099950016,2
1,5.66,660.536899930835,4
0,2,711.346699973606,5
1,21.17,596.417500056364,5
1,5.66,601.553900051899,4
1,2,598.435999942981,3
1,1,791.345799924843,3
0,1.41,-99.04,5
1,8,693.433999899812,5
1,21.17,679.784000037275,4
1,1,889.324299992099,4
1,4,521.221700008996,4
1,2.83,483.075400000475,4
1,2,547.51009994749,4
1,8,628.128899960816,5
1,2.83,637.376100058705,5
1,28,528.840900050513,5
1,28,535.127800075375,3
1,4,584.961900022849,3
1,8,492.614699994251,3
1,8,669.155900018327,4
1,21.17,565.485500033051,3
1,1.41,540.254799999334,3
1,1,521.99969999589,3
0,1.41,567.84199993223,5
1,21.17,454.042300000824,5
1,4,650.92300006751,4
1,28,521.138899960592,5
1,2.83,694.641400013156,5
1,8,542.959299987219,3
1,1.41,636.99470006492,4
1,2,625.473399996795,5
1,2,606.369199930728,3
1,1.41,573.199899984561,3
0,8,540.448399960101,5
0,1,1042.04670002315,4
1,2,590.203300003,3
1,1.41,884.688100080043,4
1,2.83,583.59689999003,5
1,5.66,484.806900030039,4
0,1,595.692500007376,5
1,4,693.736199989021,4
1,4,579.069599975869,3
1,11.31,615.690600011535,4
1,16,538.851700025648,5
1,2.83,547.182400013357,4
0,2,582.435499994122,5
1,1.41,893.863199978173,5
1,1,652.765300009437,8
1,2.83,565.921600094102,8
0,16,558.196200058833,7
1,21.17,639.067400014997,8
1,21.17,488.639899996147,6
1,5.66,617.827299983278,8
1,1,523.761099903882,7
1,11.31,561.082100031003,8
1,8,632.040500059761,6
1,4,630.363199977241,8
1,16,534.265100025609,6
1,21.17,545.300200000443,8
1,4,541.511700023934,6
1,2.83,688.797299983949,8
1,16,511.017799960487,6
1,2,563.385400107168,8
1,11.31,762.03029998675,8
1,8,432.599299937524,7
1,5.66,563.998400001824,8
1,11.31,514.222100028805,7
1,11.31,464.798700065389,7
1,21.17,562.05960002359,6
1,11.31,494.962299942076,6
1,5.66,543.835700024888,6
1,2.83,384.065799998157,7
1,11.31,507.75180000443,7
1,16,583.340300015211,6
1,1.41,769.091699971855,8
1,28,565.227800049856,6
1,8,539.254399948791,6
1,11.31,597.753199982494,6
1,2,530.993100023866,7
1,2.83,744.954800001383,6
1,5.66,664.602100035213,7
1,2,442.891200074032,8
1,2.83,507.016199991144,7
1,16,474.638400018252,7
1,28,568.599399995096,8
1,1,756.758700009473,7
1,1.41,620.166399982795,6
1,8,469.008999994062,7
