Correct Response,Rotation (deg),Adjusted Reaction Time (ms),Target
1,-150,516.3262524,2
1,-150,469.1561035,1
1,-150,1007.209987,1
1,-150,814.6952874,1
1,-150,652.3750976,2
1,-150,574.5852885,0
1,-150,615.5276045,2
1,-150,782.9971305,2
1,-150,1052.718001,2
1,-150,1068.083869,2
1,-150,612.2025625,2
1,-150,618.4543556,2
1,-150,559.8876394,0
1,-150,603.1342465,0
1,-150,628.4416745,2
1,-150,598.1855626,0
1,-150,564.6474516,0
1,-150,666.1973355,2
1,-120,643.5575914,2
1,-120,648.9597945,2
1,-120,711.0721764,0
1,-120,847.3414675,1
1,-120,677.2554256,1
1,-120,602.7813355,0
1,-120,817.9490684,0
1,-120,668.0215735,2
1,-120,679.8154464,2
1,-120,1001.682506,1
1,-120,639.4299335,2
1,-120,680.0627965,2
1,-120,572.4281724,0
1,-120,424.0721075,0
1,-120,968.7584235,2
1,-120,599.6663345,1
1,-120,596.3794105,2
1,-120,574.8325475,2
1,-90,724.8788325,1
1,-90,551.5398745,1
1,-90,877.3122346,2
1,-90,597.2346245,1
1,-90,422.6846545,0
1,-90,857.1623845,2
1,-90,477.4702786,0
1,-90,674.0367815,2
1,-90,585.1992665,2
1,-90,700.7401734,1
1,-90,808.8397415,1
1,-90,584.7076505,0
1,-90,458.2100845,1
1,-90,597.8322864,1
1,-90,518.3386906,0
1,-90,567.2399916,0
1,-90,835.9223685,0
1,-90,575.5379585,0
1,-60,663.8897366,0
1,-60,469.7425495,1
1,-60,388.7064695,2
1,-60,589.5172136,0
1,-60,493.3479925,2
1,-60,482.5887145,2
1,-60,358.5615146,1
1,-60,1047.940116,0
1,-60,721.7425236,0
1,-60,576.4891835,0
1,-60,437.4322745,1
1,-60,753.3368405,1
1,-60,899.1669615,2
1,-60,503.9654566,0
1,-60,471.0911165,0
1,-60,509.9073175,1
1,-60,506.1287035,0
1,-60,495.3171915,0
1,-30,521.2266915,2
1,-30,476.5260025,2
1,-30,589.3337344,2
1,-30,473.2792705,2
1,-30,513.7941495,0
1,-30,1188.176651,1
1,-30,627.9085616,2
1,-30,693.8152025,1
1,-30,909.0318646,2
1,-30,635.3521655,0
1,-30,720.7672965,1
1,-30,600.1106075,2
1,-30,607.2737135,2
1,-30,470.0908694,1
1,-30,545.9603065,0
1,-30,527.5603515,2
1,-30,455.9439115,1
1,-30,446.8090315,1
1,0,695.1122935,0
1,0,560.5442984,2
1,0,512.1009706,1
1,0,897.9169746,0
1,0,650.9618755,0
1,0,546.4783185,2
1,0,640.1764255,1
1,0,645.9210554,1
1,0,576.6491285,2
1,0,533.0265784,2
1,0,504.4398535,1
1,0,371.5394365,1
1,0,516.7994574,2
1,0,441.3045315,0
1,0,517.0477615,1
1,0,822.4624436,2
1,0,498.5718765,1
1,0,501.8475935,1
1,30,616.9121535,2
1,30,707.6968085,2
1,30,507.5016525,2
1,30,526.4227385,2
1,30,454.0885984,1
1,30,1201.428445,1
1,30,504.1802235,0
1,30,522.5197295,0
1,30,552.9421905,2
1,30,504.7956045,0
1,30,686.3214655,0
1,30,500.3031805,0
1,30,563.5155865,2
1,30,434.9759125,0
1,30,504.7375406,1
1,30,581.5053875,2
1,30,604.8170805,2
1,30,577.6277214,1
1,60,524.2918395,1
1,60,604.2659155,1
1,60,563.7749065,1
1,60,934.1790645,0
1,60,508.6303974,2
1,60,704.0108605,2
1,60,629.7551965,2
1,60,667.1559485,0
1,60,437.0586965,0
1,60,704.4070115,2
1,60,801.8817745,2
1,60,546.2934895,0
1,60,617.1429664,2
1,60,539.5831144,2
1,60,393.5473544,1
1,60,734.2755295,2
1,60,563.1668316,0
1,60,585.1669175,1
1,90,1220.280382,1
1,90,555.7065145,1
1,90,447.3743186,0
1,90,390.2125544,1
1,90,1058.152673,1
1,90,529.6985754,2
1,90,571.0471374,1
1,90,777.5744405,2
1,90,749.4633855,1
1,90,645.1187046,2
1,90,778.6321965,0
1,90,629.8416744,1
1,90,1081.101649,2
1,90,553.2102265,0
1,90,599.8151905,2
1,90,680.6759185,0
1,90,484.1025435,2
1,90,452.9789355,0
1,120,700.7207195,2
1,120,502.6735655,2
1,120,541.8256875,2
1,120,640.8742885,0
1,120,557.5044904,0
1,120,589.7816065,2
1,120,420.3319825,1
1,120,608.3361634,2
1,120,683.8473755,0
1,120,676.0660004,0
1,120,572.2585245,0
1,120,756.5990715,2
1,120,545.4313685,0
1,120,465.6141664,1
1,120,624.5237065,1
1,120,806.3534154,0
1,120,727.3284676,2
1,120,587.2026236,0
1,150,541.4736865,2
1,150,393.4389535,2
1,150,443.2184835,2
1,150,1199.501672,2
1,150,629.4977465,1
1,150,473.2014124,1
1,150,595.1875175,0
1,150,576.2829536,1
1,150,601.7633355,0
1,150,578.3871795,2
1,150,490.7276836,1
1,150,554.3009134,2
1,150,618.6042365,0
1,150,529.7262705,0
1,150,540.3597935,2
1,150,558.9113065,1
1,150,727.8606054,2
1,150,593.3490535,1
1,180,464.0790265,2
1,180,528.4181765,0
1,180,487.7073995,2
1,180,414.9430606,1
1,180,445.6148665,1
1,180,694.3868405,2
1,180,602.1148664,1
1,180,716.6617725,0
1,180,753.6284315,1
1,180,1352.088761,1
1,180,635.3138755,1
1,180,522.3047785,1
1,180,516.0996395,1
1,180,585.7801075,2
1,180,531.2416675,2
1,180,574.4891115,1
1,180,847.2430135,2
1,180,603.3384805,0
1,-180,464.08,2
1,-180,528.42,0
1,-180,487.71,2
1,-180,414.94,1
1,-180,445.61,1
1,-180,694.39,2
1,-180,602.11,1
1,-180,716.66,0
1,-180,753.63,1
1,-180,1352.1,1
1,-180,635.31,1
1,-180,522.3,1
1,-180,516.1,1
1,-180,585.78,2
1,-180,531.24,2
1,-180,574.49,1
1,-180,847.24,2
1,-180,603.34,0
