Correct Response,Rotation (deg),Adjusted Time,Target
1,90,527.0321,1
1,120,437.7454,1
1,150,629.8123,2
1,120,519.6727,0
1,0,598.1655,2
0,-150,471.5279,1
1,-90,644.638,1
1,-90,470.4854,1
1,-60,539.1877,0
1,180,497.8225,0
1,0,471.9749,2
1,0,521.0088,0
1,-120,423.4419,1
1,-30,495.7054,0
1,-150,486.4134,1
0,30,413.4567,0
1,150,473.8298,2
1,-60,481.5669,2
1,180,464.7702,0
1,-150,401.1462,0
1,90,443.9527,0
1,150,513.3291,1
1,60,437.4159,1
1,180,506.4848,2
1,0,433.7711,2
1,-90,499.0201,0
1,-30,445.099,1
1,-150,502.0694,2
1,-60,434.4742,1
1,0,570.6978,2
1,90,477.1202,0
1,-90,482.7667,2
1,-150,426.6542,1
0,60,419.2531,2
1,120,516.1843,0
0,-90,435.2631,1
1,-90,531.5873,1
1,0,538.9485,0
1,150,472.7673,1
1,30,372.9347,1
1,0,390.7622,1
1,-120,359.6143,1
1,30,476.9253,2
1,90,509.6429,1
1,30,315.4298,1
1,90,508.1432,2
1,30,481.8084,0
1,150,714.8989,0
1,-120,412.5049,1
0,-90,462.0292,0
1,-60,491.6016,2
1,-90,540.303,0
0,-90,581.954,0
1,60,450.3237,0
1,150,443.0539,1
1,-30,424.6503,1
1,-120,501.0842,2
1,30,334.0786,2
1,-120,392.8816,2
0,-60,610.743,0
1,-120,507.7254,1
1,30,486.0458,0
1,180,393.5095,1
1,-90,520.8782,0
1,-150,517.9098,0
1,0,470.0668,0
1,90,374.45,0
1,120,372.0495,0
1,60,437.2502,1
1,30,487.2511,0
1,-30,571.5126,2
1,-30,446.4395,1
1,-30,425.6702,1
1,-60,379.0488,1
1,-60,527.4292,0
1,90,505.6669,1
1,-150,416.2481,1
1,150,529.6103,2
1,-150,490.0921,0
1,60,775.0092,0
0,180,583.9394,0
1,-30,811.3696,2
1,60,485.7733,2
1,120,591.9831,1
1,-120,930.8385,2
1,120,610.5138,0
1,180,503.9979,2
1,150,428.123,0
1,150,488.2504,0
0,-120,445.4133,2
1,0,482.0359,2
1,-60,509.5075,2
1,120,409.2425,2
1,120,446.9299,2
