Correct Response,Rotation (deg),Reaction Time (ms)- Delay,Target
1,-150,712.663382,0
1,-150,870.47962,0
1,-150,672.489868,1
1,-150,651.306802,1
1,-150,923.862271,1
1,-150,608.384387,2
1,-150,822.92597,2
1,-150,677.889962,1
1,-150,648.86329,1
1,-150,769.02874,0
1,-150,687.868531,2
1,-150,561.316711,0
1,-150,552.441092,0
1,-150,706.73201,1
1,-150,1119.127471,1
1,-150,708.229053,1
1,-150,827.704111,2
1,-150,398.886317,1
1,-120,1319.406161,0
1,-120,909.615015,2
1,-120,717.773517,0
1,-120,624.964481,0
1,-120,684.830497,0
1,-120,673.682837,2
1,-120,748.454143,0
1,-120,627.070894,0
1,-120,649.106713,0
1,-120,513.709402,1
1,-120,593.221935,2
1,-120,635.53277,0
1,-120,517.369082,2
1,-120,525.735299,1
1,-120,570.714405,2
1,-120,692.407237,2
1,-120,519.216759,0
1,-120,634.96708,2
1,-90,759.758064,0
1,-90,550.612702,1
1,-90,951.403043,0
0,-90,555.481998,2
1,-90,726.35114,0
0,-90,635.188433,2
1,-90,1419.086121,2
1,-90,593.552474,2
1,-90,690.135001,0
1,-90,505.450515,2
1,-90,558.683366,2
1,-90,811.4241,0
1,-90,617.972258,2
1,-90,673.921506,2
1,-90,561.584596,2
1,-90,561.645763,0
1,-90,634.127759,0
1,-90,485.467217,1
1,-90,623.408603,0
1,-90,527.920441,0
1,-60,564.637945,2
0,-60,625.238544,0
1,-60,620.507442,0
1,-60,619.515832,1
1,-60,708.892886,2
1,-60,991.441799,0
1,-60,780.451337,0
1,-60,550.885432,2
1,-60,688.531497,0
1,-60,664.540017,0
1,-60,766.930871,0
1,-60,587.699946,2
1,-60,655.877967,0
1,-60,573.269088,2
1,-60,604.866051,0
1,-60,509.120087,0
1,-60,568.591634,0
1,-60,572.256052,1
1,-60,896.064874,1
1,-30,614.079333,1
1,-30,701.506145,2
0,-30,724.873866,0
1,-30,691.372,1
1,-30,919.856209,2
0,-30,606.743632,2
1,-30,717.914216,2
1,-30,987.144567,2
1,-30,712.977353,0
1,-30,665.835031,1
1,-30,607.720774,2
1,-30,550.155373,0
1,-30,563.363982,0
1,-30,580.324939,2
1,-30,569.036161,1
1,-30,524.6651,1
1,-30,561.072878,1
1,-30,648.958835,1
1,-30,527.667349,1
1,-30,509.792871,0
1,0,488.903871,1
1,0,804.12861,2
1,0,542.972114,1
1,0,718.665906,2
0,0,698.960385,0
1,0,612.359762,1
1,0,733.436246,1
1,0,571.58718,2
1,0,951.040089,1
1,0,557.495405,2
1,0,599.468332,1
0,0,486.217143,2
1,0,614.030789,2
1,0,594.484314,0
1,0,565.954342,2
1,0,615.161274,1
1,0,523.708465,1
1,0,581.443289,1
1,0,529.058547,1
1,0,564.259334,2
1,30,738.60896,0
0,30,765.843411,0
1,30,464.808563,2
0,30,799.029965,0
1,30,501.309842,1
1,30,656.693036,1
1,30,631.672435,0
1,30,1300.567457,2
1,30,661.727348,0
1,30,605.88358,0
1,30,843.463393,1
1,30,620.583077,0
1,30,579.727311,2
1,30,573.281966,1
1,30,752.890288,1
1,30,559.988686,2
1,30,592.098055,2
1,30,598.03675,2
1,30,610.517411,2
1,30,525.139198,2
1,60,594.106191,2
0,60,532.104294,0
1,60,668.650359,2
0,60,602.321595,0
1,60,490.132776,1
1,60,498.877486,2
1,60,661.706112,2
1,60,552.599597,1
1,60,676.186758,1
1,60,598.393942,0
1,60,635.669353,2
1,60,575.365312,2
1,60,729.808921,0
1,60,619.23653,2
1,60,434.084061,1
1,60,865.022226,1
1,60,594.386494,0
1,60,526.138593,0
1,60,533.029489,0
1,60,553.28229,0
1,90,677.524374,1
1,90,650.135568,1
1,90,737.731147,2
1,90,635.419538,1
1,90,519.693662,2
1,90,686.573509,0
1,90,715.826477,2
1,90,516.832604,2
1,90,594.079755,1
1,90,566.093794,0
1,90,544.399667,0
1,90,559.152253,0
1,90,726.498478,2
1,90,462.027372,2
1,90,530.422637,1
1,90,505.267956,1
1,90,746.919561,2
1,90,629.555357,1
1,120,684.734809,2
1,120,678.316063,0
1,120,831.015093,0
1,120,904.394628,0
1,120,845.118048,1
1,120,633.571593,2
1,120,759.027866,0
1,120,760.975995,1
1,120,643.913905,2
1,120,809.98878,2
1,120,579.12278,2
1,120,589.209092,2
1,120,753.129265,1
1,120,692.76503,0
0,120,994.176095,1
1,120,632.353549,1
1,120,557.874106,1
1,120,500.842709,2
1,120,546.442016,1
1,150,654.366859,2
1,150,583.356411,1
1,150,750.400907,0
1,150,591.48301,1
1,150,767.648133,2
1,150,1770.682746,0
1,150,667.189444,2
1,150,626.602532,0
1,150,614.007568,1
1,150,646.159276,1
1,150,583.849459,0
1,150,782.489094,2
1,150,689.560635,0
1,150,487.257954,1
1,150,771.811617,2
1,150,773.840247,0
1,150,685.440297,0
1,150,1001.986674,1
1,180,587.903125,1
1,180,1071.989249,2
1,180,924.81118,0
1,180,990.350795,0
1,180,714.534864,1
1,180,947.350634,0
1,180,749.173723,0
1,180,1106.278879,2
1,180,656.879054,2
1,180,615.957988,0
1,180,1161.357907,1
1,180,747.481089,0
1,180,1222.808715,0
1,180,934.605043,1
1,180,624.702985,0
1,180,901.437479,2
1,180,561.759851,2
1,180,1279.357624,0
1,-180,587.9,1
1,-180,1072,2
1,-180,924.81,0
1,-180,990.35,0
1,-180,714.53,1
1,-180,947.35,0
1,-180,749.17,0
1,-180,1106.3,2
1,-180,656.88,2
1,-180,615.96,0
1,-180,1161.4,1
1,-180,747.48,0
1,-180,1222.8,0
1,-180,934.61,1
1,-180,624.7,0
1,-180,901.44,2
1,-180,561.76,2
1,-180,1279.4,0
