Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
B,0,0,1.2500484,1,6,1201021796
M,0,0,1.1201949,1,4,1201029531
M,0,0,1.7333935,1,6,1201031593
B,0,0,1.4404382,1,6,1201039093
M,2,0,0.9222513,1,2,1201055093
A,0,0,1.4136334,1,8,1201102875
B,0,0,1.5669701,1,8,1201118000
M,0,0,0.7279092,1,2,1201132812
A,2,0,0.7787587,1,4,1201148953
B,2,0,1.3605725,1,2,1201179421
M,2,0,0.8364872,1,4,1201181875
B,0,0,1.2258844,1,6,1201197609
M,0,0,0.84423,1,2,1201210453
M,2,0,0.9932395,1,6,1201257109
B,0,0,2.296468,0,8,1201267468
B,2,0,0.5973853,1,6,1201277765
B,0,0,1.2729316,1,6,1201290171
A,0,0,1.5482493,0,8,1201346109
M,2,0,0.7034691,1,2,1201353421
B,2,0,0.8515591,1,2,1201358125
B,2,0,1.0513724,1,6,1201383000
A,2,0,1.2455889,1,6,1201393187
A,2,0,0.6736864,1,2,1201398218
A,2,0,1.3065785,1,2,1201436578
B,2,0,0.7837295,1,6,1201439109
B,0,0,0.5387428,0,2,1201446484
A,2,0,1.4020835,0,6,1201487484
M,2,0,0.6470278,1,4,1201512218
A,0,0,0.7148724,0,8,1201514750
B,0,0,0.7157509,1,8,1201524453
M,2,0,0.6499763,1,8,1201529812
M,0,0,0.831183,1,6,1201537187
B,0,0,0.5159485,1,4,1201554203
B,2,0,0.659738,1,4,1201564203
M,0,0,0.5557174,1,8,1201569062
B,0,0,0.9498614,1,2,1201576687
B,2,0,0.6760516,1,2,1201586453
M,0,0,0.4939589,1,2,1201589140
B,2,0,1.0891162,1,8,1201599000
A,0,0,0.4455233,1,4,1201613937
A,2,0,0.4990936,1,4,1201616421
B,2,0,0.9834201,1,8,1201624140
M,0,0,0.6545299,1,6,1201626375
M,0,0,0.6055505,1,4,1201631296
B,0,0,0.4081863,1,2,1201643562
B,0,0,0.7505296,1,2,1201689859
B,0,0,0.7875772,1,4,1201721906
B,2,0,0.6125752,1,8,1201727109
B,0,0,0.6759903,1,8,1201780218
B,0,0,0.9674469,1,4,1201794781
M,2,0,0.763974,1,6,1201797515
A,0,0,0.5636306,0,8,1201799953
A,2,0,0.7037382,1,8,1201802468
M,0,0,0.8027911,1,4,1201809703
B,0,0,0.7418584,1,2,1201812593
B,0,0,0.6193814,1,4,1201817359
A,2,0,0.9478584,1,4,1201827218
M,0,0,0.6258914,1,2,1201832421
A,0,0,1.2442342,1,2,1201834734
M,0,0,0.6131463,1,8,1201862234
B,2,0,0.5996368,1,2,1201866968
B,2,0,0.5152193,1,8,1201924750
B,2,0,0.8163817,1,4,1201939625
A,2,0,0.6605135,1,4,1201942281
B,2,0,0.4681754,1,8,1201949906
A,2,0,0.4913183,1,8,1201962218
B,2,0,0.5710515,1,6,1201979640
B,2,0,0.7203233,1,2,1201982187
B,2,0,1.0205265,1,4,1202004531
A,2,0,0.6660564,1,4,1202036890
A,2,0,0.5389426,1,2,1202064656
A,2,0,1.0496147,1,6,1202067093
B,2,0,0.7333683,1,8,1202077281
B,0,0,1.0239632,1,6,1202092390
B,0,0,0.6494836,1,2,1202124453
A,0,0,0.631425,1,6,1202129453
M,0,0,0.6053247,1,6,1202141812
A,0,0,0.7636759,1,4,1202147062
M,2,0,0.585436,1,4,1202151593
B,0,0,0.8040862,1,4,1202181687
A,2,0,0.6911097,1,8,1202184046
M,2,0,0.7399177,1,6,1202212531
A,0,0,0.6346869,1,2,1202222296
A,2,0,0.6508453,1,6,1202224703
B,2,0,0.8704911,1,6,1202241875
M,0,0,0.5952205,1,6,1202244343
B,0,0,0.9821767,1,4,1202249593
A,2,0,0.4450249,1,6,1202264234
A,0,0,0.9189643,1,4,1202284234
B,2,0,1.203309,1,8,1202289125
M,0,0,0.6309529,1,4,1202296625
M,0,0,0.5436034,1,4,1202311593
B,0,0,0.7003179,1,2,1202314015
B,0,0,0.8778441,0,4,1202323968
B,2,0,0.5739207,1,4,1202334140
A,0,0,0.804499,1,8,1202386953
B,0,0,0.6145399,1,8,1202394453
B,0,0,0.6446976,1,8,1202411562
B,0,0,1.4481004,1,2,1202416546
M,2,0,0.6081937,1,4,1202424312
B,0,0,0.9221622,1,4,1202431546
B,2,0,1.126761,1,2,1202454015
A,0,0,0.9570695,1,2,1202458765
A,2,0,0.6738084,1,4,1202468687
A,2,0,1.0136457,1,6,1202474078
M,2,0,0.8550469,1,6,1202517109
A,2,0,0.5356206,1,8,1202537015
A,2,0,0.8098151,1,6,1202549171
A,0,0,0.8237851,1,2,1202564312
M,2,0,0.7143395,1,4,1202584156
M,2,0,0.6825069,1,2,1202596562
M,2,0,0.6961016,1,2,1202598812
M,0,0,0.6676734,1,8,1202611687
A,2,0,0.81541,1,8,1202631625
B,2,0,1.2397813,1,4,1202664796
A,2,0,0.7525425,1,8,1202697125
M,0,0,0.6720539,1,4,1202704703
B,0,0,1.151032,1,4,1202719359
B,0,0,1.2093525,1,2,1202721890
A,2,0,0.6914363,1,4,1202726734
B,0,0,0.6625713,1,8,1202794843
A,0,0,1.0068448,1,8,1202799765
B,0,0,0.8121701,1,8,1202809828
A,2,0,0.6913747,1,8,1202812062
A,0,0,0.7155112,1,8,1202814500
A,0,0,0.4200317,1,8,1202837093
B,0,0,1.3182373,1,8,1202889531
