Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
M,0,0,0.7336544,1,2,1110123625
A,0,0,0.3753193,1,4,1110133187
B,2,0,0.5140697,1,6,1110143031
B,0,0,0.4625008,1,6,1110150593
M,2,0,0.4774941,1,2,1110157828
M,2,0,0.545503,1,2,1110187218
B,0,0,0.5904901,1,4,1110207531
A,0,0,0.4261236,1,8,1110214593
A,2,0,0.416788,1,8,1110217328
B,0,0,0.397299,0,6,1110222125
A,0,0,0.7040608,1,2,1110224734
M,0,0,0.4794622,1,6,1110229546
B,2,0,0.6812792,1,6,1110244828
M,0,0,0.4935676,1,4,1110282453
A,2,0,0.4598691,1,2,1110289953
A,2,0,0.3925898,0,8,1110292812
A,0,0,0.428289,1,8,1110299890
A,0,0,0.4542288,1,8,1110309953
B,0,0,0.5469769,1,8,1110322312
B,2,0,0.6158218,1,2,1110324703
A,2,0,0.4274361,1,6,1110334656
M,0,0,0.5434712,1,4,1110339781
B,2,0,0.4936013,1,8,1110349468
A,2,0,0.4634594,1,4,1110362062
A,2,0,0.484787,1,2,1110374125
M,0,0,0.5221269,1,4,1110381859
A,0,0,0.7407123,1,8,1110391765
M,0,0,0.5652342,1,4,1110427203
A,2,0,0.383775,1,6,1110444609
M,2,0,0.485248,1,6,1110447359
B,0,0,0.3925889,0,4,1110474265
M,0,0,0.6169332,1,6,1110481656
B,0,0,0.4827936,1,6,1110494109
B,0,0,0.5849982,1,4,1110511812
B,2,0,0.4631945,1,6,1110514046
A,0,0,0.4141814,1,8,1110523921
M,0,0,0.6577495,1,2,1110531671
B,2,0,0.5858614,1,8,1110541421
M,2,0,0.4250873,1,6,1110546500
B,2,0,0.6229117,1,8,1110572312
M,0,0,0.5215092,1,2,1110574531
M,2,0,0.3954178,1,2,1110594734
M,2,0,0.3795899,1,8,1110597015
B,0,0,0.3971464,1,2,1110619171
B,2,0,0.5983481,1,8,1110644265
B,0,0,0.6364456,1,6,1110664296
B,0,0,0.571621,1,8,1110666718
A,2,0,0.4077877,1,4,1110676437
M,0,0,0.6526005,1,8,1110679000
B,0,0,0.4555181,0,2,1110681765
M,2,0,0.8385513,1,2,1110696250
A,0,0,0.5503321,1,6,1110721421
A,0,0,0.5233112,1,6,1110731093
A,2,0,0.4339331,1,2,1110741046
A,0,0,0.4255153,1,4,1110746046
M,2,0,0.4908693,1,2,1110751296
B,0,0,0.5712937,1,4,1110753484
M,2,0,0.5586312,1,2,1110763453
A,2,0,0.4189942,1,8,1110775625
M,0,0,0.3855797,1,6,1110778390
M,0,0,0.4427007,1,8,1110793406
M,2,0,0.4074235,1,8,1110820359
A,2,0,0.5058025,1,6,1110850671
B,2,0,0.6388499,1,4,1110892921
M,2,0,0.5399925,1,6,1110898015
M,2,0,0.4969163,1,6,1110900171
A,2,0,0.4746689,1,6,1110920140
B,2,0,0.4456709,0,4,1110939843
B,2,0,0.5263054,1,8,1110962171
B,2,0,0.6343325,1,2,1110967015
B,0,0,0.4630071,1,6,1110977031
B,0,0,0.515909,1,6,1111020046
A,0,0,0.3525145,1,8,1111025234
M,2,0,0.5668662,1,2,1111030046
B,2,0,0.5393392,1,8,1111062015
A,2,0,0.3792181,1,8,1111069703
A,0,0,0.426099,1,4,1111084609
M,0,0,0.4841806,1,8,1111089718
B,2,0,0.4247074,0,8,1111126593
M,2,0,0.8911141,1,4,1111160078
B,0,0,0.6593429,1,2,1111162265
A,0,0,0.3694218,1,2,1111197296
B,2,0,0.6866175,1,2,1111221796
M,2,0,0.5229061,1,2,1111224250
M,0,0,0.4550153,1,6,1111239437
A,2,0,0.4562545,1,8,1111246500
B,0,0,0.4806693,1,6,1111251890
M,2,0,0.4831707,1,8,1111264203
M,0,0,0.5642304,1,8,1111317015
M,0,0,0.4558363,1,2,1111319484
B,2,0,0.5848371,1,4,1111327062
B,0,0,0.5822738,1,6,1111336859
A,2,0,0.4263255,1,2,1111356953
A,2,0,0.4107387,1,2,1111369156
A,2,0,0.4143,1,4,1111386718
B,0,0,0.5618447,1,8,1111391500
A,0,0,0.4023163,1,8,1111396765
M,2,0,0.5498299,1,2,1111413921
B,2,0,0.5344869,1,2,1111466593
B,2,0,0.548831,1,6,1111469031
B,2,0,0.5908586,1,8,1111484125
B,0,0,0.4743273,1,4,1111500828
M,2,0,0.522709,1,6,1111505734
A,0,0,0.4564077,1,6,1111510937
B,0,0,0.422916,1,2,1111626203
B,2,0,0.4619658,0,2,1111635781
B,2,0,0.5160543,1,4,1111641109
M,2,0,0.5364922,1,2,1111655484
M,0,0,0.4465788,1,6,1111658312
A,0,0,0.4061645,1,4,1111660453
M,2,0,0.4894411,1,6,1111700500
M,0,0,0.4758586,1,2,1111702875
B,0,0,0.4908693,0,2,1111712656
B,2,0,0.4964771,1,8,1111715250
B,0,0,0.4950684,1,6,1111718109
M,2,0,0.5211884,1,8,1111760875
M,0,0,0.6002115,1,8,1111798046
M,0,0,0.5004595,0,4,1111803343
A,0,0,0.4423135,1,4,1111808156
