Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
M,2,0,0.5660661,1,2,443766562
A,2,0,0.4095209,1,8,443776703
B,0,0,0.5781707,1,4,443778890
M,0,0,0.576197,1,4,443795875
A,2,0,0.4233738,1,6,443808156
B,2,0,0.5719429,0,2,443825437
M,0,0,0.5681703,1,8,443827843
A,0,0,0.5539317,1,4,443830500
M,0,0,0.5739255,1,8,443832781
B,0,0,0.4862255,1,8,443838046
B,0,0,0.4404985,1,8,443842796
M,2,0,0.4750425,0,6,443845093
A,2,0,0.3898863,1,4,443862656
M,2,0,0.3904582,1,8,443872671
B,2,0,0.5816195,1,6,443874812
A,2,0,0.4791035,1,4,443882234
B,0,0,0.6072485,1,6,443884968
A,2,0,0.4793698,1,6,443920031
A,0,0,0.4377752,1,4,443942281
M,2,0,0.4502571,1,2,443957312
M,2,0,0.3641655,1,8,443962031
A,0,0,0.5074299,1,2,443967125
M,2,0,0.5185457,1,4,443974609
A,2,0,0.4382339,1,8,443994000
M,0,0,0.4097374,1,4,444008984
M,2,0,0.501255,1,4,444013703
B,0,0,0.5202336,1,8,444021468
M,2,0,0.407114,0,8,444026156
A,2,0,0.5135501,1,2,444066515
M,0,0,0.5106542,1,4,444068937
M,2,0,0.4954402,1,2,444076171
M,2,0,0.4610589,1,2,444088375
M,2,0,0.575642,1,2,444128328
B,2,0,0.5079376,1,4,444130484
A,2,0,0.5746976,1,8,444147890
M,2,0,0.4324102,1,2,444157562
B,2,0,0.546639,1,2,444160250
M,2,0,0.5316835,1,2,444170109
A,0,0,0.5187,1,4,444177281
M,0,0,0.3849608,1,4,444182281
A,0,0,0.4860958,1,6,444230187
B,2,0,0.5675163,1,2,444242468
B,0,0,0.413608,1,2,444250000
M,2,0,0.4052807,1,4,444254718
M,2,0,0.4451389,1,6,444269500
B,0,0,0.5919443,1,2,444286859
M,0,0,0.4460006,1,2,444301515
B,2,0,0.4463865,1,2,444313734
B,0,0,0.4524571,1,4,444316203
B,2,0,0.5887171,1,8,444321265
A,0,0,0.427818,1,4,444338750
M,0,0,0.3624898,1,4,444375656
M,0,0,0.5334616,1,2,444434578
B,0,0,0.4341943,1,2,444454250
A,0,0,0.5884741,1,4,444457109
M,0,0,0.4461486,1,4,444464375
M,0,0,0.4560004,1,4,444490046
A,2,0,0.5361744,1,8,444492218
A,0,0,0.4703963,1,6,444501921
B,2,0,0.6824839,1,8,444504828
M,2,0,0.5277029,1,8,444529281
A,0,0,0.5264628,1,2,444549250
B,0,0,0.4941827,1,8,444554125
B,2,0,0.6301466,1,4,444561281
B,0,0,0.5409293,1,4,444576125
A,2,0,0.5134704,1,2,444578859
M,2,0,0.4323564,1,8,444593640
A,0,0,0.4505466,1,4,444605718
A,2,0,0.478848,1,4,444650984
B,2,0,0.4950558,1,6,444705187
A,2,0,0.5680564,1,2,444714953
M,0,0,0.5032174,1,4,444719812
B,0,0,0.5224992,1,4,444722203
M,0,0,0.5068834,1,8,444724875
B,0,0,0.5180038,1,6,444729515
M,0,0,0.5339379,1,2,444732109
B,0,0,0.4608712,1,8,444754218
M,0,0,0.5398423,1,6,444759406
A,2,0,0.4831168,1,4,444787375
A,0,0,0.5072379,1,4,444789468
B,2,0,0.5121971,1,8,444792171
A,2,0,0.4547756,1,6,444802171
B,2,0,0.5031542,1,4,444804750
A,0,0,0.5401245,1,8,444806812
A,0,0,0.6006982,1,2,444817093
B,2,0,0.5696823,1,6,444831781
B,0,0,0.5762199,1,6,444871296
M,0,0,0.5291847,1,4,444875953
B,0,0,0.5330896,1,2,444898406
A,2,0,0.5967123,1,2,444903375
B,0,0,0.5230956,1,2,444960812
M,2,0,0.471355,1,8,444967765
A,0,0,0.5343956,1,4,444972812
B,0,0,0.6331396,1,6,444975343
A,0,0,0.408553,1,6,444980218
A,2,0,0.5343888,1,2,445002531
A,0,0,0.5490004,1,4,445007218
B,0,0,0.5152909,1,6,445027156
A,2,0,0.509328,1,2,445041984
B,0,0,0.4681694,1,2,445089765
M,0,0,0.5191861,1,4,445107062
B,2,0,0.4822925,0,4,445111625
A,0,0,0.5079359,1,4,445139015
A,0,0,0.4426208,1,2,445188250
B,0,0,0.4711359,1,8,445195609
M,0,0,0.4969307,1,4,445200718
B,0,0,0.6681013,1,2,445248796
M,0,0,0.5323286,1,6,445278281
M,2,0,0.4333434,1,2,445290984
B,0,0,0.4666123,1,4,445303406
A,2,0,0.4544683,1,4,445315687
A,2,0,0.4686707,1,8,445332984
A,2,0,0.4882297,1,8,445342453
M,2,0,0.3836719,1,2,445350171
B,2,0,0.5763786,1,4,445355156
M,2,0,0.6607657,1,2,445394328
A,2,0,0.4568254,1,4,445399265
A,2,0,0.5418371,1,8,445416671
M,2,0,0.6212312,1,2,445421562
M,2,0,0.4443825,1,8,445446312
B,2,0,0.5301761,1,6,445460703
M,2,0,0.4432983,1,6,445463156
M,2,0,0.4372428,1,6,445468203
B,2,0,0.5856675,1,6,445494906
