Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
B,2,0,0.6311319,1,6,1355776265
M,0,0,0.5461106,1,4,1355798562
M,0,0,0.4447319,1,4,1355800796
M,0,0,0.6420874,1,8,1355810531
A,2,0,0.5063215,1,8,1355815640
M,2,0,0.5704552,1,4,1355837281
A,0,0,0.5621843,1,2,1355844781
M,2,0,0.5373207,1,6,1355849953
M,0,0,0.592066,1,4,1355854609
B,0,0,0.4798838,1,4,1355921890
B,2,0,0.4700781,1,4,1355924296
A,2,0,0.5192988,1,4,1355945968
B,2,0,0.8487023,1,8,1355953328
A,0,0,0.435731,1,6,1355960921
M,0,0,0.6064876,1,8,1355970796
B,2,0,0.5006244,0,2,1355973281
A,2,0,0.4986331,1,8,1355975390
A,0,0,0.4587068,1,8,1355980515
A,0,0,0.4661471,1,8,1355995093
A,0,0,0.4303517,1,4,1355997671
M,0,0,0.5750508,1,2,1356005234
A,0,0,0.4281389,1,8,1356014796
B,0,0,0.4162796,1,4,1356036953
A,2,0,0.5097199,1,4,1356067265
A,2,0,0.4433543,1,6,1356074218
B,2,0,0.5741372,1,2,1356081906
M,0,0,0.715107,1,4,1356098921
B,0,0,0.6216951,1,4,1356113593
A,2,0,0.5375869,1,4,1356121062
B,2,0,0.5110513,1,2,1356123500
B,0,0,0.5394693,1,6,1356128453
M,0,0,0.4693452,1,2,1356170031
M,0,0,0.479924,1,2,1356174625
A,0,0,0.5713621,1,6,1356177203
M,0,0,0.5184024,1,4,1356214687
B,0,0,0.6504605,1,4,1356229781
A,2,0,0.5960741,1,8,1356239265
B,2,0,0.6684389,1,8,1356244218
A,2,0,0.5136524,1,2,1356249390
M,0,0,0.5891985,1,2,1356261546
A,0,0,0.5592803,1,6,1356283281
A,0,0,0.4993589,1,4,1356291031
B,2,0,0.6385156,1,2,1356295843
B,0,0,0.4710441,1,6,1356300562
A,0,0,0.5126935,1,6,1356303093
A,0,0,0.6218889,1,4,1356305468
A,2,0,0.4573004,1,2,1356310531
A,0,0,0.5643203,1,6,1356364156
M,2,0,0.5752597,1,8,1356376375
M,0,0,0.4744117,1,6,1356393500
A,2,0,0.4711585,1,2,1356398562
A,2,0,0.5396207,1,6,1356403609
M,0,0,0.5734355,1,4,1356406109
M,2,0,0.4769552,1,6,1356408625
A,0,0,0.4515233,1,8,1356413140
A,0,0,0.4308513,1,2,1356415968
A,2,0,0.4332767,1,4,1356418343
B,0,0,0.5391554,1,2,1356497390
B,2,0,0.6199581,1,4,1356507453
B,2,0,0.5930252,1,8,1356512218
M,0,0,0.5603395,1,8,1356529109
A,2,0,0.5605502,1,2,1356531562
B,0,0,0.580064,1,6,1356534218
B,2,0,0.5075708,1,4,1356541515
A,2,0,0.5522223,1,8,1356551156
M,0,0,0.5730504,1,4,1356568500
A,2,0,1.0214085,1,6,1356582890
B,0,0,0.5200345,1,2,1356590328
A,0,0,0.4939757,1,8,1356612593
A,0,0,0.5101138,1,6,1356635406
M,2,0,0.5243028,1,4,1356643109
A,0,0,0.4837328,1,2,1356650281
M,2,0,0.6054732,1,8,1356660203
M,2,0,0.6591007,1,8,1356701328
M,2,0,0.4528812,1,2,1356706359
B,2,0,0.6179589,1,8,1356716156
M,2,0,0.5789932,1,8,1356735906
B,0,0,0.5994201,1,6,1356742937
A,2,0,0.7254302,1,4,1356755375
A,0,0,0.4473512,1,2,1356788171
B,0,0,0.5277162,1,6,1356800140
M,2,0,0.6372961,1,8,1356807531
A,0,0,0.470916,1,4,1356841781
B,2,0,0.5537126,1,4,1356858843
B,2,0,0.7541705,1,8,1356878828
A,0,0,0.493093,1,8,1356885937
B,2,0,0.5270113,1,8,1356893390
A,2,0,0.510361,1,4,1356900703
M,2,0,0.5278472,1,6,1356936015
M,0,0,0.5222362,1,6,1356943109
M,2,0,0.4911801,1,8,1356950562
A,0,0,0.4949583,1,4,1356955718
B,0,0,0.5179428,1,2,1356957671
A,2,0,0.5230828,1,8,1356960375
M,0,0,0.5148973,1,6,1356975218
B,2,0,0.5155843,1,6,1356992140
M,2,0,0.6784026,1,4,1356999250
A,0,0,0.4374423,1,2,1357021234
A,0,0,0.4994874,1,2,1357026515
M,2,0,0.7096791,1,4,1357028781
B,2,0,0.4721845,0,6,1357033484
M,2,0,0.5611329,1,6,1357053171
A,2,0,0.4515185,1,6,1357080906
B,2,0,0.4922381,1,8,1357085875
A,2,0,0.4690889,1,4,1357093234
B,0,0,0.5450222,1,8,1357098250
A,2,0,0.5092385,1,6,1357100609
M,0,0,0.6201884,1,2,1357122703
B,2,0,0.4959122,1,8,1357157359
A,2,0,0.4870063,1,2,1357231437
A,2,0,0.5061404,1,4,1357241203
B,2,0,0.6606656,1,6,1357243781
B,0,0,0.4437781,1,8,1357246125
B,0,0,0.4436084,1,6,1357248531
A,0,0,0.4867874,1,6,1357278046
B,0,0,0.5079538,1,4,1357351453
M,0,0,0.5871934,1,2,1357376531
A,0,0,0.5566864,1,4,1357420875
M,2,0,0.6237536,1,4,1357430890
A,2,0,0.5851436,1,2,1357433359
B,2,0,0.7559581,1,2,1357456812
B,2,0,0.7422542,1,2,1357473812
