Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
B,2,0,0.5086204,0,8,1359667750
M,2,0,0.5987455,1,6,1359670187
M,0,0,0.5513361,1,8,1359682750
A,0,0,0.6338978,1,4,1359684968
B,0,0,0.5558266,0,4,1359689953
M,2,0,0.7448188,1,4,1359704671
A,0,0,1.1877216,1,8,1359706984
B,0,0,0.477149,1,8,1359719109
A,2,0,0.509301,1,4,1359748546
M,2,0,0.5705013,1,6,1359760796
A,0,0,0.5581809,1,6,1359780453
M,2,0,0.4854018,1,2,1359837671
A,2,0,0.4799642,1,8,1359845187
A,2,0,0.5377116,1,6,1359859609
M,0,0,0.5789086,1,4,1359862312
A,0,0,0.6724536,1,8,1359864656
B,0,0,0.5141422,1,4,1359899218
A,0,0,0.4153504,1,6,1359901421
B,2,0,0.5539664,1,8,1359918515
M,0,0,0.5742184,1,2,1359921000
M,0,0,0.5648313,1,6,1359935593
B,0,0,0.64055,1,2,1359973500
A,0,0,0.3842672,1,2,1359975875
A,0,0,0.3847879,1,6,1359978046
B,2,0,0.4900889,1,6,1359983062
M,0,0,0.5656251,1,2,1359985406
B,0,0,0.5009407,1,4,1359995500
M,0,0,0.5630287,1,2,1360007656
B,0,0,0.5663115,1,4,1360024890
M,0,0,0.5628084,1,8,1360027234
A,2,0,0.701541,1,2,1360031984
M,0,0,0.4830908,1,6,1360034453
M,0,0,0.451871,1,4,1360044187
B,0,0,0.4896424,1,6,1360071453
M,2,0,0.4998556,1,2,1360073812
M,2,0,0.621308,1,4,1360076078
M,0,0,0.5052191,1,6,1360078578
M,2,0,0.4838702,1,4,1360108703
A,2,0,0.5124851,1,6,1360140781
B,2,0,0.503614,0,2,1360153171
B,0,0,0.5372278,1,2,1360155312
B,2,0,0.4522696,1,4,1360167812
A,0,0,0.5391679,1,4,1360177359
B,2,0,0.5358669,1,8,1360179984
M,2,0,0.5113898,1,4,1360197046
M,0,0,0.5837979,1,6,1360206640
M,2,0,0.4487466,1,8,1360216609
M,2,0,0.4977684,1,6,1360231093
M,0,0,0.4609856,1,8,1360240937
M,2,0,0.4405734,0,2,1360255687
A,2,0,0.4777307,1,6,1360263078
B,2,0,0.4753946,1,4,1360270046
B,0,0,0.5065492,1,6,1360282343
A,2,0,0.3973436,1,4,1360299484
B,2,0,0.4859539,0,6,1360309687
A,0,0,0.5066716,1,4,1360319468
A,0,0,0.4073871,1,4,1360353703
M,2,0,0.4765941,1,8,1360356250
A,2,0,0.8211009,1,2,1360381625
A,0,0,0.5046231,0,2,1360386531
B,2,0,0.4312085,1,8,1360388593
B,0,0,0.5219264,1,4,1360425609
B,0,0,0.3739391,1,8,1360430406
M,2,0,0.4925496,1,6,1360432968
B,0,0,0.4272437,1,8,1360445156
B,0,0,0.4758199,1,6,1360476859
M,2,0,0.504733,1,4,1360484187
A,2,0,0.811879,1,4,1360491578
M,0,0,0.4774354,0,4,1360551265
B,0,0,0.518624,1,6,1360553843
B,2,0,0.5328099,1,8,1360563343
B,0,0,0.5721048,1,8,1360565687
M,2,0,0.5041279,1,2,1360580343
M,2,0,0.3892643,1,8,1360582734
M,0,0,0.5541329,1,4,1360600234
A,2,0,0.731699,1,4,1360602750
B,2,0,0.5092424,1,8,1360605078
M,2,0,0.5136032,1,6,1360614875
B,2,0,0.3983856,1,2,1360622125
A,0,0,0.6143695,1,4,1360624656
M,2,0,0.4538377,1,8,1360636796
B,0,0,0.5740191,1,2,1360649093
B,0,0,0.4569422,1,8,1360651375
B,2,0,0.4986854,1,4,1360677062
B,2,0,0.4099858,1,6,1360679375
A,2,0,0.5581887,1,6,1360701375
M,2,0,0.5355051,1,2,1360713468
M,0,0,0.4427798,1,4,1360720890
M,0,0,0.4436016,1,2,1360748031
B,2,0,0.44957,1,2,1360755093
B,2,0,0.6051052,1,6,1360767421
B,2,0,0.4305129,1,2,1360770109
B,2,0,0.4558384,0,8,1360786906
M,0,0,0.3765495,1,8,1360832000
B,0,0,0.4813486,1,4,1360841656
A,0,0,0.5223512,1,6,1360864000
B,2,0,1.1004549,1,8,1360905218
A,0,0,0.5918644,1,2,1360947187
A,0,0,0.3887965,1,4,1361016234
A,2,0,0.4705064,1,2,1361048203
M,2,0,0.4640452,1,4,1361050875
B,2,0,0.5412891,1,2,1361057859
A,2,0,0.4938221,1,4,1361060218
M,0,0,0.4594753,1,2,1361062765
B,0,0,0.5181115,1,8,1361072656
A,0,0,0.5545299,1,8,1361084828
B,0,0,0.5379672,0,8,1361125718
M,2,0,3.9019521,0,8,1361133187
A,2,0,0.4093614,1,4,1361154765
B,2,0,0.422204,1,8,1361189343
M,0,0,0.5303835,1,2,1361209000
A,0,0,0.7665801,1,2,1361221343
B,2,0,0.4072007,1,4,1361240890
B,0,0,0.5833566,1,6,1361276078
B,2,0,0.4818997,1,2,1361278531
A,0,0,0.4891701,1,4,1361280781
A,2,0,0.4301322,1,2,1361292984
M,2,0,0.4069359,1,2,1361300265
A,0,0,0.4728479,1,6,1361315000
M,0,0,0.4213459,1,2,1361337046
B,2,0,0.4599243,1,2,1361346906
B,0,0,0.4489179,1,2,1361349359
B,2,0,0.5151129,1,2,1361368671
M,2,0,0.5491558,1,2,1361371265
B,2,0,0.5313928,1,2,1361378515
A,0,0,0.7668378,1,2,1361383328
M,0,0,0.538211,1,2,1361393234
B,2,0,0.435292,1,2,1361402890
B,0,0,0.437145,1,2,1361417421
M,2,0,0.5625702,1,2,1361424875
