Face,Direction,Eccentricity,Reaction Time (s),Correct?,Size,Eye Tracking Start Time (CPU Uptime)
M,2,0,0.6988367,1,6,95140562
A,2,0,1.0056409,1,2,95143031
M,2,0,0.9201006,1,4,95147843
A,2,0,0.6009516,1,2,95167796
B,0,0,0.6264801,1,4,95177515
A,0,0,1.1372088,1,4,95190140
B,0,0,0.7555568,1,8,95192328
M,0,0,0.6241158,1,6,95195062
M,2,0,0.5398301,1,6,95197140
B,2,0,0.7637369,1,2,95212046
A,0,0,0.6006319,1,6,95226828
M,0,0,0.5511674,1,8,95259937
M,2,0,0.6983412,1,2,95274437
M,2,0,0.5973987,1,8,95304015
A,2,0,0.9385182,1,8,95311609
B,2,0,1.2180633,1,2,95321375
B,2,0,0.577653,1,4,95323890
M,2,0,1.0745044,1,2,95328656
A,0,0,1.0726386,1,2,95333750
M,0,0,0.6208159,1,4,95375546
A,2,0,0.6776141,1,6,95378015
B,2,0,0.7279254,1,8,95380421
B,2,0,1.1588711,1,2,95413234
B,2,0,0.6475829,1,8,95428484
B,0,0,0.8876993,1,6,95448921
M,0,0,0.6438615,1,8,95453656
M,2,0,0.721846,1,4,95458375
A,2,0,0.5035289,1,2,95461031
B,0,0,0.9655796,1,6,95470859
A,0,0,0.7561718,1,4,95478312
A,0,0,0.7439015,0,8,95490734
M,0,0,0.7617625,1,2,95505546
M,0,0,0.5706809,1,2,95510203
A,2,0,0.9002561,1,6,95512703
M,0,0,0.6473037,1,2,95520468
M,2,0,0.6528759,1,4,95525265
B,2,0,0.6711696,1,4,95527406
A,2,0,7.0582239,0,4,95566062
A,0,0,0.6548095,1,8,95586156
M,0,0,0.6113849,1,4,95595828
A,2,0,0.718457,1,8,95620671
M,2,0,0.7283666,1,6,95633515
B,0,0,0.8688552,1,4,95635593
B,0,0,1.1381108,1,4,95640968
M,2,0,0.7021557,1,6,95657921
M,0,0,0.644123,1,6,95697437
A,2,0,0.6971353,1,8,95699750
A,0,0,0.6768882,1,2,95702218
B,2,0,0.8363262,1,6,95724671
M,2,0,0.6399846,1,6,95727093
B,0,0,0.709041,1,8,95771750
A,0,0,0.7644949,1,8,95781453
B,0,0,0.6677032,1,8,95798781
A,2,0,0.5417456,1,8,95853609
A,2,0,0.9154011,1,4,95861171
A,2,0,0.7273922,1,2,95869265
B,2,0,0.6390393,1,2,95871453
M,2,0,0.6754237,1,2,95894625
A,0,0,0.8060592,1,8,95911921
M,2,0,0.6768491,1,8,95914500
M,0,0,0.7086501,1,2,95916687
A,0,0,0.836465,1,6,95926765
M,2,0,0.6814078,1,4,95929078
M,0,0,0.7171615,1,4,95936734
A,0,0,1.0032594,1,2,95966281
B,0,0,0.7526504,1,6,96006359
M,0,0,0.5738511,1,6,96008906
A,2,0,0.6711469,1,4,96014078
A,0,0,0.6975984,1,2,96031125
B,2,0,0.7224434,1,6,96045937
B,2,0,0.4841059,1,6,96053328
B,2,0,0.9548002,1,8,96056015
A,0,0,0.6536045,1,6,96063218
B,2,0,0.7158603,1,4,96070593
B,0,0,1.8782957,0,2,96077859
B,0,0,0.7615664,1,4,96087703
M,2,0,0.6682856,1,6,96092703
M,2,0,0.5464883,1,2,96102875
B,2,0,0.8040155,1,8,96147968
B,0,0,0.5184906,1,6,96159875
M,0,0,0.6750401,1,4,96162781
A,2,0,0.5074323,1,4,96184625
A,2,0,1.0452489,1,6,96189875
M,0,0,0.7666487,1,2,96192171
B,0,0,0.7289917,1,6,96254046
A,0,0,0.6132988,1,4,96256343
A,0,0,0.6998657,1,2,96261109
A,0,0,0.7146485,1,8,96291578
B,0,0,0.5992243,1,4,96306515
M,0,0,0.7077242,1,8,96308640
M,0,0,0.5852215,1,8,96326046
B,0,0,0.8566797,1,6,96345687
B,0,0,0.6228633,0,4,96355437
A,0,0,0.6945961,1,4,96397359
M,2,0,0.893328,1,4,96405000
M,0,0,0.7687656,1,8,96417546
M,2,0,0.6261472,1,4,96442859
M,2,0,0.7006653,1,4,96455140
M,2,0,0.5598817,1,2,96467531
B,0,0,0.6857088,1,2,96469968
M,2,0,0.576548,1,4,96494625
M,2,0,0.7222079,1,8,96511593
M,2,0,0.6352141,0,6,96521578
A,2,0,1.0317374,1,8,96526437
M,0,0,0.6157766,1,6,96548625
A,2,0,0.6007105,1,6,96564453
B,2,0,0.615709,0,6,96566640
B,2,0,5.4920047,0,2,96632437
B,2,0,0.7091505,1,2,96648734
M,2,0,0.7662758,1,6,96650921
B,0,0,1.1344127,1,4,96663531
M,0,0,1.5794661,1,8,96692125
M,0,0,0.6485925,1,6,96717984
A,0,0,0.5684483,1,2,96761609
A,2,0,0.785667,1,6,96763875
M,0,0,0.6911593,1,6,96778734
M,2,0,0.6539334,1,4,96791203
M,0,0,0.6758439,1,6,96796203
M,0,0,0.5610114,1,2,96798984
M,0,0,0.6682048,1,8,96808703
A,0,0,0.9260574,1,6,96853203
A,2,0,0.8343394,1,6,96860453
B,0,0,0.5674644,1,6,96897500
B,0,0,0.6582717,1,6,96904781
M,2,0,1.2004697,1,6,96918562
B,2,0,0.9878809,1,6,96923609
B,2,0,1.1978124,1,6,96933531
