Correct Response,Height/Rotation,RT,Face
1,"(4, 135)",597.7460999824107,2
1,"(8, -90)",728.6571999979205,2
1,"(4, 90)",557.9597000000067,0
1,"(16, 135)",662.6175999958068,2
1,"(16, 90)",721.9245000127703,1
1,"(16, 90)",502.55010003130883,2
0,"(16, 90)",593.0387999946252,1
1,"(16, 90)",503.00210003880784,2
1,"(16, -90)",572.6832000040449,2
1,"(16, 0)",524.5217999876477,0
1,"(4, 0)",754.6778999934904,1
1,"(16, 45)",610.8896000045352,1
1,"(16, 45)",670.0006999857724,0
1,"(16, 0)",567.343499973882,1
1,"(8, 0)",779.3303999900818,0
1,"(16, 90)",631.1981000439264,0
1,"(8, 135)",764.2980000204407,0
1,"(4, 90)",476.08220000658184,2
0,"(4, -90)",636.2304000034928,1
1,"(4, -90)",688.8805999737233,2
1,"(4, -135)",519.6176000139676,2
1,"(8, 90)",412.57420001458377,2
1,"(8, -135)",616.2330000046641,1
1,"(4, 0)",521.4521000129171,0
1,"(16, 90)",614.8053000182845,0
1,"(4, 0)",544.7886000005528,2
1,"(4, 135)",543.376500016544,0
1,"(4, 90)",582.1582000320777,0
1,"(8, 135)",489.34850003244355,0
1,"(16, 45)",562.0671000182629,1
0,"(4, 0)",817.3915999908932,0
1,"(4, 0)",860.4117999752052,1
1,"(4, 0)",648.1097000036389,0
1,"(4, -135)",582.3202999858186,2
0,"(16, -135)",971.1014000317082,0
1,"(16, -135)",742.5296000405215,1
1,"(16, -135)",533.0895000337623,1
1,"(8, 135)",467.8186000059359,2
1,"(4, 135)",611.2807000139728,0
1,"(8, 45)",486.0327000464313,2
1,"(16, 0)",810.8098999913782,0
1,"(16, -135)",589.7836000043899,1
1,"(4, -45)",807.7399000143632,0
1,"(16, -90)",896.072099971585,1
0,"(4, -135)",635.3699999712408,1
1,"(4, -135)",638.5489000207745,0
1,"(16, 0)",446.3331999690272,2
1,"(8, 0)",824.9045999804512,0
1,"(16, 0)",543.1136999945156,1
1,"(4, 45)",574.7930000037886,0
1,"(4, -90)",605.5024000201374,0
1,"(16, -135)",502.3517999765463,2
1,"(4, 0)",873.2640999918804,1
1,"(4, 135)",639.6326000071131,1
1,"(16, -135)",538.586399980355,2
1,"(16, -90)",551.4533999925479,1
1,"(8, 0)",787.9787999521941,1
1,"(4, 45)",488.825400007423,1
1,"(16, 135)",594.3929000026546,0
1,"(16, -90)",582.9023999944329,1
1,"(8, 45)",518.0233999821357,1
1,"(4, -135)",487.99809999438,0
0,"(4, -45)",718.1130999783054,0
0,"(4, -45)",605.8702000267804,1
1,"(4, -45)",514.9152000052854,2
1,"(4, 90)",785.6611999999732,1
1,"(4, -135)",604.8980999588966,2
1,"(16, -90)",869.3009000238962,1
1,"(4, -90)",760.9379999889061,0
1,"(8, -90)",519.603299963288,2
1,"(8, 0)",525.0893000015058,2
1,"(4, 45)",598.7535000280477,0
1,"(4, -45)",480.8195000481792,0
1,"(8, -90)",506.7285999506712,2
1,"(8, -90)",633.3147999797948,0
1,"(4, 90)",812.48650001036,1
1,"(8, -135)",638.6771000074223,1
1,"(8, -135)",470.58329998655245,2
1,"(8, 0)",538.8313999832608,0
1,"(16, -135)",495.98949995962903,2
1,"(4, 0)",562.8640999752097,0
0,"(16, 45)",492.3416000059806,1
1,"(16, 45)",469.82459997199476,1
1,"(4, 0)",979.7848000274971,5
1,"(16, 90)",763.9071000125259,3
1,"(8, 90)",778.5600999454036,4
1,"(4, 0)",993.3359000100754,5
1,"(8, 135)",699.1520000123419,5
1,"(16, 135)",554.5924000293016,5
1,"(16, -90)",711.0897999922745,3
0,"(4, 45)",675.0121000190265,3
1,"(4, 45)",665.9139000079595,5
1,"(16, 45)",413.92339998530224,3
1,"(8, -135)",625.3980000005104,5
1,"(16, 90)",627.8931999662891,3
1,"(4, 135)",902.5734999999404,3
1,"(4, -90)",825.1073000105098,5
1,"(4, 135)",1160.2301999777555,3
0,"(4, 0)",-109.0,5
1,"(4, 0)",612.337000024505,3
1,"(4, -90)",589.2393999933265,3
1,"(4, -45)",700.2735999962315,4
1,"(8, 0)",181.29969999101013,3
1,"(4, -45)",647.6335999872535,5
1,"(16, 0)",817.3357000309043,5
1,"(8, -45)",812.7489999718964,3
0,"(8, 45)",838.3775000078604,3
1,"(8, 45)",467.7689000349492,3
0,"(4, -90)",451.2140999981202,5
1,"(4, -90)",810.0791000146419,4
1,"(16, 0)",621.6054999935441,4
1,"(16, 135)",801.9091000282206,4
1,"(4, 45)",631.9778999863192,3
1,"(8, 135)",773.4055000441149,3
1,"(16, -135)",624.1767000141554,3
1,"(8, -90)",543.5804999982938,3
1,"(16, 45)",583.3772000009194,4
1,"(8, -135)",582.7785000405274,5
1,"(8, 135)",556.2999999932945,3
1,"(4, 90)",669.210999967996,4
1,"(16, 90)",630.4817000022158,5
0,"(4, -90)",-109.0,5
1,"(4, -90)",720.7580000362359,4
1,"(8, -45)",504.3856999804266,4
1,"(8, 0)",1056.7404999714345,5
1,"(8, -90)",760.7946000029333,4
1,"(8, 135)",1019.2297999714501,3
1,"(8, 0)",486.9877999848686,3
0,"(8, -90)",701.5946999858133,3
0,"(8, -90)",669.6621000268497,4
1,"(8, -90)",741.964599987492,4
1,"(4, -135)",599.9926999760792,5
1,"(4, 0)",511.9689999814145,5
1,"(4, 0)",688.9312000097707,5
1,"(16, 45)",691.4881999804638,3
1,"(8, 135)",831.8072999794967,3
