Correct Response,Rotation (deg),Adjusted RT (ms),Target
1,-15,511.3308,2
1,90,528.7873,0
1,90,1002.869,2
1,-90,641.8821,0
0,75,851.8934,2
1,90,714.0047,2
1,-45,641.0435,0
0,-90,638.0751,2
1,15,445.4249,0
0,60,779.7338,2
1,45,615.736,1
1,30,638.6599,0
1,15,568.0867,2
1,45,613.7762,2
1,-30,609.1962,0
1,-30,616.1343,0
1,75,649.4246,0
1,30,570.7244,2
1,-45,574.1184,0
1,-60,737.9851,2
1,0,676.151,0
1,-15,627.7976,2
1,-60,492.6082,2
1,15,524.9258,0
1,75,638.4237,0
1,-60,463.2718,2
1,90,578.2876,1
1,-30,502.1721,2
1,-60,514.3403,2
1,15,599.0794,0
1,-15,417.2309,0
1,-15,362.9035,0
1,-15,518.9049,2
0,-90,598.5197,1
1,0,399.1661,1
0,-60,535.3972,1
1,-75,401.0896,2
1,-30,491.5707,0
1,15,428.3814,0
1,45,578.8408,2
1,-15,482.4041,1
1,45,494.2757,0
1,60,434.3119,0
0,60,508.9434,1
0,-30,551.7521,0
1,75,814.0167,2
1,-75,634.6172,0
1,90,627.6478,1
1,45,535.4447,1
1,-90,532.9035,0
1,-15,522.4788,2
1,0,528.1534,1
1,30,454.1902,1
1,-75,649.6093,1
1,60,503.0756,0
1,60,603.4988,2
1,0,526.839,2
1,-60,496.9875,2
1,30,500.1765,2
0,-15,444.1399,1
1,-30,726.2296,0
1,-30,479.9148,2
1,90,509.0862,0
1,0,546.6282,2
1,15,534.2017,0
1,-45,514.3122,1
1,75,566.6213,2
1,-60,551.8138,0
1,-45,512.3925,1
1,-60,502.7957,0
1,90,766.055,2
1,75,539.54,0
1,45,524.2121,2
1,-30,1072.111,0
1,15,574.1817,1
1,-45,692.517,0
1,75,591.4494,0
1,60,548.4974,2
0,-90,647.3112,2
1,-45,606.556,0
0,90,880.4344,2
1,15,515.666,2
1,0,501.8509,2
1,15,533.5846,2
0,-90,497.7934,2
0,75,1181.347,0
1,15,493.6951,0
1,-15,636.5081,2
1,-45,505.1472,0
1,30,614.7612,2
1,-30,592.1519,0
1,45,392.2809,0
1,60,625.5918,2
1,30,566.587,0
1,30,399.3127,0
1,0,630.3876,1
1,90,566.26,1
1,60,489.4371,1
1,-75,450.3208,2
1,-45,668.242,0
1,-75,555.2839,2
1,-90,591.3184,1
1,-60,504.542,2
1,30,539.7834,2
1,-60,772.6203,0
1,60,460.7774,0
0,15,453.6088,2
1,90,550.8332,0
1,75,545.7792,0
1,-75,524.0305,1
1,-75,528.1362,1
1,-75,566.4304,1
1,-90,615.7575,0
1,-45,579.3798,2
1,-75,516.542,1
1,-30,455.5379,0
1,0,592.3577,2
1,-45,626.7478,1
1,-60,603.9889,2
1,-75,535.3982,2
1,0,616.3203,1
0,45,541.5801,2
0,-15,619.1756,1
1,-75,512.8266,2
1,-90,514.6845,2
1,60,555.7044,1
1,0,574.2098,1
1,30,564.8393,2
1,30,557.8421,0
1,-90,751.2577,0
1,-75,522.7003,2
1,30,665.0519,1
1,-90,723.4362,0
1,-90,643.4983,1
1,45,549.7083,0
1,-15,642.9184,1
1,30,662.915,0
1,0,580.6916,2
1,15,639.799,1
1,-45,1074.264,1
1,90,647.239,2
1,-30,584.4051,2
1,30,486.3662,1
1,90,610.7499,2
1,-30,534.7473,1
1,45,712.4222,2
1,-15,428.844,2
1,-45,577.5503,2
1,-45,453.7935,2
1,-30,427.7988,2
1,0,617.1036,1
1,-45,466.4452,1
1,60,557.8235,2
1,-60,627.7275,0
1,-75,582.7334,1
0,75,473.4504,1
1,90,540.496,0
1,-90,722.7197,1
1,75,470.2297,0
1,75,530.9138,1
1,-60,497.3301,1
1,60,535.1387,1
1,60,512.2365,0
1,45,487.9297,1
1,75,455.0202,0
0,-30,546.3754,0
1,30,512.0818,1
1,60,503.6131,0
1,-90,609.7369,1
1,-30,499.8042,2
1,90,605.2045,1
1,0,674.8046,2
1,0,507.9051,1
1,60,544.4181,2
1,-15,513.9598,1
1,90,532.2869,1
1,90,578.091,1
1,60,835.1046,1
0,-30,575.3504,0
1,45,524.7298,2
1,-75,511.3527,2
1,45,496.4459,1
1,-45,517.7093,2
1,0,381.7416,2
1,45,592.9577,0
1,-60,568.5925,0
1,-60,434.3913,2
1,15,361.0972,1
1,-15,471.4536,0
1,15,448.7253,2
1,-90,449.5557,0
1,45,467.4687,0
1,15,656.4498,1
1,0,445.7816,1
1,45,525.0174,1
0,75,690.026,2
1,-15,480.5972,2
1,0,451.0555,1
1,30,499.9346,0
1,-75,476.8587,2
1,75,456.8095,0
1,0,502.2428,2
1,15,460.3537,2
1,-60,492.9998,0
1,-15,479.1922,2
1,-90,420.0345,2
1,-75,544.1171,0
1,75,460.2003,0
1,-45,462.2045,1
1,30,439.82,1
1,75,580.9566,1
1,-90,602.9972,1
1,60,446.3949,2
1,-90,546.3515,2
1,-60,417.9469,0
1,60,466.9408,1
1,-30,520.4129,0
1,-15,464.2358,0
1,-90,539.5692,0
1,90,621.6996,1
1,-90,489.9947,2
0,75,490.5936,1
1,15,430.7294,1
1,45,474.036,0
1,-15,426.3911,1
1,75,397.7421,1
1,-30,500.4998,0
1,-30,492.6695,1
1,75,537.9252,2
1,75,590.2577,1
