Correct Response,Rotation (deg),Actual Time,Target
1,45,474.7669,2
1,-45,416.2447,2
1,0,465.345,0
1,90,453.4698,2
1,30,440.7074,1
1,75,446.8456,2
1,-90,618.8928,1
0,-45,419.9286,0
1,75,442.9803,2
0,45,434.8475,0
1,-15,460.8487,1
1,-45,430.6074,0
1,-45,452.504,2
1,30,422.6116,0
1,0,396.6261,1
1,60,461.0621,2
1,-15,477.2134,2
1,0,450.8124,2
0,90,366.3423,0
0,45,501.6158,1
1,75,497.4612,2
1,-30,472.8436,2
0,-90,551.3971,1
1,30,419.0104,0
1,60,438.3904,2
0,-60,546.0097,1
1,15,462.5427,0
1,-45,409.0042,2
1,-45,429.9667,2
0,-60,581.8643,1
1,0,508.9064,1
1,-60,404.5911,2
1,-45,498.8005,0
1,75,475.3305,2
1,-30,428.0272,2
1,-30,614.7423,1
1,-30,472.7974,2
1,-90,638.4896,1
1,15,453.5504,2
0,-75,408.1892,1
1,-45,601.9837,2
0,-90,530.3071,2
0,-75,605.1825,1
1,90,579.9196,0
1,-45,715.1538,0
0,60,411.8046,0
0,60,440.9625,2
1,-60,425.6424,1
0,90,417.0138,0
1,0,464.0816,1
1,45,482.5569,2
1,75,524.8262,1
0,60,435.2744,2
1,-15,487.2298,1
1,-45,467.1979,0
1,-15,386.9628,1
0,90,626.8039,1
1,-75,540.913,0
1,-30,409.3466,0
1,0,425.7187,1
1,-75,604.0732,2
1,-60,490.2801,0
1,-90,618.0359,2
1,-15,691.8522,2
1,-60,482.6125,1
0,75,438.1462,1
1,-90,471.9186,2
0,75,506.4571,1
1,15,485.6683,2
1,60,520.3152,0
1,60,515.3205,1
1,60,392.5461,1
1,-15,566.8173,1
1,30,391.6152,2
0,-60,436.7062,1
1,0,464.5284,1
1,30,489.401,0
1,90,486.7036,0
1,-30,418.4509,0
1,45,420.9653,1
1,90,469.3995,2
1,60,513.9997,2
1,30,490.2868,1
1,-90,474.4074,2
0,90,457.2041,0
1,-90,474.2818,2
1,0,492.6057,2
1,15,387.3075,1
1,-45,491.1846,0
1,-60,604.3006,2
1,-90,463.574,1
1,90,544.5477,0
1,-15,424.0542,2
1,0,397.4625,1
1,-45,451.8482,2
1,-15,409.2253,0
1,30,414.7291,2
1,60,423.0409,2
0,-30,397.7437,0
1,45,376.4755,2
1,-45,397.07,2
1,-60,496.569,1
0,75,451.721,2
1,-15,484.0812,0
1,90,677.8564,0
1,-75,441.1286,1
1,30,537.1827,1
0,75,495.9291,0
1,-45,451.7305,2
1,-60,584.2662,0
1,60,392.0253,0
1,75,449.9811,2
1,45,445.0801,1
1,-30,444.5567,0
1,-45,389.3232,2
1,-15,419.1379,1
0,-30,402.5546,0
1,15,430.2051,1
0,-75,500.5339,0
0,0,430.3439,1
1,15,462.2127,1
1,90,603.2914,0
1,30,423.0135,0
1,45,441.8628,1
1,-90,484.7483,1
1,15,413.265,0
1,-75,504.1168,2
1,0,454.3519,2
0,15,407.5967,0
1,-60,465.8695,1
1,90,746.1002,1
1,0,457.169,1
0,90,372.3077,0
0,-75,496.1601,0
1,15,424.0906,2
1,-90,648.6911,0
0,-30,379.3429,2
1,60,655.7596,2
1,-90,514.4265,2
1,-30,481.3343,1
1,-60,551.6633,0
1,0,403.2406,0
1,-30,456.0641,1
0,45,388.3756,0
1,-30,418.7392,0
1,-30,645.6503,1
1,30,565.1975,0
1,-90,479.99,1
0,75,396.6888,2
1,45,556.0418,0
0,90,569.8287,0
1,-30,530.3355,0
1,-15,549.779,1
1,90,552.2764,1
1,-75,437.3042,1
1,-30,377.0157,2
1,-60,477.2516,1
1,-15,401.364,2
1,0,435.6481,2
1,75,461.3537,1
1,-75,408.4991,2
1,-75,381.7295,2
1,0,389.0882,2
0,60,437.6888,0
1,-45,454.2203,2
1,15,378.1586,0
1,-75,443.937,2
1,45,479.6791,0
0,75,401.2819,0
0,75,487.8505,1
1,-75,562.8711,0
0,15,416.1294,2
1,30,447.5246,0
1,75,430.9276,2
1,0,403.1645,2
1,45,420.3381,2
0,60,452.9462,0
1,30,492.3334,0
0,-90,391.438,1
1,60,519.3086,1
