Correct Response,Rotation (deg),Adjusted Reaction Time (ms),Target
1,-90,801.0768875,0
1,-90,718.0360355,0
1,-90,719.0351505,1
1,-90,962.6071954,0
1,-90,687.7634995,0
1,-90,489.2969975,2
1,-90,661.7486855,0
1,-90,944.7158235,2
1,-90,1259.63167,2
1,-90,826.6285015,0
1,-90,491.9003245,0
1,-90,751.3921436,1
1,-90,535.8194136,1
1,-90,1681.216277,0
1,-90,736.1430705,2
1,-90,495.0968804,2
1,-75,647.6287494,0
1,-75,642.5951865,0
1,-75,594.6638016,0
1,-75,729.2945745,1
1,-75,718.3358845,1
1,-75,665.9733934,2
1,-75,592.1110245,2
1,-75,757.8715536,0
1,-75,689.3458125,2
1,-75,661.3108084,0
1,-75,517.4973114,2
1,-75,805.4784075,1
1,-75,617.4426885,0
1,-75,551.0158875,2
1,-75,548.1298455,1
1,-75,498.2438725,0
1,-60,378.9064345,1
1,-60,610.9722885,0
1,-60,497.7640535,1
1,-60,511.6598055,2
1,-60,873.0154546,1
1,-60,748.6407755,0
1,-60,740.9954746,2
1,-60,487.4443325,2
1,-60,1319.688847,1
1,-60,437.2532436,1
1,-60,564.8829385,1
1,-60,435.1788286,1
1,-60,519.4686044,2
1,-60,646.4192456,0
1,-60,449.9401975,2
1,-60,611.4917505,1
1,-45,582.7495915,1
1,-45,827.8806095,2
1,-45,740.2737535,0
1,-45,676.3618675,0
1,-45,543.7238374,1
1,-45,542.2056006,2
1,-45,586.7075485,2
1,-45,572.5547375,2
1,-45,648.8463055,0
1,-45,745.0675815,1
1,-45,679.3510185,0
1,-45,809.6858964,1
1,-45,474.7043804,1
1,-45,571.3598065,0
1,-45,839.3750714,1
1,-45,571.6981146,1
1,-30,628.8198574,0
1,-30,501.5445846,1
1,-30,726.6371415,2
1,-30,461.4641175,1
1,-30,572.9941425,0
1,-30,566.1713535,2
1,-30,534.1542896,2
1,-30,436.8296015,2
1,-30,515.0189975,2
1,-30,526.2003685,0
1,-30,592.2496306,1
1,-30,412.1487325,0
1,-30,612.7232084,2
1,-30,445.0768815,2
1,-30,560.4952005,0
1,-30,528.4768815,1
1,-15,498.9175965,1
1,-15,560.3956006,2
1,-15,491.8848845,1
1,-15,529.7896144,0
1,-15,1058.787303,1
1,-15,538.5912335,1
1,-15,584.3700455,0
1,-15,552.6135076,2
1,-15,599.9750036,0
1,-15,549.4085545,2
1,-15,757.1434695,1
1,-15,680.2738064,2
1,-15,502.8837656,1
1,-15,502.1790495,2
1,-15,420.1698196,2
1,-15,522.5518925,2
1,0,647.0201505,0
1,0,523.9124505,1
1,0,509.7464995,0
1,0,779.8060075,2
1,0,542.2790355,2
1,0,612.2452114,2
1,0,350.2536425,1
1,0,639.9692685,0
1,0,536.2806915,2
1,0,494.8028204,0
1,0,824.8533305,0
1,0,636.7152925,0
1,0,817.5861815,0
1,0,412.4370815,2
1,0,570.3970006,1
1,0,409.0372596,2
1,0,590.6945195,0
1,0,531.9312046,2
1,15,703.8193804,0
1,15,529.8220246,1
1,15,545.9513076,2
1,15,773.3568155,2
1,15,689.0399794,1
1,15,543.8735944,2
1,15,1369.258942,2
1,15,596.5873604,2
1,15,445.0183146,2
1,15,514.2224855,2
1,15,502.7054966,0
1,15,515.9902275,0
1,15,605.7433915,2
1,15,395.7441084,2
1,15,520.1287545,2
1,15,433.3604255,0
1,30,561.8158075,2
1,30,625.5511465,0
1,30,430.3943235,1
1,30,491.7580765,1
1,30,496.6993895,2
1,30,566.5583735,1
1,30,500.9024165,0
1,30,584.9439905,0
1,30,620.4167885,1
1,30,527.8245565,2
1,30,630.6277335,1
1,30,597.6901145,0
1,30,549.0214915,0
1,30,503.4896885,0
1,30,500.4042094,2
1,30,377.2146595,1
1,45,803.1358516,2
1,45,510.7140815,1
1,45,469.0091285,1
1,45,540.4960275,2
1,45,491.6508685,1
1,45,874.8984755,1
1,45,442.7097574,0
1,45,623.9537674,1
1,45,607.6881065,0
1,45,857.1256985,1
1,45,533.8744035,0
1,45,504.4243835,2
1,45,551.2363415,2
1,45,511.5262635,0
1,45,715.6729594,2
1,45,449.8773146,2
1,60,635.2296156,0
1,60,628.0822925,0
1,60,610.9525714,1
1,60,686.5377784,0
1,60,666.8932635,2
1,60,1197.415845,0
1,60,624.7393165,2
1,60,769.9561405,2
1,60,573.8415134,0
1,60,486.2174015,1
1,60,381.2626035,2
1,60,490.8038775,1
1,60,598.8453355,0
1,60,443.2371736,2
1,60,837.3512645,0
1,60,557.8092775,1
1,75,928.9203255,1
1,75,609.8849716,2
1,75,575.3461054,2
1,75,714.4944905,0
1,75,559.1194645,0
1,75,1041.243507,1
1,75,556.6998134,2
1,75,569.7396945,2
1,75,623.8118344,2
1,75,586.2072254,0
1,75,800.7730154,1
1,75,761.6298815,1
1,75,749.5938616,0
1,75,597.8045335,1
1,75,523.6358125,1
1,75,490.9998954,1
1,90,1044.430871,0
1,90,593.1034735,1
1,90,642.0086745,1
1,90,543.8057755,1
1,90,670.4920944,0
1,90,1557.327407,2
1,90,900.0598615,1
1,90,755.7498565,0
1,90,671.1409515,2
1,90,726.3652045,2
1,90,622.3250715,0
1,90,465.3854016,2
1,90,471.3042855,2
1,90,582.2005385,0
1,90,470.2694416,0
1,90,427.1805385,2
