CorrectResponse,Height_Rotation,RT,Face
1,150,614.906900035217,1
1,-30,581.759600023739,2
1,150,596.152700014878,1
1,-120,1003.26849997183,2
1,60,688.341099998448,2
0,-90,848.657899998594,0
0,-90,880.343299996108,0
1,-90,737.41160001047,0
1,30,489.543300002348,2
1,30,845.448900010902,0
1,120,600.662400011439,1
1,90,994.326400043443,1
1,-60,567.990200008731,1
1,-30,712.178500016686,0
1,-150,921.987299978733,2
0,60,620.027200024575,2
1,60,543.751900022849,2
1,-150,606.821199992206,2
1,0,526.27459994657,2
1,-150,529.294200005475,1
1,120,561.310999965295,2
1,-60,584.17119999323,0
1,120,555.484100008849,2
0,-90,535.480399962049,0
1,-90,821.82000000868,1
1,-60,577.86879996676,0
1,-150,589.107100033667,2
1,0,638.501300007571,0
1,90,550.266000031494,2
1,60,679.4902000078,0
1,-120,678.108600023203,0
1,-180,505.035599981435,1
1,-60,719.924400033429,4
1,-180,606.685200004373,4
0,150,599.973600005265,4
0,150,707.7232000269,3
1,150,626.122199985199,5
1,-30,581.227500046603,5
0,180,-109,5
1,180,693.941799978726,5
0,30,970.389900027309,4
1,30,1165.20759998495,4
0,180,733.913899978157,3
1,180,543.439399971627,5
1,0,527.939799995162,3
1,-60,781.296099998523,5
0,120,1038.26960001281,4
1,120,540.912599998061,5
1,60,715.505800032057,4
1,0,516.244800001383,4
1,60,495.659900011029,5
1,-180,658.972600006033,4
1,0,700.927999973297,3
1,90,658.614499956835,3
1,150,581.311299986206,5
0,90,748.635600026697,5
1,90,491.257200014312,3
1,-120,690.903199949767,3
1,-30,455.680100011174,7
1,-120,535.111100002192,7
1,180,791.208400038537,6
1,90,685.171900022775,8
1,0,573.915800018236,6
1,0,513.403399960604,7
1,150,597.724499992561,6
0,-150,590.7952000238,7
1,-150,611.742099976633,7
1,0,502.732200020924,7
1,-120,575.001399960835,8
1,30,549.665499999188,7
1,30,568.849199972115,6
1,0,582.848199989181,8
1,-90,665.091900035273,8
0,180,739.394700034987,6
0,180,610.843700004276,6
1,180,733.619700008072,8
0,180,417.45239996491,6
0,180,558.589400021825,8
0,180,509.338200030848,7
1,180,558.237699963152,8
1,-90,508.60779999895,7
1,-90,760.161600014195,8
1,0,549.58119999757,6
1,-180,712.048600017093,6
0,-180,622.927299988456,8
1,-180,774.017499989364,8
1,120,820.481700004544,8
1,-30,597.122200004756,6
