CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,-90,669.321199989449,0
1,120,788.16619997941,1
1,0,528.456899971738,0
1,0,519.051500008013,1
1,120,535.958900023056,0
1,-120,508.353500009784,1
1,30,554.719600005578,1
1,-30,502.341499982672,1
1,90,618.681199988155,2
1,120,590.739300002847,1
1,30,549.479399976358,1
1,-150,573.199799976815,0
1,90,636.162700009104,2
1,-120,530.57950001074,0
1,-90,551.032300013853,0
1,-90,650.936299987175,1
1,-120,502.961600018702,0
1,150,539.549899979997,0
1,150,481.390399997858,0
1,180,540.493100002445,1
1,-180,556.608000007495,0
1,120,560.486800002204,0
1,30,533.523399987994,1
1,60,668.721799994623,4
1,-60,525.237799994452,3
1,0,546.376500010761,3
1,90,663.823500007661,4
1,-30,593.984500004249,4
1,60,562.34399999938,4
1,0,488.930699991565,5
1,150,631.389299983662,4
1,-90,642.706400010306,5
1,0,571.88359999544,5
1,-90,635.472500021374,5
1,-90,480.22829999662,5
1,60,489.653399993936,5
1,0,517.079100006763,4
1,150,685.489099990614,3
1,-60,523.365100024771,3
1,-30,358.894099999256,5
1,-180,516.560199984619,5
1,-30,591.15539999892,4
1,60,480.83239999813,4
1,60,558.105299999975,3
1,-60,665.262199990489,4
1,180,579.515899991188,3
1,-120,648.390600015214,3
1,-60,641.302800003709,4
1,90,548.229300003536,5
1,-180,582.195199990915,5
1,180,753.192999976259,4
1,-150,605.37729999613,3
1,180,507.448699988695,5
1,-30,515.154899994182,3
1,150,593.645499984073,6
1,-180,603.594999987204,8
1,150,624.697899992848,8
1,-150,622.121799993133,7
1,-60,534.632099990072,7
1,-120,548.051399987694,7
1,-150,576.101100008041,7
1,0,604.583500005342,8
1,30,499.152900004797,8
1,0,488.926500017792,6
1,120,723.503600014178,8
1,90,773.222699988205,8
1,0,478.76780002242,8
1,-180,549.979299999345,6
1,-150,492.893300013188,6
1,30,485.470900015011,8
1,120,578.440200007558,7
1,180,525.98400000114,6
1,0,506.237899994981,8
