CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,-90,538.2919,1
1,-60,606.2328001,0
1,0,488.9146999,1
1,0,494.0742,2
0,150,548.4328,0
1,150,762.5075999,0
1,-60,486.4406001,1
0,120,722.2048999,0
1,120,547.4536,0
1,120,600.3567001,2
0,60,725.9477,2
1,60,567.4043,2
1,30,786.2233,2
1,-30,556.5398,2
1,90,671.4748,1
1,180,623.3622999,2
1,-180,548.9531999,2
1,-90,1024.4347,1
1,60,553.4316,0
1,0,501.0798,2
1,120,544.2271,1
1,-180,530.7402999,1
1,0,525.156,2
1,60,570.4328999,1
1,150,440.7113999,1
1,-120,443.319,1
1,-180,735.3103,0
0,-120,692.3976,0
0,-120,500.4299,1
1,-120,541.5805,1
1,90,541.1245999,0
1,-150,483.8984999,1
1,-30,546.1022,5
0,-120,947.7719999,4
1,-120,524.0692001,3
1,-150,566.7067001,3
1,-90,610.1768,5
1,30,415.9621,5
1,180,472.871,5
1,150,517.6144,5
1,120,859.2332,4
1,60,528.1626999,3
1,-120,498.5043,5
1,-120,535.2007,3
1,-120,611.923,5
1,150,548.7238,1
1,90,696.9708,2
1,180,730.9469,1
0,-180,483.0618,2
1,-180,623.6714,1
1,150,565.1367001,1
0,120,695.765,2
1,120,833.8274,1
1,150,753.395,0
0,-150,-96.02,0
1,-150,578.8804,0
1,120,573.9961,0
1,-30,508.7167,1
1,0,501.6725,0
1,-180,651.3468,1
0,120,638.1545,0
0,120,502.5629,0
1,120,609.3821,0
0,-60,678.3492,2
1,-60,578.4714,2
1,-60,512.2874,1
1,-60,679.9797,1
1,-30,567.1006,2
1,-90,662.4356,0
1,120,774.5459,0
1,30,619.1267,2
1,120,634.2714,1
1,0,548.552,2
1,-120,575.7507,0
1,-60,534.2186,2
1,0,475.5874,1
1,-90,476.1859,3
1,120,749.9859,5
1,60,754.6757,4
1,-150,721.6003,5
0,-90,593.7283,4
0,-90,612.8099,5
1,-90,502.3711,3
1,90,661.9172,5
1,90,549.3177,3
1,-180,656.7391,5
1,150,547.2666,5
1,-120,585.2175,3
1,-180,551.4407,3
0,-180,630.5204,5
1,-180,745.4161,4
0,180,691.9468,5
1,180,705.7971,4
1,30,552.8704,3
1,60,625.0762,4
1,90,624.6253,4
0,-150,808.8807,3
1,-150,798.7644,5
1,180,570.3213,3
1,-120,758.2434,4
1,30,546.6061,3
1,-150,487.8212,3
1,150,602.8816,3
0,0,560.85,4
1,0,587.334,4
1,60,820.6608,6
1,60,603.8842,7
1,-60,501.1512,7
1,-180,642.0074,6
0,0,647.7114,6
1,0,577.2624999,6
1,-30,702.5368,6
0,180,814.1101,6
0,180,727.0393,8
1,180,646.021,8
0,-120,573.3639,6
1,-120,819.0075,8
1,-90,527.8274,7
1,-60,641.3482,6
0,150,525.7324,6
1,150,494.0818,7
1,0,785.985,8
1,-150,504.0635,7
1,-30,597.996,8
1,0,777.7829,8
1,180,635.9964,8
1,0,699.2425,6
1,60,479.2189,7
1,30,539.4242,7
1,-90,682.7215,8
1,-120,484.9303,8
0,30,512.9238,8
1,30,771.6418,6
1,0,757.2294,6
0,90,791.6296,6
0,90,-96.02,8
1,90,692.8209,7
1,0,729.2902,6
1,-30,1160.6082,7
