CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,0,474.427699981257,1
1,-150,524.722600003239,1
1,-60,469.988099994604,1
1,-60,607.351100010797,2
1,60,539.551799997222,0
1,150,648.916999980807,2
1,-150,933.619399959221,0
1,150,652.566200002562,2
1,0,544.350699984003,1
1,-60,617.430599985179,2
1,0,470.452100035269,1
1,-30,463.03749998007,1
1,120,504.496799953282,1
1,30,383.981499992311,1
1,-30,412.939800004475,1
1,-90,664.04160001222,0
1,0,487.630599990021,0
1,-30,721.387199996039,2
1,-180,585.226499996148,0
1,150,621.354100000113,2
1,90,507.030600038357,1
1,90,414.925399989821,1
1,180,631.310099965427,1
1,90,467.041599968448,0
0,-150,809.590600020252,4
1,-150,916.442599959206,4
1,-120,522.10580004286,3
1,150,644.316599992104,4
1,-120,572.967900018208,5
1,150,436.297499978915,4
1,-180,487.434699953534,5
1,-120,555.731499971822,5
1,0,417.967299985699,5
1,-120,456.338199958205,3
1,-30,693.582199976314,4
0,90,889.804900038522,4
1,90,552.346199980471,5
1,-120,676.448000009637,4
1,-120,676.439900006168,3
1,120,547.027899996843,3
1,150,719.283899987582,4
1,60,626.629600007087,3
1,180,637.190099976957,3
1,0,506.728800010402,5
1,30,467.117300020996,4
1,0,461.78199996613,4
1,90,526.408999980427,4
1,180,438.083200013731,5
1,-180,496.616099957842,3
1,30,436.024699997157,5
1,120,417.365400000941,4
0,-90,405.560499985237,4
1,-90,429.288499985356,5
0,0,377.467000038829,5
1,0,472.759099964984,4
1,60,419.975299966987,5
1,-180,613.961099992972,3
1,-90,457.790900018532,5
0,120,404.004800013732,3
0,120,459.714099994395,4
1,120,548.631900045089,3
0,-60,468.976399974432,3
1,-60,490.678500031587,4
1,0,523.823800027836,6
1,180,517.955999992788,6
1,60,563.768999997061,8
1,120,524.855300024152,6
1,30,518.302000008058,6
1,60,492.158200006466,8
0,-150,536.99960000487,8
1,-150,541.730499997735,7
1,-30,453.855999975,7
1,-150,592.727300009225,8
1,-90,741.448299956042,8
1,-180,525.476599982008,7
1,180,519.576599992812,7
1,30,438.676099988166,7
1,0,423.807099982165,7
1,-90,539.785300028976,6
1,-60,550.839500032831,6
1,120,514.916300013661,6
