CorrectResponse,Height_Rotation,RT,Face
1,0,566.683100009337,1
1,0,587.319099981338,2
1,180,546.850999988616,1
1,-30,539.373199976049,0
1,30,849.115299989004,1
1,-30,486.483699988108,1
1,120,535.867900002282,2
1,30,508.07330000354,1
1,180,778.242899974808,0
1,0,696.518699984532,2
1,-30,503.277699983679,1
1,-120,621.369800003245,1
1,-60,720.005600011442,0
0,150,878.596100021619,0
1,150,675.122599987313,1
1,-180,677.197000008542,0
1,150,612.832200011704,1
1,60,817.648399967235,1
1,180,555.227899978869,5
1,120,579.109799986705,5
0,-90,-109,3
1,-90,344.050999960396,3
1,30,502.271900008433,3
0,-60,440.611499998719,4
1,-60,542.769199990667,5
1,90,580.413299958687,5
1,150,709.468799989205,4
0,-180,792.435600011609,4
1,-180,877.105499963742,3
1,-150,697.39699997846,3
1,90,797.546899990644,3
1,60,460.982399989385,3
1,150,916.296300009359,4
0,0,679.736000016797,4
1,0,615.31909997249,4
1,-120,904.25859996723,3
1,120,778.281799979974,5
1,0,568.123499976005,5
1,0,431.928300004452,5
0,-90,712.224300016183,4
1,-90,526.994800017215,5
1,90,599.766099996865,4
1,-60,630.878199994564,4
1,90,656.769099991303,3
1,30,508.283899977338,5
1,-90,877.691700003576,3
1,60,646.309399974067,3
1,-180,591.66150004277,3
0,-60,555.17389997514,3
1,-60,575.310099983122,3
1,150,424.754300035071,3
1,-120,519.019199997652,3
1,-180,522.5035999869,5
1,-30,490.399099999573,5
1,0,539.134400020353,5
1,0,590.374799965881,5
1,-150,695.183000000194,8
1,180,838.568100003991,8
1,120,990.328199983574,6
1,-150,554.258699991275,7
1,60,565.378099967726,8
1,-150,735.779600040056,6
1,-30,679.683700026013,8
1,-60,624.388099994045,8
1,-120,587.376200008672,8
1,0,468.413599996362,7
1,-180,581.615900035482,8
1,60,416.19219997339,7
1,-150,513.09120002808,7
1,30,568.040799986571,8
1,120,591.660899979994,7
1,-120,629.549400004558,8
1,-90,645.623699991498,6
1,180,714.618399968836,6
1,-90,904.999299961142,7
1,90,569.4556999919,6
0,0,-109,8
1,0,533.926400003489,6
