CorrectResponse,Height_Rotation,RT,Face
1,4,578.504500034265,1
0,16,848.657899998594,0
0,16,880.343299996108,0
1,16,737.41160001047,0
0,16,535.480399962049,0
1,16,821.82000000868,1
1,4,692.178900001105,1
0,8,-109,3
1,8,344.050999960396,3
1,4,1037.71989995986,4
0,8,712.224300016183,4
1,8,526.994800017215,5
1,8,877.691700003576,3
0,4,485.395099964458,3
1,4,579.149800000247,4
1,4,652.713800020516,8
1,16,665.091900035273,8
1,16,508.60779999895,7
1,8,645.623699991498,6
1,16,760.161600014195,8
1,8,904.999299961142,7
