CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,4,658.1002001,1
0,8,593.0016999,0
1,8,588.2054,1
1,8,583.7871,2
0,16,725.9477,2
1,16,567.4043,2
1,4,577.2715,0
1,16,553.4316,0
1,16,570.4328999,1
0,4,-109,5
1,4,523.0879,5
1,8,577.3472,5
1,16,528.1626999,3
0,4,919.0616999,5
1,4,338.1947,3
1,4,572.281,4
1,4,675.6249,1
1,8,591.8762,2
1,4,519.5018,1
1,8,514.3055,1
1,4,607.8726,3
1,16,754.6757,4
0,4,596.738,3
0,4,570.55,4
1,4,698.7265,5
1,16,625.0762,4
0,8,1024.1183,3
1,8,629.3928,3
1,16,820.6608,6
1,16,603.8842,7
1,8,760.5203,6
1,16,479.2189,7
1,8,596.5879,7
1,4,664.5622,6
