CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,556.5398,2
1,8,500.7286,1
1,16,546.1022,5
1,8,729.2622,4
0,4,524.017,4
1,4,653.3837,5
1,4,516.7582001,3
1,4,549.5438,3
0,4,527.8959,4
1,4,982.3993,5
1,4,535.2633,3
1,4,676.4387001,0
0,8,952.8178,2
0,8,1125.281,2
1,8,842.3147,0
1,16,508.7167,1
1,16,567.1006,2
1,4,538.6424,1
1,4,761.9386,2
1,8,530.6533001,2
1,8,608.1627,0
1,4,742.33,4
1,16,702.5368,6
1,8,716.4096,6
1,16,597.996,8
1,4,539.0346,7
1,4,463.1556999,7
1,8,633.5624,8
1,8,601.8078,8
1,16,1160.6082,7
