Correct Response,Rotation (deg),Adjusted Reaction Time (ms),Target
1,-150,421.3967285,2
1,-150,395.9492655,0
1,-150,645.4912965,2
1,-150,456.7731255,0
1,-150,425.9364085,1
1,-150,462.4270445,1
1,-150,423.5932485,0
1,-150,525.0410715,2
1,-150,447.4528665,2
1,-150,446.3278845,1
1,-150,414.9091175,2
1,-150,418.8076345,1
1,-120,684.0703665,0
1,-120,310.9572555,0
1,-120,403.6653585,0
1,-120,408.7740355,2
1,-120,400.4139455,0
1,-120,413.1158705,0
1,-120,330.1042335,0
1,-120,375.6649215,0
1,-120,418.1568275,2
1,-120,387.4000965,1
1,-120,450.5142665,2
1,-120,496.2878515,1
1,-90,520.5633825,1
1,-90,544.5926735,2
1,-90,361.9000355,0
1,-90,435.8039625,0
1,-90,344.6722655,0
1,-90,513.1845355,2
1,-90,637.9372095,2
1,-90,450.2989055,1
1,-90,663.2908735,2
1,-90,446.1053835,2
1,-90,416.5598005,1
1,-90,468.5206225,0
1,-60,343.4343985,0
1,-60,507.9212695,2
1,-60,365.3569315,1
1,-60,572.5836445,2
1,-60,437.3600355,1
1,-60,425.4509285,0
1,-60,431.1395325,2
1,-60,366.8843285,0
1,-60,523.4645025,2
1,-60,434.9673765,2
1,-60,441.3874885,0
1,-60,374.3763095,0
1,-30,341.5895025,1
1,-30,330.4438994,0
1,-30,339.3764855,0
1,-30,526.9975725,2
1,-30,686.5169675,2
1,-30,466.3702085,2
1,-30,582.2066146,1
1,-30,403.0787335,0
1,-30,495.5406175,1
1,-30,507.5064765,2
1,-30,476.9825865,0
1,-30,426.3104605,0
1,0,439.9622675,2
1,0,459.3064455,1
1,0,468.5022185,2
1,0,344.1667175,2
1,0,510.7631635,2
1,0,358.0236275,0
1,0,438.4452885,2
1,0,354.4944755,0
1,0,331.4731195,0
1,0,445.2630715,1
1,0,317.3833325,1
1,0,528.8553975,2
1,0,336.0638435,2
1,0,453.2902195,1
1,0,463.3936835,1
1,0,466.3295785,2
1,0,520.9213665,2
1,0,425.0647795,0
1,30,463.6521375,2
1,30,425.9980635,1
1,30,294.8951835,0
1,30,399.5618815,0
1,30,390.1628545,2
1,30,408.3430875,1
1,30,352.1641435,2
1,30,527.4185715,1
1,30,323.8181215,1
1,30,478.6208085,1
1,30,472.9230725,1
1,30,451.5096835,1
1,60,511.8940255,2
1,60,430.4911735,1
1,60,442.3984495,2
1,60,492.1570215,2
1,60,424.1210525,0
1,60,427.9492255,0
1,60,304.7980705,0
1,60,521.9689715,1
1,60,413.1751145,1
1,60,565.3746245,1
1,60,410.5236385,0
1,60,483.8312465,2
1,90,733.5199925,1
1,90,354.0333775,0
1,90,397.1378135,0
1,90,355.5700005,1
1,90,427.9636705,0
1,90,424.5977935,1
1,90,507.9560875,1
1,90,363.6324575,2
1,90,458.6904975,2
1,90,543.1291265,0
1,90,461.9473075,1
1,90,561.1998215,1
1,120,300.4211755,0
1,120,659.8656395,2
1,120,378.1549775,0
1,120,475.1815035,2
1,120,435.2609515,0
1,120,554.7396645,2
1,120,348.1291665,1
1,120,401.1174165,0
1,120,521.3959685,1
1,120,382.5513065,0
1,120,337.2477365,0
1,120,378.9665415,2
1,150,397.0455415,1
1,150,454.4550105,2
1,150,623.7772695,2
1,150,536.2746485,2
1,150,416.2645546,2
1,150,450.1249126,2
1,150,701.6672235,1
1,150,426.5014045,0
1,150,476.5205165,1
1,150,487.4437905,2
1,150,312.0175035,2
1,150,389.4841475,0
1,180,619.3039025,1
1,180,417.1495235,1
1,180,497.0909795,2
1,180,527.0673985,1
1,180,351.9128255,2
1,180,376.1857715,2
1,180,478.1299415,1
1,180,464.3938245,1
1,180,391.8289885,0
1,180,359.5136855,0
1,180,470.1842165,1
1,180,501.2349615,2
,,,
,,,
0,30,583.473219,1
0,90,472.584997,1
0,60,371.972981,1
0,90,387.483793,2
0,0,463.2064551,1
0,-30,541.550719,2
0,-90,575.351596,2
0,30,503.723629,2
0,-120,364.8778051,2
0,-30,699.241872,2
0,-120,479.592172,1
1,-180,417.15,1
1,-180,497.09,2
1,-180,527.07,1
1,-180,351.91,2
1,-180,376.19,2
1,-180,478.13,1
1,-180,464.39,1
1,-180,391.83,0
1,-180,359.51,0
1,-180,470.18,1
1,-180,501.23,2
