CorrectResponse,Rotation_deg_,ReactionTime_ms_,Target,Var5,Var6,Var7
1,0,467.398589979857,1,NaN,NaN,NaN
1,150,323.558648037724,1,NaN,NaN,NaN
1,0,326.745313047431,0,NaN,NaN,NaN
1,0,382.051707981154,1,NaN,NaN,NaN
1,150,368.31311699003,1,NaN,NaN,NaN
1,150,433.721518996172,1,NaN,NaN,NaN
1,0,366.163054984063,1,NaN,NaN,NaN
1,90,560.692005013116,1,NaN,NaN,NaN
1,180,842.212702999823,0,NaN,NaN,NaN
1,60,537.725912909955,1,NaN,NaN,NaN
1,-120,325.845698979683,1,NaN,NaN,NaN
1,150,477.943962011486,0,NaN,NaN,NaN
1,-90,575.206074900925,0,NaN,NaN,NaN
1,0,361.788720977493,0,NaN,NaN,NaN
1,-90,394.585565002635,1,NaN,NaN,NaN
1,180,429.777178950608,0,NaN,NaN,NaN
1,60,527.432745010592,1,NaN,NaN,NaN
1,-150,390.275229969993,0,NaN,NaN,NaN
1,120,346.708582052961,0,NaN,NaN,NaN
1,120,477.803773051128,0,NaN,NaN,NaN
1,180,500.034789009951,1,NaN,NaN,NaN
1,30,429.925620011054,1,NaN,NaN,NaN
1,-30,457.952172067016,0,NaN,NaN,NaN
1,-30,452.33274103608,1,NaN,NaN,NaN
1,150,380.584182953462,1,NaN,NaN,NaN
1,180,329.898588978685,1,NaN,NaN,NaN
1,-120,379.358504004777,1,NaN,NaN,NaN
1,-120,353.451171112247,1,NaN,NaN,NaN
1,150,348.021486927755,1,NaN,NaN,NaN
0,-60,301.638214071281,0,NaN,NaN,NaN
1,-150,401.835415083915,1,NaN,NaN,NaN
1,120,759.882466904819,0,NaN,NaN,NaN
1,180,337.256726031192,0,NaN,NaN,NaN
1,180,399.344968996011,0,NaN,NaN,NaN
1,180,474.540233998559,1,NaN,NaN,NaN
1,30,778.119316012599,0,NaN,NaN,NaN
1,-60,337.008981071413,0,NaN,NaN,NaN
1,180,277.724221036769,1,NaN,NaN,NaN
1,0,400.774415968917,1,NaN,NaN,NaN
1,-30,848.847429072484,1,NaN,NaN,NaN
1,-30,568.641362981871,1,NaN,NaN,NaN
1,-30,466.748276995495,1,NaN,NaN,NaN
1,-60,441.841422035359,0,NaN,NaN,NaN
1,-60,542.295497995801,1,NaN,NaN,NaN
1,60,431.78098896984,0,NaN,NaN,NaN
1,-60,656.122537949123,1,NaN,NaN,NaN
1,-30,441.314928969368,1,NaN,NaN,NaN
1,-30,380.773028046824,0,NaN,NaN,NaN
1,30,514.698015097529,0,NaN,NaN,NaN
1,120,397.710170983337,1,NaN,NaN,NaN
1,-120,385.771780079231,1,NaN,NaN,NaN
1,120,355.341588999145,1,NaN,NaN,NaN
0,-120,448.068715902045,0,NaN,NaN,NaN
1,30,425.526719926856,0,NaN,NaN,NaN
1,150,296.433989927173,1,NaN,NaN,NaN
1,90,328.363320012577,1,NaN,NaN,NaN
1,-120,287.822214923799,1,NaN,NaN,NaN
1,120,378.410014011897,0,NaN,NaN,NaN
1,60,417.554152002558,1,NaN,NaN,NaN
1,-30,334.103533918969,0,NaN,NaN,NaN
1,30,345.668287053704,1,NaN,NaN,NaN
1,90,390.662674014457,0,NaN,NaN,NaN
1,150,300.009039035067,1,NaN,NaN,NaN
1,30,374.7885190323,0,NaN,NaN,NaN
1,60,432.82670007553,1,NaN,NaN,NaN
1,60,373.541383109987,0,NaN,NaN,NaN
1,60,423.214888004586,1,NaN,NaN,NaN
0,120,286.107730041258,1,NaN,NaN,NaN
1,120,368.023150986992,1,NaN,NaN,NaN
1,90,281.553822024725,1,NaN,NaN,NaN
1,-90,326.758130956441,1,NaN,NaN,NaN
1,180,405.069743902423,1,NaN,NaN,NaN
1,-30,462.809936995618,0,NaN,NaN,NaN
1,0,337.794934087433,0,NaN,NaN,NaN
1,90,373.536358973943,1,NaN,NaN,NaN
1,30,331.596490964294,1,NaN,NaN,NaN
1,-150,416.644939025864,0,NaN,NaN,NaN
1,60,387.505930070765,0,NaN,NaN,NaN
