CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,8,481.7684,1
1,16,488.9146999,1
1,16,494.0742,2
1,4,623.7552,2
1,8,579.414,0
1,8,539.3765,0
1,4,681.1152,0
1,4,808.4455,2
1,4,548.7498,0
1,16,501.0798,2
1,8,550.0436,1
1,16,525.156,2
1,16,501.6725,0
1,8,487.1512,1
1,8,590.021,0
0,4,604.4888,2
1,4,633.7416,0
0,8,498.9149,0
1,8,578.91,2
1,8,496.1655,1
1,16,548.552,2
1,4,669.6775,1
1,4,711.518,0
1,16,475.5874,1
0,4,629.3561,4
0,4,446.5792,5
0,4,698.7217,5
0,4,675.5906,3
0,4,689.2561,4
0,4,557.4597,4
1,4,568.1672,3
1,8,502.9805,4
1,8,546.17,5
1,4,639.5521,5
1,4,687.5358,4
1,8,514.014,3
1,8,676.0287,5
0,16,560.85,4
1,16,587.334,4
0,16,647.7114,6
1,16,577.2624999,6
1,4,753.7395,8
1,4,641.2651,6
1,8,657.1892,8
1,8,601.5693,6
1,16,785.985,8
1,4,1122.9482,7
1,16,777.7829,8
1,16,699.2425,6
0,8,826.1012,8
0,8,661.6218,6
1,8,657.0907,6
1,16,757.2294,6
1,4,641.8879,6
1,16,729.2902,6
