CorrectResponse,Height_Rotation,RT,Face
1,8,566.683100009337,1
1,4,413.513100004289,1
1,8,587.319099981338,2
0,4,711.115499955136,2
1,4,486.46430001501,2
1,16,526.27459994657,2
1,8,696.518699984532,2
1,16,638.501300007571,0
0,8,679.736000016797,4
1,8,615.31909997249,4
1,16,527.939799995162,3
1,8,568.123499976005,5
1,8,431.928300004452,5
1,4,500.307100006845,5
1,16,516.244800001383,4
1,16,700.927999973297,3
1,4,549.294199965894,5
1,8,539.134400020353,5
1,8,590.374799965881,5
1,16,573.915800018236,6
1,4,544.37830001954,6
1,16,513.403399960604,7
1,4,742.950699987356,6
1,4,525.248099988326,7
1,8,468.413599996362,7
1,16,502.732200020924,7
1,4,536.956299966201,7
1,4,635.427700003143,8
1,16,582.848199989181,8
1,16,549.58119999757,6
1,4,709.912199989427,6
0,8,-109,8
1,8,533.926400003489,6
