CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,4,476.4975,1
1,4,451.643,2
1,8,524.1492,2
1,16,528.4569,0
1,16,519.0515,1
1,8,591.1901,2
1,8,461.3,2
1,8,485.7946,0
0,4,511.0553,2
1,4,516.6938,1
1,16,546.3765,3
1,8,578.2373,3
1,16,488.9307,5
1,16,571.8836,5
1,4,533.0274,5
1,16,517.0791,4
1,8,476.8214,4
1,8,698.6131,5
1,4,496.4346,8
1,4,527.6492,8
1,4,535.9898,8
1,4,479.7909,8
1,16,604.5835,8
1,8,515.5027,6
1,16,488.9265,6
1,4,500.1147,6
1,4,512.4671,7
1,16,478.7678,8
1,4,525.7072,8
1,8,527.369,8
1,8,427.9593,7
1,16,506.2379,8
