CorrectResponse,Height_Rotation,RT,Face
1,4,517.025900011882,1
1,8,512.167200035416,1
1,4,548.926699961536,1
1,16,995.587499983609,0
0,4,513.389999916777,2
1,4,911.752599928528,0
1,16,499.54890011251,1
1,8,694.652900038287,0
1,4,568.7714000782,0
1,8,1063.22599999513,2
1,16,499.319199993275,5
1,16,515.283600016497,3
1,16,349.694600034505,3
1,8,1035.71090002917,5
1,8,439.804400023073,4
1,4,596.409300047904,4
1,16,582.527900053188,3
0,4,867.386900059879,5
1,4,1007.42179999035,4
0,4,960.624900002964,5
1,4,585.983300054446,5
1,8,453.538500060327,3
1,8,618.799899992533,3
1,16,664.279000073671,4
1,4,572.693099904805,8
1,16,525.493099991232,8
0,8,406.332999988459,7
1,8,662.888999966905,6
1,8,524.808900020085,8
1,16,553.813499919139,8
1,16,542.469999924302,8
1,4,532.065099975094,7
1,4,658.909500049427,6
1,8,588.457999922335,8
