CorrectResponse,Height_Rotation,RT,Face
1,16,654.842400163412,0
1,8,518.594500081614,0
1,4,529.704199809581,0
1,16,464.3127000276,1
1,4,472.869999878109,0
1,8,567.637600176036,2
1,4,425.820399945602,1
1,16,610.768900191411,2
1,4,624.687999891117,2
1,4,430.619199931622,1
1,4,601.889300098643,4
1,8,501.141600016505,3
1,16,497.063999934122,3
1,16,536.842999918386,3
1,16,563.146099852398,5
1,4,494.417299920693,4
1,4,552.046400200576,5
1,16,559.540999991819,3
1,8,508.366899969056,4
1,8,424.792000031099,3
1,8,473.047600066289,4
1,4,499.463899930939,8
1,16,506.53950002417,7
1,16,436.607300009578,7
1,16,493.379499934614,8
1,4,502.449099844322,6
1,8,479.547599967569,6
1,8,514.932600021362,6
1,8,524.664400083944,8
1,8,454.167799962685,7
