CorrectResponse,Size_Rotation_deg_deg_,ReactionTime_ms_,Target
1,16,517.065592999489,1
1,8,528.53893999948,2
1,16,582.204156000289,0
0,4,523.276454001307,0
1,4,632.493221999385,1
1,4,618.261061001095,1
1,4,630.685948000819,2
1,16,453.942850999584,1
1,8,359.217420000123,1
0,16,473.501774000243,0
1,16,659.882753999982,0
1,16,613.357348998607,0
1,4,899.341053000017,5
1,16,804.885797000525,4
1,16,507.100777000078,4
1,8,584.487363999715,4
1,8,545.613792999421,5
1,4,652.930865000444,5
1,8,609.487061999817,3
1,16,649.199359999175,5
1,8,628.348860000033,4
1,8,775.449329999747,4
1,16,788.999390999225,5
1,4,740.199906000117,4
1,4,756.715953000667,4
1,16,624.643825001686,6
1,8,588.342498000048,7
1,8,589.675369999741,6
0,4,-29.6,6
1,4,586.771140999036,6
1,4,591.703952999369,7
1,8,644.606587000299,7
0,4,-29.6,8
1,4,608.809023000349,6
